segmentnr	original	stemmed
BO_K02_D0008-10_H0009-10:162a-2	rab 'byor / stong pa nyid stong pa nyid kyang zab bo //	rab byor stong ba nyid stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-3	rab 'byor / chen po stong pa nyid kyang zab bo //	rab byor chen po stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-4	rab 'byor / don dam pa stong pa nyid kyang zab bo //	rab byor don dam ba stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-5	rab 'byor / 'dus byas stong pa nyid kyang zab bo //	rab byor du byed stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-6	rab 'byor / 'dus ma byas stong pa nyid kyang zab bo //	rab byor du ma byed stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-7	rab 'byor / mtha' las 'das pa stong pa nyid kyang zab bo //	rab byor mtha las da ba stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-8	rab 'byor; thog ma dang tha ma med pa stong pa nyid kyang zab bo //	rab byor; thogs ma dang tha ma med ba stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-9	rab 'byor / dor ba med pa stong pa nyid kyang zab bo //	rab byor dor ba med ba stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-10	rab 'byor / rang bzhin stong pa nyid kyang zab bo //	rab byor rang bzhin stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-11	rab 'byor / chos thams cad stong pa nyid kyang zab bo //	rab byor chos thams cad stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-12	rab 'byor / rang gi mtshan nyid stong pa nyid kyang zab bo //	rab byor rang gi mtshan nyid stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-13	rab 'byor / mi dmigs pa stong pa nyid kyang zab bo //	rab byor mi dmigs ba stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-14	rab 'byor / dngos po med pa stong pa nyid kyang zab bo //	rab byor dngos po med ba stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-15	rab 'byor / ngo bo nyid stong pa nyid kyang zab bo //	rab byor ngo bo nyid stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-16	rab 'byor / dngos po med pa'i ngo bo nyid stong pa nyid kyang zab bo //	rab byor dngos po med ba ngo bo nyid stong ba nyid kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-17	rab 'byor / dran pa nye bar bzhag pa rnams kyang zab bo //	rab byor dran ba nye ba jog ba rnams kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-18	rab 'byor / yang dag par spong ba rnams kyang zab bo //	rab byor yang dag ba spong ba rnams kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-19	rab 'byor / rdzu 'phrul gyi rkang pa rnams kyang zab bo //	rab byor rdzu phrul gyi rkang ba rnams kyang zab bo 
BO_K02_D0008-10_H0009-10:162a-20	rab 'byor / dbang po rnams kyang zab bo //	rab byor dbang po rnams kyang zab bo 
