segmentnr	original	folio	stemmed
BO_K05_D0010-2_H0012-2:352b-3	de skad ces gsol pa dang / bcom ldan 'das kyis tshe dang ldan pa rab 'byor la 'di skad ces bka' stsal to //	352b	de skad ces gsol ba dang joms ldan da kyis tshe dang ldan ba rab byor la di skad ces bka stsal to 
BO_K05_D0010-2_H0012-2:352b-4	rab 'byor / 'di ji snyam du sems /	352b	rab byor di ji snyam du sems 
BO_K05_D0010-2_H0012-2:352b-5	sems can 'di dag yun ring po nas ngar 'dzin pa dang / nga yir 'dzin pa la spyod spyod pa yin snyam mam /	352b	sems can di dag yun ring po nas ngar dzin ba dang nga yir dzin ba la spyod spyod ba yin snyam mam 
BO_K05_D0010-2_H0012-2:352b-6	rab 'byor gyis gsol pa /	352b	rab byor gyis gsol ba 
BO_K05_D0010-2_H0012-2:352b-7	bcom ldan 'das /	352b	joms ldan da 
BO_K05_D0010-2_H0012-2:352b-8	de de lta lags so //	352b	de de lta lags so 
BO_K05_D0010-2_H0012-2:352b-9	bde bar gshegs pa /	352b	bde ba gshegs ba 
BO_K05_D0010-2_H0012-2:352b-10	de de lta lags te /	352b	de de lta lags te 
BO_K05_D0010-2_H0012-2:352b-11	sems can 'di dag ni /	352b	sems can di dag ni 
BO_K05_D0010-2_H0012-2:352b-12	yun ring po nas ngar 'dzin pa dang / nga yir 'dzin pa la spyod spyod pa lags so //	352b	yun ring po nas ngar dzin ba dang nga yir dzin ba la spyod spyod ba lags so 
BO_K05_D0010-2_H0012-2:352b-13	bcom ldan 'das kyis bka' stsal pa /	352b	joms ldan da kyis bka stsal ba 
BO_K05_D0010-2_H0012-2:352b-14	rab 'byor / 'di ji snyam du sems /	352b	rab byor di ji snyam du sems 
BO_K05_D0010-2_H0012-2:352b-15	ngar 'dzin pa dang / nga yir 'dzin pa dag dben pa yin zhing /	352b	ngar dzin ba dang nga yir dzin ba dag dben ba yin zhing 
BO_K05_D0010-2_H0012-2:352b-16	ngar 'dzin pa dang / nga yir 'dzin pa dag stong pa yin snyam mam /	352b	ngar dzin ba dang nga yir dzin ba dag stong ba yin snyam mam 
BO_K05_D0010-2_H0012-2:352b-17	rab 'byor gyis gsol pa /	352b	rab byor gyis gsol ba 
BO_K05_D0010-2_H0012-2:352b-18	bcom ldan 'das /	352b	joms ldan da 
BO_K05_D0010-2_H0012-2:352b-19	dben pa lags so //	352b	dben ba lags so 
BO_K05_D0010-2_H0012-2:352b-20	bde bar gshegs pa /	352b	bde ba gshegs ba 
BO_K05_D0010-2_H0012-2:352b-21	stong pa lags so //	352b	stong ba lags so 
BO_K05_D0010-2_H0012-2:352b-22	bcom ldan 'das kyis bka' stsal pa /	352b	joms ldan da kyis bka stsal ba 
BO_K05_D0010-2_H0012-2:352b-23	rab 'byor / 'di ji snyam du sems /	352b	rab byor di ji snyam du sems 
BO_K05_D0010-2_H0012-2:352b-24	ngar 'dzin pa dang / nga yir 'dzin pa'i sems can rnams 'phyan zhing 'khor snyam mam /	352b	ngar dzin ba dang nga yir dzin ba sems can rnams phyan zhing khor snyam mam 
BO_K05_D0010-2_H0012-2:353a-0	@353a *// rab 'byor gyis gsol pa /	353a	rab byor gyis gsol ba 
BO_K05_D0010-2_H0012-2:353a-1	bcom ldan 'das /	353a	joms ldan da 
BO_K05_D0010-2_H0012-2:353a-2	de de lta lags so //	353a	de de lta lags so 
BO_K05_D0010-2_H0012-2:353a-3	bde bar gshegs pa /	353a	bde ba gshegs ba 
BO_K05_D0010-2_H0012-2:353a-4	de de lta lags te /	353a	de de lta lags te 
BO_K05_D0010-2_H0012-2:353a-5	ngar 'dzin pa dang / nga yir 'dzin pa'i sems can rnams 'phyan zhing 'khor lags so //	353a	ngar dzin ba dang nga yir dzin ba sems can rnams phyan zhing khor lags so 
BO_K05_D0010-2_H0012-2:353a-6	bcom ldan 'das kyis bka' stsal pa /	353a	joms ldan da kyis bka stsal ba 
BO_K05_D0010-2_H0012-2:353a-7	rab 'byor / de ltar na /	353a	rab byor de ltar na 
BO_K05_D0010-2_H0012-2:353a-8	'khor ba na 'khor zhing 'phyan pa'i sems can rnams kyi kun nas nyon mongs pa'ang yod pa yin no //	353a	khor ba na khor zhing phyan ba sems can rnams kyi kun nas nyon mongs ba yod ba yin no 
BO_K05_D0010-2_H0012-2:353a-9	rab 'byor / gang la ngar 'dzin pa med pa dang / nga yir 'dzin pa med pa de la 'dzin pa med de /	353a	rab byor gang la ngar dzin ba med ba dang nga yir dzin ba med ba de la dzin ba med de 
BO_K05_D0010-2_H0012-2:353a-10	sems can de dag ni /	353a	sems can de dag ni 
BO_K05_D0010-2_H0012-2:353a-11	'khor bar mi 'phyan zhing mi 'khor ro //	353a	khor ba mi phyan zhing mi khor ro 
BO_K05_D0010-2_H0012-2:353a-12	gang la 'khor bar 'phyan pa med pa dang / 'khor ba med pa de la kun nas nyon mongs par 'gyur ba med de /	353a	gang la khor ba phyan ba med ba dang khor ba med ba de la kun nas nyon mongs ba gyur ba med de 
BO_K05_D0010-2_H0012-2:353a-13	rab 'byor / de ltar na /	353a	rab byor de ltar na 
BO_K05_D0010-2_H0012-2:353a-14	rnam par byang ba'ang yod pa yin no //	353a	rnam ba byang ba yod ba yin no 
BO_K05_D0010-2_H0012-2:353a-15	de skad ces bka' stsal pa dang / bcom ldan 'das la tshe dang ldan pa rab 'byor gyis 'di skad ces gsol to //	353a	de skad ces bka stsal ba dang joms ldan da la tshe dang ldan ba rab byor gyis di skad ces gsol to 
BO_K05_D0010-2_H0012-2:353a-16	bcom ldan 'das /	353a	joms ldan da 
BO_K05_D0010-2_H0012-2:353a-17	de ltar spyod pa'i byang chub sems dpa' sems dpa' chen po ni /	353a	de ltar spyod ba byang chub sems dpa sems dpa chen po ni 
BO_K05_D0010-2_H0012-2:353a-18	gzugs la mi spyod lags so //	353a	gzugs la mi spyod lags so 
BO_K05_D0010-2_H0012-2:353a-19	tshor ba dang / 'du shes dang / 'du byed rnams dang / rnam par shes pa la mi spyod lags so //	353a	tshor ba dang du shes dang du byed rnams dang rnam ba shes ba la mi spyod lags so 
BO_K05_D0010-2_H0012-2:353a-20	de bzhin du dran pa nye bar gzhag pa rnams kyi bar la mi spyod lags so //	353a	de bzhin du dran ba nye ba jog ba rnams kyi ba la mi spyod lags so 
BO_K05_D0010-2_H0012-2:353a-21	so so yang dag par rig pa bzhi'i bar la mi spyod lags so //	353a	so so yang dag ba rig ba bzhi ba la mi spyod lags so 
BO_K05_D0010-2_H0012-2:353a-22	de ci'i slad du zhe na /	353a	de ci slad du zhe na 
BO_K05_D0010-2_H0012-2:353b-0	'di ltar gang @353b spyod pa'am /	353b	di ltar gang spyod ba 
BO_K05_D0010-2_H0012-2:353b-1	gang gis spyad pa'am /	353b	gang gis spyod ba 
BO_K05_D0010-2_H0012-2:353b-2	gang la spyad par bgyi ba'i chos de dag thams cad dmigs su ma mchis pa'i slad du ste /	353b	gang la spyod ba bgyid ba chos de dag thams cad dmigs su ma mchis ba slad du ste 
BO_K05_D0010-2_H0012-2:353b-3	bcom ldan 'das /	353b	joms ldan da 
BO_K05_D0010-2_H0012-2:353b-4	de ltar spyod pa'i byang chub sems dpa' sems dpa' chen po ni /	353b	de ltar spyod ba byang chub sems dpa sems dpa chen po ni 
BO_K05_D0010-2_H0012-2:353b-5	lha dang / mi dang / lha ma yin du bcas pa'i 'jig rten gyis mi thul ba lags so //	353b	lha dang mi dang lha ma yin du cha ba jig rten gyis mi thul ba lags so 
BO_K05_D0010-2_H0012-2:353b-6	bcom ldan 'das /	353b	joms ldan da 
BO_K05_D0010-2_H0012-2:353b-7	de ltar spyod pa'i byang chub sems dpa' sems dpa' chen po ni /	353b	de ltar spyod ba byang chub sems dpa sems dpa chen po ni 
BO_K05_D0010-2_H0012-2:353b-8	nyan thos dang / rang sangs rgyas thams cad kyis zil gyis mi non pa lags so //	353b	nyan thos dang rang sangs rgya thams cad kyis zil gyis mi non ba lags so 
BO_K05_D0010-2_H0012-2:353b-9	de ci'i slad du zhe na /	353b	de ci slad du zhe na 
BO_K05_D0010-2_H0012-2:353b-10	'di ltar / de ni /	353b	di ltar de ni 
BO_K05_D0010-2_H0012-2:353b-11	zil gyis mi non pa'i gnas 'di lta ste /	353b	zil gyis mi non ba gnas di lta ste 
BO_K05_D0010-2_H0012-2:353b-12	byang chub sems dpa'i skyon ma mchis pa la gnas pa'i slad du ste /	353b	byang chub sems dpa skyon ma mchis ba la gnas ba slad du ste 
BO_K05_D0010-2_H0012-2:353b-13	bcom ldan 'das /	353b	joms ldan da 
BO_K05_D0010-2_H0012-2:353b-14	byang chub sems dpa' sems dpa' chen po rnam pa thams cad mkhyen pa nyid yid la bgyid pas gnas pa ni /	353b	byang chub sems dpa sems dpa chen po rnam ba thams cad mkhyen ba nyid yid la bgyid ba gnas ba ni 
BO_K05_D0010-2_H0012-2:353b-15	zil gyis non par mi 'gyur lags so //	353b	zil gyis non ba mi gyur lags so 
BO_K05_D0010-2_H0012-2:353b-16	bcom ldan 'das /	353b	joms ldan da 
BO_K05_D0010-2_H0012-2:353b-17	de ltar spyod pa'i byang chub sems dpa' sems dpa' chen po ni /	353b	de ltar spyod ba byang chub sems dpa sems dpa chen po ni 
BO_K05_D0010-2_H0012-2:353b-18	rnam pa thams cad mkhyen pa nyid dang yang nye bar gyur pa lags so //	353b	rnam ba thams cad mkhyen ba nyid dang yang nye ba gyur ba lags so 
BO_K05_D0010-2_H0012-2:353b-19	bcom ldan 'das kyis bka' stsal pa /	353b	joms ldan da kyis bka stsal ba 
BO_K05_D0010-2_H0012-2:353b-20	rab 'byor / 'di ji snyam du sems /	353b	rab byor di ji snyam du sems 
BO_K05_D0010-2_H0012-2:353b-21	dzam bu'i gling gi sems can gang ji snyed pa de dag thams cad kyis mi'i lus 'thob par gyur la /	353b	dzam bu gling gi sems can gang ji snyed ba de dag thams cad kyis mi lus thob ba gyur la 
BO_K05_D0010-2_H0012-2:354a-0	mi'i lus thob nas kyang bla na med pa yang dag par rdzogs pa'i byang chub mngon par rdzogs par sangs rgyas par gyur nas de dag la rigs kyi @354a *//	354a	mi lus thob nas kyang bla na med ba yang dag ba rdzogs ba byang chub mngon ba rdzogs ba sangs rgya ba gyur nas de dag la rigs kyi 
BO_K05_D0010-2_H0012-2:354a-1	bu'am / rigs kyi bu mo la la zhig ji srid 'tsho'i bar du bsnyen bkur byed de /	354a	bu rigs kyi bu mo la la jig ji srid tsho ba du snyen bkur byed de 
BO_K05_D0010-2_H0012-2:354a-2	na bza' dang / zhal zas dang / gzims cha dang / gdan dang / snyun gyi gsos sman dang / yo byad dag gis bsti stang du byed /	354a	na bza dang zhal zas dang gzims cha dang gdan dang snyun gyi gsos sman dang yo byad dag gis sti stang du byed 
BO_K05_D0010-2_H0012-2:354a-3	bla mar byed /	354a	bla mar byed 
BO_K05_D0010-2_H0012-2:354a-4	ri mor byed /	354a	ri mor byed 
BO_K05_D0010-2_H0012-2:354a-5	mchod par byed cing /	354a	mchod ba byed cing 
BO_K05_D0010-2_H0012-2:354a-6	dge ba'i rtsa ba de'ang bla na med pa yang dag par rdzogs pa'i byang chub tu yongs su bsngos na /	354a	dge ba rtsa ba de bla na med ba yang dag ba rdzogs ba byang chub tu yongs su sngo na 
BO_K05_D0010-2_H0012-2:354a-7	rab 'byor / 'di ji snyam du sems /	354a	rab byor di ji snyam du sems 
BO_K05_D0010-2_H0012-2:354a-8	rigs kyi bu'am /	354a	rigs kyi bu 
BO_K05_D0010-2_H0012-2:354a-9	rigs kyi bu mo de bzhi de las bsod nams mang du bskyed par 'gyur snyam mam /	354a	rigs kyi bu mo de bzhi de las bsod nams mang du skyed ba gyur snyam mam 
BO_K05_D0010-2_H0012-2:354a-10	rab 'byor gyis gsol pa /	354a	rab byor gyis gsol ba 
BO_K05_D0010-2_H0012-2:354a-11	bcom ldan 'das /	354a	joms ldan da 
BO_K05_D0010-2_H0012-2:354a-12	mang lags so //	354a	mang lags so 
BO_K05_D0010-2_H0012-2:354a-13	bde bar gshegs pa /	354a	bde ba gshegs ba 
BO_K05_D0010-2_H0012-2:354a-14	mang lags so //	354a	mang lags so 
BO_K05_D0010-2_H0012-2:354a-15	bcom ldan 'das kyis bka' stsal pa /	354a	joms ldan da kyis bka stsal ba 
BO_K05_D0010-2_H0012-2:354a-16	rab 'byor / de bas kyang rigs kyi bu'am /	354a	rab byor de ba kyang rigs kyi bu 
BO_K05_D0010-2_H0012-2:354a-17	rigs kyi bu mo gang shes rab kyi pha rol tu phyin pa dang ldan pa'i yid la byed pas gnas shing /	354a	rigs kyi bu mo gang shes rab kyi pha rol tu phyin ba dang ldan ba yid la byed ba gnas shing 
BO_K05_D0010-2_H0012-2:354a-18	gzhan dag la'ang shes rab kyi pha rol tu phyin pa 'chad par byed /	354a	gzhan dag la shes rab kyi pha rol tu phyin ba chad ba byed 
BO_K05_D0010-2_H0012-2:354a-19	ston par byed /	354a	ston ba byed 
BO_K05_D0010-2_H0012-2:354a-20	'dogs par byed /	354a	dogs ba byed 
BO_K05_D0010-2_H0012-2:354a-21	'god par byed /	354a	god ba byed 
BO_K05_D0010-2_H0012-2:354a-22	rnam par 'grel bar byed /	354a	rnam ba grel ba byed 
BO_K05_D0010-2_H0012-2:354a-23	rnam par 'byed par byed /	354a	rnam ba byed ba byed 
BO_K05_D0010-2_H0012-2:354a-24	gsal bar byed cing yang dag par rab tu ston par byed pa de /	354a	gsal ba byed cing yang dag ba rab tu ston ba byed ba de 
BO_K05_D0010-2_H0012-2:354a-25	ches bsod nams mang du bskyed par 'gyur ro //	354a	ches bsod nams mang du skyed ba gyur ro 
BO_K05_D0010-2_H0012-2:354b-0	de bzhin du sbyar te stong gsum gyi stong chen po'i 'jig rten gyi khams na sems @354b can gang dag ji snyed pa de dag thams cad snga phyi med par mi'i lus thob par 'gyur la /	354b	de bzhin du sbyor te stong gsum gyi stong chen po jig rten gyi khams na sems can gang dag ji snyed ba de dag thams cad snga phyi med ba mi lus thob ba gyur la 
BO_K05_D0010-2_H0012-2:354b-1	rigs kyi bu'am /	354b	rigs kyi bu 
BO_K05_D0010-2_H0012-2:354b-2	rigs kyi bu mo la la zhig gis de dag dge ba bcu'i las kyi lam la bkod cing /	354b	rigs kyi bu mo la la jig gis de dag dge ba chu las kyi lam la bkod cing 
