segmentnr	original	folio	stemmed
BO_K08_D0056_H0056:86a-9	las len pa gang da ltar yang sdug bsngal la ma 'ongs pa na yang rnam par smin pa sdug bsngal ba de yang de bzhin gshegs pas rab tu mkhyen to //	86a	las len ba gang da ltar yang sdug sngal la ma ngs ba na yang rnam ba smin ba sdug sngal ba de yang de bzhin gshegs ba rab tu mkhyen to 
BO_K08_D0056_H0056:86a-10	las len pa gang da ltar yang bde la ma 'ongs pa na yang rnam par smin pa bde ba de yang de bzhin gshegs pas rab tu mkhyen to //	86a	las len ba gang da ltar yang bde la ma ngs ba na yang rnam ba smin ba bde ba de yang de bzhin gshegs ba rab tu mkhyen to 
BO_K08_D0056_H0056:86b-0	'di ltar @86b sh'a ri'i bu /	86b	di ltar sha ri bu 
BO_K08_D0056_H0056:86b-1	'das pa dang / ma 'ongs pa dang / da ltar gyi dus na sems can thams cad kyi las gang dang / rgyu gang dang / rnam par smin pa gang de bzhin dang / de bzhin nyid dang / gzhan ma yin pa dang / gzhan ma yin par bsten pa de yang de bzhin gshegs pas rab tu mkhyen to //	86b	da ba dang ma ngs ba dang da ltar gyi dus na sems can thams cad kyi las gang dang rgyu gang dang rnam ba smin ba gang de bzhin dang de bzhin nyid dang gzhan ma yin ba dang gzhan ma yin ba sten ba de yang de bzhin gshegs ba rab tu mkhyen to 
BO_K08_D0056_H0056:86b-2	mkhyen nas kyang de bzhin du de bzhin gshegs pas chos ston to; ;de ltar na /	86b	mkhyen nas kyang de bzhin du de bzhin gshegs ba chos ston to; ;de ltar na 
BO_K08_D0056_H0056:86b-3	sh'a ri'i bu /	86b	sha ri bu 
BO_K08_D0056_H0056:86b-4	de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas kyis 'das pa dang / ma 'ongs pa dang / da ltar gyi las len pa'i rgyu gang yin pa dang / gnas gang yin pa dang / rnam par smin pa mkhyen pa gang yin pa de ni /	86b	de bzhin gshegs ba dgra joms ba yang dag ba rdzogs ba sangs rgya kyis da ba dang ma ngs ba dang da ltar gyi las len ba rgyu gang yin ba dang gnas gang yin ba dang rnam ba smin ba mkhyen ba gang yin ba de ni 
BO_K08_D0056_H0056:86b-5	mtha' yas mu med do //	86b	mtha yas mu med do 
BO_K08_D0056_H0056:86b-6	'di lta ste /	86b	di lta ste 
BO_K08_D0056_H0056:86b-7	dper na / sh'a ri'i bu /	86b	dper na sha ri bu 
BO_K08_D0056_H0056:86b-8	nam mkha' mtha' yas mu med pa de bzhin du sh'a ri'i bu /	86b	nam mkha mtha yas mu med ba de bzhin du sha ri bu 
