segmentnr	original	stemmed
BO_K10_D0324_H0328:313b-0	@313b / /rgya gar skad du /	gar skad du 
BO_K10_D0324_H0328:313b-1	tsa tu ra g'a th'a /	tsa tu ra ga tha 
BO_K10_D0324_H0328:313b-2	bod skad du /	bod skad du 
BO_K10_D0324_H0328:313b-3	tshigs su bcad pa bzhi pa /	tshigs su gcod ba bzhi ba 
BO_K10_D0324_H0328:313b-4	dkon mchog gsum la phyag 'tshal lo //	dkon(d) mchog gsum la phyag tshal lo 
BO_K10_D0324_H0328:313b-5	skur gyur pa ni thams cad la //	skur gyur ba ni thams cad la 
BO_K10_D0324_H0328:313b-6	mtshan mchog sum cu gnyis mnga' ba //	mtshan mchog sum cu gnyis mnga ba 
BO_K10_D0324_H0328:314a-0	rdzogs pa'i sangs rgyas grags @314a *//	rdzogs ba sangs rgya grags 
BO_K10_D0324_H0328:314a-1	ldan pa'i // rgyal ba kun la phyag 'tshal lo //	ldan ba rgyal ba kun la phyag tshal lo 
BO_K10_D0324_H0328:314a-2	rdzogs sangs gang du bltams pa dang // gang du byang chub la reg dang // zhi ba'i 'khor lo bskor ba dang / zag med mya ngan 'das pa dang // bde gshegs gang du bzhugs pa dang // 'chag pa dang ni bzhengs pa dang // seng ge lta bur gzims pa yi //	rdzogs sangs gang du ltems ba dang gang du byang chub la reg dang zhi ba khor lo skor ba dang zag med mya ngan da ba dang bde gshegs gang du bzhugs ba dang chag ba dang ni bzhengs ba dang seng ge lta bur gzims ba yi 
BO_K10_D0324_H0328:314a-3	gnas de la ni bdag phyag 'tshal //	gnas de la ni bdag phyag tshal 
BO_K10_D0324_H0328:314a-4	steng dang 'og dang bar dag dang // phyogs dang phyogs mtshams rnams su yang //	steng dang g dang ba dag dang phyogs dang phyogs mtshams rnams su yang 
BO_K10_D0324_H0328:314a-5	sku bcas sku ni med pa yi //	sku cha sku ni med ba yi 
BO_K10_D0324_H0328:314a-6	mchod rten la ni bdag phyag 'tshal //	mchod rten la ni bdag phyag tshal 
BO_K10_D0324_H0328:314a-7	rkang gnyis dam pa shar dang ni //	rkang gnyis dam ba char dang ni 
BO_K10_D0324_H0328:314a-8	byang gi phyogs char bzhugs pa yi //	byang gi phyogs char bzhugs ba yi 
BO_K10_D0324_H0328:314a-9	rgyal ba bstan dka' zhes bya ba //	rgyal ba ston dka zhes byed ba 
BO_K10_D0324_H0328:314a-10	des ni tshigs bcad 'di gsungs so //	des ni tshigs gcod di gsungs so 
BO_K10_D0324_H0328:314a-11	gang gi tshigs bcad 'di bzhi yis; ;de bzhin gshegs la bstod byed pa //	gang gi tshigs gcod di bzhi yis; ;de bzhin gshegs la bstod byed ba 
BO_K10_D0324_H0328:314a-12	de ni tshe rabs stong du yang //	de ni tshe rabs stong du yang 
BO_K10_D0324_H0328:314a-13	ngan 'gror 'gro bar mi 'gyur ro //	ngan gror gro ba mi gyur ro 
BO_K10_D0324_H0328:314a-14	tshigs su bcad pa bzhi pa rdzogs so ////	tshigs su gcod ba bzhi ba rdzogs so 
