segmentnr	original	stemmed
BO_K12_D0473_H0433:373a-0	@373a / /rgya gar skad du /	gar skad du 
BO_K12_D0473_H0433:373a-1	ya m'a ri krishna karma sarba tsakra siddha ka ra n'a ma tantra r'a dz'a /	ya ma ri krishna karma sarba tsakra siddha ka ra na ma tantra ra dza 
BO_K12_D0473_H0433:373a-2	bod skad du /	bod skad du 
BO_K12_D0473_H0433:373a-3	gshin rje gshed dgra nag po'i 'khor lo las thams cad grub par byed pa ces bya ba'i rgyud kyi rgyal po /	gshin rje gshed dgra nag po khor lo las thams cad grub ba byed ba ces byed ba brgyud kyi rgyal po 
BO_K12_D0473_H0433:373a-4	bcom ldan 'das rdo rje mkha' 'gro la phyag 'tshal lo //	joms ldan da rdo rje mkha gro la phyag tshal lo 
BO_K12_D0473_H0433:373a-5	'di skad bdag gis thos pa dus gcig na /	di skad bdag gis thos ba dus gcig na 
BO_K12_D0473_H0433:373a-6	bcom ldan 'das de bzhin gshegs pa thams cad kyi sku dang gsung dang thugs rdo rje'i btsun mo'i bha ga la gti mug rdo rje dang / ser sna rdo rje dang / 'dod chags rdo rje dang / phrag dog rdo rje dang / sa rdo rje dang /	joms ldan da de bzhin gshegs ba thams cad kyi sku dang gsung dang thugs rdo rje btsun mo bha ga la gti mug rdo rje dang ser sna rdo rje dang dod chags rdo rje dang phrag dog rdo rje dang sa rdo rje dang 
BO_K12_D0473_H0433:373a-7	chu rdo rje dang / me rdo rje dang / rlung rdo rje dang / byang chub kyi sems bde ba chen po ma dang / yon tan gyi phreng ba ma dang / sems kyi rgyud tshim par byed pa ma dang / brtson 'grus kyi ngo bo ma dang /	chu rdo rje dang me rdo rje dang rlung rdo rje dang byang chub kyi sems bde ba chen po ma dang yon tan gyi phreng ba ma dang sems kyi brgyud tshim ba byed ba ma dang brtson grus kyi ngo bo ma dang 
BO_K12_D0473_H0433:373a-8	bdug spos ma dang / me tog ma dang / mar me ma dang / dri chab ma dang / de la sogs pa dpag tu med pa dang thabs cig tu bzhugs so //	bdug spros ma dang me tog ma dang mar me ma dang dri chab ma dang de la sogs ba dpog tu med ba dang thabs cig tu bzhugs so 
BO_K12_D0473_H0433:373a-9	de nas lha mo be ta l'i stan las langs te thal mo sbyar nas bcom ldan 'das la 'di skad ces gsol to //	de nas lha mo be ta l stan las ldang te thal mo sbyor nas joms ldan da la di skad ces gsol to 
BO_K12_D0473_H0433:373a-10	bcom ldan 'das /	joms ldan da 
BO_K12_D0473_H0433:373b-0	da ltar 'di na gdug pa can rnams kyis sems can thams cad la @373b 'tshe bar bgyid pa dang / ma 'ongs pa na yang theg pa chen po pa dang / sems can thams cad la'ang 'tshe bar bgyid pa dag 'byung na /	da ltar di na gdug ba can rnams kyis sems can thams cad la tshe ba bgyid ba dang ma ngs ba na yang theg ba chen po ba dang sems can thams cad la tshe ba bgyid ba dag byung na 
BO_K12_D0473_H0433:373b-1	de rnams ji ltar tshor gcad par bgyi /	de rnams ji ltar tshor gcod ba bgyid 
BO_K12_D0473_H0433:373b-2	de nas bcom ldan 'das bgegs thams cad 'joms par byed pa zhes bya ba'i ting nge 'dzin la snyoms par zhugs te nyid kyi sku gsung thugs rdo rje las snying po 'di phyung ngo //	de nas joms ldan da bgegs thams cad joms ba byed ba zhes byed ba ting nge dzin la snyom ba jug te nyid kyi sku gsung thugs rdo rje las snying po di byin ngo 
BO_K12_D0473_H0433:373b-3	hr'i: de ma thag tu bcom ldan 'das nyid zhal drug pa phyag drug pa zhabs drug pa'i ngo bor gyur nas ma he rva gnyis pa la brdzis te /	hr: de ma thag tu joms ldan da nyid zhal drug ba phyag drug ba zhabs drug ba ngo bor gyur nas ma he rva gnyis ba la brdzis te 
BO_K12_D0473_H0433:373b-4	ma he'i bdag po chung ma bcas par aom hr'i: shti: lbi kri t'a na na h'um h'um phat phat sv'ah'a /	ma he bdag po chung ma cha ba aom hr: shti: lbi kri ta na na hum hum phat phat svaha 
BO_K12_D0473_H0433:373b-5	zhes zhal bzhad pa dang bas pas aom gsung zhing mnan par gyur to //	zhes zhal bzhad ba dang ba ba aom gsung zhing gnon ba gyur to 
BO_K12_D0473_H0433:373b-6	lha dang / lha ma yin dang / bdud thams cad kyang skrag cing 'dar ba dang bcas pas 'dud par gyur to //	lha dang lha ma yin dang bdud thams cad kyang skrag cing dar ba dang cha ba dud ba gyur to 
BO_K12_D0473_H0433:373b-7	tshangs pa dang dbang po la sogs pa thams cad kyang phyag 'tshal zhing 'dud par gyur to //	tshangs ba dang dbang po la sogs ba thams cad kyang phyag tshal zhing dud ba gyur to 
BO_K12_D0473_H0433:373b-8	de nas bcom ldan khro bo yi //	de nas joms ldan khro bo yi 
