segmentnr	original	folio	stemmed
BO_K12_D0474_H0440:462a-6	ae ma sangs rgyas slob dpon che //	462a	ae ma sangs rgya slob dpon che 
BO_K12_D0474_H0440:462a-7	ae ma chos dang tshogs kyi gtso //	462a	ae ma chos dang tshogs kyi gtso 
BO_K12_D0474_H0440:462a-8	bdag la dam tshig de nyid stsol //	462a	bdag la dam tshig de nyid stsol 
BO_K12_D0474_H0440:462a-9	byang chub sems kyang bdag la stsol //	462a	byang chub sems kyang bdag la stsol 
BO_K12_D0474_H0440:462a-10	de la 'di ni //	462a	de la di ni 
BO_K12_D0474_H0440:462a-11	sa chen po yongs su gzung ba'i dam tshig go /	462a	sa chen po yongs su gzung ba dam tshig go 
BO_K12_D0474_H0440:462a-12	rdo rje sa'i lha mo spyan drangs te /	462a	rdo rje sa lha mo spyan drangs te 
BO_K12_D0474_H0440:462a-13	skyob pa sangs rgyas thams cad kyi //	462a	skyob ba sangs rgya thams cad kyi 
BO_K12_D0474_H0440:462a-14	spyod pa'i tshul dang khyad par dang // sa dang pha rol phyin rnams la //	462a	spyod ba tshul dang khyad ba dang sa dang pha rol phyin rnams la 
BO_K12_D0474_H0440:462a-15	lha mo khyod ni dpang du gyur //	462a	lha mo khyod ni dpang du gyur 
BO_K12_D0474_H0440:462a-16	dkyil 'khor gyi ni brgyad cha sgo //	462a	dkyil khor gyi ni brgyad cha sgo 
BO_K12_D0474_H0440:462a-17	shes bya bdag nyid che rnams kyis //	462a	shes byed bdag nyid che rnams kyis 
BO_K12_D0474_H0440:462a-18	khyams chen dag ni dor bya ste //	462a	khyams chen dag ni dor byed ste 
BO_K12_D0474_H0440:462a-19	yid du 'ong ba legs par spras //	462a	yid du ng ba legs ba spras 
BO_K12_D0474_H0440:462a-20	sgo mnyam sgo khyud shes bya ste //	462a	sgo mnyam sgo khyud shes byed ste 
BO_K12_D0474_H0440:462a-21	de phyed lha yi snam pu'o; ;rdo rje lha mo yang dag ldan //	462a	de phyed lha yi snam pu; ;rdo rje lha mo yang dag ldan 
BO_K12_D0474_H0440:462a-22	glu gar rol mo sogs rnams kyis //	462a	glu gar rol mo sogs rnams kyis 
BO_K12_D0474_H0440:462a-23	sgo yi phyed kyi 'gram dang logs //	462a	sgo yi phyed kyi grams dang logs 
BO_K12_D0474_H0440:462a-24	zhes pa dra ba dra phyed kyang //	462a	zhes ba dra ba dra phyed kyang 
BO_K12_D0474_H0440:462a-25	nyi zla me tog phreng snam bu //	462a	nyi zla me tog phreng snam bu 
BO_K12_D0474_H0440:462a-26	'di yi phyed kyi rdul tshon sa //	462a	di yi phyed kyi rdul tshon sa 
BO_K12_D0474_H0440:462a-27	de bzhin dkyil 'khor phyi rol thig /	462a	de bzhin dkyil khor phyi rol thig 
