segmentnr	original	folio	stemmed
BO_K12_D0612=D0923_H0595:436b-0	@436b rgya gar skad du /	436b	rgya gar skad du 
BO_K12_D0612=D0923_H0595:436b-1	a'arya dhva dza aa gra ke y'u ra n'a ma dh'a ra ni /	436b	aarya dhva dza aa gra ke yu ra na ma dha ra ni 
BO_K12_D0612=D0923_H0595:436b-2	bod skad du; 'phags pa rgyal mtshan gyi rtse mo'i dpung rgyan zhes bya ba'i gzungs /	436b	bod skad du; phag ba rgyal mtshan gyi rtse mo dpung rgyan zhes byed ba gzungs 
BO_K12_D0612=D0923_H0595:436b-3	sangs rgyas dang / byang chub sems dpa' thams cad la phyag 'tshal lo //	436b	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_K12_D0612=D0923_H0595:437a-0	'di skad bdag @437a *//	437a	di skad bdag 
BO_K12_D0612=D0923_H0595:437a-1	gis thos pa dus gcig na /	437a	gis thos ba dus gcig na 
BO_K12_D0612=D0923_H0595:437a-2	bcom ldan 'das sum cu rtsa gsum pa'i lha'i nang na lva ba dkar po lta bu'i rdo leb la bzhugs te /	437a	joms ldan da sum cu rtsa gsum ba lha nang na lva ba dkar po lta bu rdo leb la bzhugs te 
BO_K12_D0612=D0923_H0595:437a-3	de nas lha'i dbang po brgya byin lha ma yin las pham /	437a	de nas lha dbang po brgya byin lha ma yin las pham 
BO_K12_D0612=D0923_H0595:437a-4	rab tu pham nas de rtab cing rings pa'i gzugs kyis bcom ldan 'das ga la ba der song ste phyin nas bcom ldan 'das kyi zhabs la mgo bos phyag 'tshal te bcom ldan 'das la 'di skad ces gsol to //	437a	rab tu pham nas de rtab cing dring ba gzugs kyis joms ldan da ga la ba der gro ste phyin nas joms ldan da kyi zhabs la mgo bod phyag tshal te joms ldan da la di skad ces gsol to 
BO_K12_D0612=D0923_H0595:437a-5	bcom ldan 'das /	437a	joms ldan da 
BO_K12_D0612=D0923_H0595:437a-6	bdag 'di ltar lha ma yin dang g-yul bkye ba las; lha ma yin gyi dbang po thags bzang ris las pham /	437a	bdag di ltar lha ma yin dang g-yul gyed ba las; lha ma yin gyi dbang po thags bzang ris las pham 
BO_K12_D0612=D0923_H0595:437a-7	rab tu pham ste /	437a	rab tu pham ste 
BO_K12_D0612=D0923_H0595:437a-8	sum cu rtsa gsum pa'i lha rnams kyang pham rab tu pham na /	437a	sum cu rtsa gsum ba lha rnams kyang pham rab tu pham na 
BO_K12_D0612=D0923_H0595:437a-9	bcom ldan 'das /	437a	joms ldan da 
BO_K12_D0612=D0923_H0595:437a-10	bdag cag gis de la ji ltar bsgrub par bgyi /	437a	bdag cag gis de la ji ltar sgrub ba bgyid 
BO_K12_D0612=D0923_H0595:437a-11	bcom ldan 'das kyis bka' stsal pa /	437a	joms ldan da kyis bka stsal ba 
BO_K12_D0612=D0923_H0595:437a-12	lha'i dbang po /	437a	lha dbang po 
BO_K12_D0612=D0923_H0595:437a-13	khyod kyis rgyal mtshan gyi rtse mo'i dpung rgyan zhes bya ba gzhan gyis mi thub pa'i gzungs zungs shig /	437a	khyod kyis rgyal mtshan gyi rtse mo dpung rgyan zhes byed ba gzhan gyis mi thub ba gzungs zungs shig 
BO_K12_D0612=D0923_H0595:437a-14	ngas kyang sngon byang chub sems dpar gyur pa na de bzhin gshegs pa gzhan gyis mi thub pa'i rgyal mtshan las 'di mnos so //	437a	ngas kyang sngon byang chub sems dpar gyur ba na de bzhin gshegs ba gzhan gyis mi thub ba rgyal mtshan las di mno so 
BO_K12_D0612=D0923_H0595:437a-15	mnos nas kyang gzhan la rgya cher yang dag par bshad do //	437a	mno nas kyang gzhan la rgya cher yang dag ba chad do 
BO_K12_D0612=D0923_H0595:437a-16	mngon par dran te /	437a	mngon ba dran te 
BO_K12_D0612=D0923_H0595:437a-17	de tshun chad 'jigs pa'am /	437a	de tshun chad jigs ba 
BO_K12_D0612=D0923_H0595:437a-18	bag tsha ba'am /	437a	bag tsha ba 
BO_K12_D0612=D0923_H0595:437b-0	spu zing zhes @437b byed pa'am /	437b	spu zing zhes byed ba 
BO_K12_D0612=D0923_H0595:437b-1	tha na skad cig yud tsam yang lus la gnod pa byung ma myong ngo //	437b	tha na skad cig yud tsam yang lus la gnod ba byung ma myong ngo 
BO_K12_D0612=D0923_H0595:437b-2	bcom ldan 'das /	437b	joms ldan da 
BO_K12_D0612=D0923_H0595:437b-3	rgyal mtshan gyi rtse mo'i dpung rgyan zhes bgyi ba gzhan gyis mi thub pa'i gzungs de gang lags /	437b	rgyal mtshan gyi rtse mo dpung rgyan zhes bgyid ba gzhan gyis mi thub ba gzungs de gang lags 
BO_K12_D0612=D0923_H0595:437b-4	bcom ldan 'das kyis bka' stsal pa /	437b	joms ldan da kyis bka stsal ba 
BO_K12_D0612=D0923_H0595:437b-5	tadya th'a / aom dza ya dza ya /	437b	tadya tha aom dza ya dza ya 
BO_K12_D0612=D0923_H0595:437b-6	bi dza ya bi dza ya /	437b	bi dza ya bi dza ya 
BO_K12_D0612=D0923_H0595:437b-7	dza ya ba hi ni /	437b	dza ya ba hi ni 
BO_K12_D0612=D0923_H0595:437b-8	shangka ri shangka ri /	437b	shangka ri shangka ri 
BO_K12_D0612=D0923_H0595:437b-9	pra bhangka re /	437b	pra bhangka re 
BO_K12_D0612=D0923_H0595:437b-10	bdag dang sems can thams cad kyi sarba sha tr'um/	437b	bdag dang sems can thams cad kyi sarba sha 
BO_K12_D0612=D0923_H0595:437b-11	dzambha ya dzambha ya /	437b	dzambha ya dzambha ya 
BO_K12_D0612=D0923_H0595:437b-12	stambha ya stambha ya /	437b	stambha ya stambha ya 
BO_K12_D0612=D0923_H0595:437b-13	mo ha ya mo ha ya /	437b	mo ha ya mo ha ya 
BO_K12_D0612=D0923_H0595:437b-14	bha ga ba ti /	437b	bha ga ba ti 
