segmentnr	original	stemmed
BO_K12_D0686-2_H0689-2:54b-8	nam mkha' lding gi 'khor gang yin pa thams cad kyang rdo rje mchu rtse mo chen po stobs kyi shugs rjes su thob par gyur to //	nam mkha lding gi khor gang yin ba thams cad kyang rdo rje mchu rtse mo chen po stobs kyi shugs rjes su thob ba gyur to 
BO_K12_D0686-2_H0689-2:55a-0	mi 'am ci dang / lto 'phye chen po'i 'khor gang yin pa thams cad @55a *//	mi mang ci dang lto phye chen po khor gang yin ba thams cad 
BO_K12_D0686-2_H0689-2:55a-1	kyang lus dang / ngag dang / yid yongs su dag par gyur to //	kyang lus dang ngag dang yid yongs su dag ba gyur to 
BO_K12_D0686-2_H0689-2:55a-2	dge bsnyen dang / dge bsnyen ma dang / bud med dang / skyes pa dang / khye'u dang / bu mo gang yin pa de rnams thams cad skye ba dang / rga ba dang / 'chi ba'i sdug bsngal las yongs su grol bar gyur to //	dge snyen dang dge snyen ma dang bud med dang skye ba dang khyeu dang bu mo gang yin ba de rnams thams cad skye ba dang rga ba dang chi ba sdug sngal las yongs su grol ba gyur to 
BO_K12_D0686-2_H0689-2:55a-3	bcom ldan 'das kyis kyang sku las nyi ma'i tog ces bya ba'i 'od zer chen po rnam par sbros te byang chub sems dpa' sems dpa' chen po 'phags pa spyan ras gzigs dbang phyug gi thugs kar rjes su zhugs so //	joms ldan da kyis kyang sku las nyi ma tog ces byed ba d zer chen po rnam ba sbros te byang chub sems dpa sems dpa chen po phag ba spyan ras gzigs dbang phyug gi thugs kar rjes su jug so 
BO_K12_D0686-2_H0689-2:55a-4	spyan ras gzigs dbang phyug gi thugs kar zhugs ma thag tu gnod sbyin gyi sde dpon chen po snyag na rdo rje la 'di skad ces bka' stsal to //	spyan ras gzigs dbang phyug gi thugs kar jug ma thag tu gnod sbyin gyi sde dpon chen po snyag na rdo rje la di skad ces bka stsal to 
BO_K12_D0686-2_H0689-2:55a-5	lag na rdo rje /	lag na rdo rje 
BO_K12_D0686-2_H0689-2:55a-6	don yod zhags pa'i padma gtsug tor gyi gsang pa'i rnam par 'phrul pa la ltos shig /	don yod zhags ba padma gtsug tor gyi gsang ba rnam ba phrul ba la ltos shig 
BO_K12_D0686-2_H0689-2:55a-7	lag na rdo rjes gsol pa /	lag na rdo rjes gsol ba 
BO_K12_D0686-2_H0689-2:55a-8	bcom ldan 'das /	joms ldan da 
BO_K12_D0686-2_H0689-2:55a-9	bdag gis mthong lags so //	bdag gis mthong lags so 
BO_K12_D0686-2_H0689-2:55a-10	sems dpa' dag pa /	sems dpa dag ba 
BO_K12_D0686-2_H0689-2:55a-11	bdag gis mthong lags so //	bdag gis mthong lags so 
BO_K12_D0686-2_H0689-2:55a-12	sems dpa' chen po dag pa /	sems dpa chen po dag ba 
BO_K12_D0686-2_H0689-2:55a-13	'di'i rnam par 'phrul pa bsam gyis mi khyab pa padma'i dbang phyug don yod pa'i zhags pa'i snying po /	di rnam ba phrul ba bsam gyis mi khyab ba padma dbang phyug don yod ba zhags ba snying po 
BO_K12_D0686-2_H0689-2:55a-14	padma gtsug tor gyi gsang ba'i snying po'i dkyil 'khor shin tu zab pa /	padma gtsug tor gyi gsang ba snying po dkyil khor shin tu zab ba 
BO_K12_D0686-2_H0689-2:55a-15	shin tu rgya che ba /	shin tu rgya che ba 
BO_K12_D0686-2_H0689-2:55a-16	rmad du byung ba chen po /	rmad du byung ba chen po 
BO_K12_D0686-2_H0689-2:55a-17	dngos grub mchog sgrub par byed pa ni /	dngos grub mchog sgrub ba byed ba ni 
BO_K12_D0686-2_H0689-2:55a-18	bcom ldan 'das /	joms ldan da 
BO_K12_D0686-2_H0689-2:55a-19	mtha' dag rgyas par gsungs shig /	mtha dag rgya ba gsungs shig 
BO_K12_D0686-2_H0689-2:55b-0	@55b gsang sngags rim par phye ba dang / rig sngags dang dkyil 'khor rmad du byung ba /	gsang sngags rim ba byed ba dang rig sngags dang dkyil khor rmad du byung ba 
BO_K12_D0686-2_H0689-2:55b-1	nye bar spyod pa'i cho ga dang bcas pa ni /	nye ba spyod ba cho ga dang cha ba ni 
BO_K12_D0686-2_H0689-2:55b-2	sems can thams cad kyi sdig pa rnam par 'joms pa'i don dang / rig sngags 'chang rnams kyi mchog 'grub pa'i don du de bzhin gshegs pa'i spyan sngar gsungs shig /	sems can thams cad kyi sdig ba rnam ba joms ba don dang rig sngags chang rnams kyi mchog grub ba don du de bzhin gshegs ba spyan sngar gsungs shig 
BO_K12_D0686-2_H0689-2:55b-3	de nas byang chub sems dpa' sems dpa' chen po 'phags pa spyan ras gzigs dbang phyug gis gnod sbyin gyi sde dpon chen po lag na rdo rje la 'di skad ces smras so //	de nas byang chub sems dpa sems dpa chen po phag ba spyan ras gzigs dbang phyug gis gnod sbyin gyi sde dpon chen po lag na rdo rje la di skad ces smras so 
BO_K12_D0686-2_H0689-2:55b-4	lag na rdo rje /	lag na rdo rje 
BO_K12_D0686-2_H0689-2:55b-5	don yod zhags pa'i snying po'i mchog tu gsang ba /	don yod zhags ba snying po mchog tu gsang ba 
BO_K12_D0686-2_H0689-2:55b-6	gtsug tor thams cad kyi dkyil 'khor sems can thams cad kyi don gyi ched du sdig pa thams cad nyams par byed pa /	gtsug tor thams cad kyi dkyil khor sems can thams cad kyi don gyi ched du sdig ba thams cad nyams ba byed ba 
BO_K12_D0686-2_H0689-2:55b-7	sgrib pa thams cad rnam par sbyong bar byed pa; dri ma dang rnyog ma thams cad sel bar byed pa /	sgrib ba thams cad rnam ba sbyong ba byed pa; dri ma dang rnyog ma thams cad sel ba byed ba 
BO_K12_D0686-2_H0689-2:55b-8	nad thams cad rab tu zhi bar byed pa /	nad thams cad rab tu zhi ba byed ba 
BO_K12_D0686-2_H0689-2:55b-9	bkra mi shis pa thams cad zlog par byed pa /	bkra mi shis ba thams cad zlog ba byed ba 
BO_K12_D0686-2_H0689-2:55b-10	sdig pa dang / ma rungs pa'i sems can phyir rgol ba dang / dgra'i 'jigs pa rab tu zhi bar byed pa /	sdig ba dang ma rungs ba sems can phyir rgol ba dang dgra jigs ba rab tu zhi ba byed ba 
BO_K12_D0686-2_H0689-2:55b-11	bgegs dang / log par 'dren pa thams cad tshar gcod par byed pa /	bgegs dang log ba bgrang ba thams cad tshar gcod ba byed ba 
BO_K12_D0686-2_H0689-2:55b-12	bdud la sogs pa'i rungs pa thams cad 'joms par byed pa /	bdud la sogs ba rungs ba thams cad joms ba byed ba 
BO_K12_D0686-2_H0689-2:56a-0	dug dang / mtshon cha dang / me dang / chu'i 'jigs pa dang / mche ba'i dug dang / seng+ge dang / rgyal po dang / gnod sbyin rnams zlog par byed @56a *//	dug dang mtshon cha dang me dang chu jigs ba dang mche ba dug dang seng+ge dang rgyal po dang gnod sbyin rnams zlog ba byed 
BO_K12_D0686-2_H0689-2:56a-1	pa; dug dang / byang stems dang / g-yeng byed dang / phye ma'i sbyor ba thams cad rnam par nyams par byed pa /	pa; dug dang byang stem dang g-yeng byed dang byed ma sbyor ba thams cad rnam ba nyams ba byed ba 
BO_K12_D0686-2_H0689-2:56a-2	don yod zhags pa'i snying po de kho na nyid gces pa rmad du byung ba de kho na nyid kyi snying po'i sgrub pa bla na med pa bklags pas grub pa 'di rjes su zungs shig /	don yod zhags ba snying po de kho na nyid gces ba rmad du byung ba de kho na nyid kyi snying po sgrub ba bla na med ba bklags ba grub ba di rjes su zungs shig 
BO_K12_D0686-2_H0689-2:56a-3	de nas gnod sbyin gyi sde dpon chen po lag na rdo rje bzhin 'dzum cing /	de nas gnod sbyin gyi sde dpon chen po lag na rdo rje bzhin dzum cing 
BO_K12_D0686-2_H0689-2:56a-4	gdong khro gnyer dang bral bas rdo rje bskor bar byed bzhin du byang chub sems dpa' sems dpa' chen po spyan ras gzigs dbang phyug la 'di skad ces smras so //	gdong khro gnyer dang bral ba rdo rje skor ba byed bzhin du byang chub sems dpa sems dpa chen po spyan ras gzigs dbang phyug la di skad ces smras so 
BO_K12_D0686-2_H0689-2:56a-5	bcom ldan 'das /	joms ldan da 
BO_K12_D0686-2_H0689-2:56a-6	don yod pa'i zhags pa'i snying po dam par gyur pa gsang ba padma gtsug tor gyi dkyil 'khor de rnams du zhig lags pa de dag bcom ldan 'das kyis gsungs shig /	don yod ba zhags ba snying po dam ba gyur ba gsang ba padma gtsug tor gyi dkyil khor de rnams du jig lags ba de dag joms ldan da kyis gsungs shig 
BO_K12_D0686-2_H0689-2:56a-7	de nas byang chub sems dpa' sems dpa' chen po 'phags pa spyan ras gzigs dbang phyug gis gnod sbyin gyi sde dpon chen po lag na rdo rjes gsol ba btab par rig nas phyag g-yas pas lte ba'i padma'i phyag rgya'i rnam pa la reg go /	de nas byang chub sems dpa sems dpa chen po phag ba spyan ras gzigs dbang phyug gis gnod sbyin gyi sde dpon chen po lag na rdo rjes gsol ba debs ba rig nas phyag g-yas ba lte ba padma phyag rgya rnam ba la reg go 
BO_K12_D0686-2_H0689-2:56a-8	reg ma thag tu phyag g-yas pa'i padma la snying po rig sngags de yang padma'i steng du 'dug ste /	reg ma thag tu phyag g-yas ba padma la snying po rig sngags de yang padma steng du dug ste 
BO_K12_D0686-2_H0689-2:56a-9	rang gi ngo bo gzhal med khang tshangs pa'i cha byad 'chang ba don yod pa'i gzugs spyan gsum pa /	rang gi ngo bo jal med khang tshangs ba cha byad chang ba don yod ba gzugs spyan gsum ba 
BO_K12_D0686-2_H0689-2:56a-10	phyag bzhi pa /	phyag bzhi ba 
BO_K12_D0686-2_H0689-2:56b-0	rgyan @56b thams cad gyi rnam par brgyan pa /	rgyan thams cad gyi rnam ba rgyan ba 
BO_K12_D0686-2_H0689-2:56b-1	nor bu gser gyi cod pan can /	nor bu gser gyi cod pan can 
BO_K12_D0686-2_H0689-2:56b-2	'od dpag med kyi cod ban gyis brgyan pa /	d dpog med kyi cod ban gyis rgyan ba 
BO_K12_D0686-2_H0689-2:56b-3	ral ba'i cod pa na padma'i gtsug tor gyis spud pa /	ral ba cod ba na padma gtsug tor gyis spud ba 
BO_K12_D0686-2_H0689-2:56b-4	zla ba phyod pas rnam par mdzes pa /	zla ba phyod ba rnam ba mdzes ba 
BO_K12_D0686-2_H0689-2:56b-5	zhags pa 'chang ba /	zhags ba chang ba 
BO_K12_D0686-2_H0689-2:56b-6	padma'i gtsug tor 'chang ba dang / nor bu'i byug pa 'chang ba dang / rdo rje'i dbyug pa 'chang ba /	padma gtsug tor chang ba dang nor bu byug ba chang ba dang rdo rje dbyug ba chang ba 
BO_K12_D0686-2_H0689-2:56b-7	skyil mo krung gis bzhugs pa; 'od zer 'bar bas yang dag par brgyan pa /	skyil mo krung gis bzhugs pa; d zer bar ba yang dag ba rgyan ba 
BO_K12_D0686-2_H0689-2:56b-8	gos rnam par bkra ba sna tshogs dang / spyan nyi ma dang / zla bas lhag par 'bar bas rnam par mdzes pa /	gos rnam ba bkra ba sna tshogs dang spyan nyi ma dang zla ba lhag ba bar ba rnam ba mdzes ba 
BO_K12_D0686-2_H0689-2:56b-9	padma rnams kyi steng na mdzes bzhin pa /	padma rnams kyi steng na mdzes bzhin ba 
BO_K12_D0686-2_H0689-2:56b-10	de bzhin gshegs pa thams cad thugs mnyes par byed pa /	de bzhin gshegs ba thams cad thugs mnyes ba byed ba 
BO_K12_D0686-2_H0689-2:56b-11	byang chub sems dpa' thams cad kyi phyag bya bar 'os pa /	byang chub sems dpa thams cad kyi phyag byed ba s ba 
BO_K12_D0686-2_H0689-2:56b-12	lha thams cad kyis mchod par 'os pa /	lha thams cad kyis mchod ba s ba 
BO_K12_D0686-2_H0689-2:56b-13	klu thams cad kyis rjes su gzung bar 'os pa /	klu thams cad kyis rjes su gzung ba s ba 
BO_K12_D0686-2_H0689-2:56b-14	drang srong thams cad kyis dga' bar 'os pa /	dren srong thams cad kyis dga ba s ba 
BO_K12_D0686-2_H0689-2:56b-15	lha ma yin pa dang / nam mkha' lding dang / mi 'am ci dang / lto 'phye chen po thams cad kyis rjes su 'gro bar 'os pa /	lha ma yin ba dang nam mkha lding dang mi mang ci dang lto phye chen po thams cad kyis rjes su gro ba s ba 
BO_K12_D0686-2_H0689-2:56b-16	sems can thams cad kyi bla mar 'os pa mthong ste /	sems can thams cad kyi bla mar s ba mthong ste 
