segmentnr	original	stemmed
BO_K12_D0738=D1092_H0683:101b-0	@101b dpal lha mo sgra dbyangs la bstod pa /	dpal lha mo sgra dbyangs la bstod ba 
BO_K12_D0738=D1092_H0683:101b-1	lam gang gis na sangs rgyas 'byung ba dang // rgyal ba sras bcas chos kyi bla mar gyur //	lam gang gis na sangs rgya byung ba dang rgyal ba sras cha chos kyi bla mar gyur 
BO_K12_D0738=D1092_H0683:101b-2	mkhyen pa'i rim par sa rnams bkod pa yi //	mkhyen ba rim ba sa rnams bkod ba yi 
BO_K12_D0738=D1092_H0683:101b-3	shes rab dkyil 'khor mang la skyabs su mchi //	shes rab dkyil khor mang la skyob su mchi 
BO_K12_D0738=D1092_H0683:101b-4	phyag 'tshal dpal ldan lha mo dbyangs can ma //	phyag tshal dpal ldan lha mo dbyangs can ma 
BO_K12_D0738=D1092_H0683:101b-5	'jig rten khams 'dir smra la dbang brnyes shing //	jig rten khams dir smra la dbang brnyes shing 
BO_K12_D0738=D1092_H0683:101b-6	drang srong rig gsum rig pa'i pha rol gshegs //	dren srong rig gsum rig ba pha rol gshegs 
BO_K12_D0738=D1092_H0683:102a-0	de ni spyod pa rgya @102a *//	de ni spyod ba rgya 
BO_K12_D0738=D1092_H0683:102a-1	chen rnams las byung //	chen rnams las byung 
BO_K12_D0738=D1092_H0683:102a-2	sems can don phyir 'phrin las chen po'i khur //	sems can don phyir phrin las chen po khur 
BO_K12_D0738=D1092_H0683:102a-3	spro bar dka' ba kun kyang khyod kyis mdzad //	spro ba dka ba kun kyang khyod kyis mdzad 
BO_K12_D0738=D1092_H0683:102a-4	sa dang pha rol phyin pa bcu spyad pas //	sa dang pha rol phyin ba chu spyod ba 
BO_K12_D0738=D1092_H0683:102a-5	dge ba'i tshogs brtan yid bzhin las su bsgyur //	dge ba tshogs brtan yid bzhin las su sgyur 
BO_K12_D0738=D1092_H0683:102a-6	zhal gyi dkyil 'khor zla ba dri med rgyas //	zhal gyi dkyil khor zla ba dri med rgya 
BO_K12_D0738=D1092_H0683:102a-7	thugs rje'i spyan gyis 'gro ba'i mig byed pa //	thugs rje spyan gyis gro ba mig byed ba 
BO_K12_D0738=D1092_H0683:102a-8	dus ring 'jig rten kun la bde bar gzigs //	dus ring jig rten kun la bde ba gzigs 
BO_K12_D0738=D1092_H0683:102a-9	de la dbang po tshangs sogs shin tu 'dud //	de la dbang po tshangs sogs shin tu dud 
BO_K12_D0738=D1092_H0683:102a-10	byams shing bzod ldan snying rje bskyed pa'i ma //	byams shing bzod ldan snying rje skyed ba ma 
BO_K12_D0738=D1092_H0683:102a-11	lha mo mchog de 'gro kun skyong bar dgyes //	lha mo mchog de gro kun skyong ba dgyes 
BO_K12_D0738=D1092_H0683:102a-12	thor tshugs ri bo rtse 'dra spobs pa 'phags //	thor tshugs ri bo rtse dra spobs ba phag 
BO_K12_D0738=D1092_H0683:102a-13	shes rab zab cing shes pa'i rten byed kyang //	shes rab zab cing shes ba rten byed kyang 
BO_K12_D0738=D1092_H0683:102a-14	rig pa'i gnas la mnga' brnyes tshig gi bdag /	rig ba gnas la mnga brnyes tshig gi bdag 
