segmentnr	original	folio	stemmed
BO_NG_0090:3-285	mi shes pa yis rang dbang med //	3	mi shes ba yis rang dbang med 
BO_NG_0090:3-286	mi yi byad kyis me long ltar //	3	mi yi byad kyis me long ltar 
BO_NG_0090:3-287	phar bltas tshur mthong bzhin gsal ba //	3	phar lta tshur mthong bzhin gsal ba 
BO_NG_0090:3-288	gzhi ngo shes pas gzhi las 'das //	3	gzhi ngo shes ba gzhi las da 
BO_NG_0090:3-289	'das pa lnga po chos las min //	3	da ba lnga po chos las min 
BO_NG_0090:3-290	ye shes zang thal rang shar bas //	3	ye shes zang thal rang char ba 
BO_NG_0090:3-291	thams cad mkhyen pa ma 'gags pas //	3	thams cad mkhyen ba ma gag ba 
BO_NG_0090:3-292	mkhyen pa de ltar shar ba yin //	3	mkhyen ba de ltar char ba yin 
BO_NG_0090:3-293	drug gis bstan pa'i dgongs pa dang *// mu stegs ston pa drug po yis //	3	drug gis ston ba dgongs ba dang mu stegs ston ba drug po yis 
BO_NG_0090:3-294	grub mtha' gnyis su phye bas log //	3	grub mtha gnyis su byed ba log 
BO_NG_0090:3-295	gnyis med don dang mi 'gal lam //	3	gnyis med don dang mi gal lam 
BO_NG_0090:3-296	mnyam phyir don ni bzang ngan med //	3	mnyam phyir don ni bzang ngan med 
BO_NG_0090:3-297	bzang por 'dod na 'dod chags yin //	3	bzang por dod na dod chags yin 
BO_NG_0090:3-298	'dod pas mi myong rtog 'dre yin //	3	dod ba mi myong rtogs dre yin 
BO_NG_0090:3-299	'dre ru 'di bas che ba med //	3	dre ru di ba che ba med 
BO_NG_0090:3-300	ces gsungs so //	3	ces gsungs so 
BO_NG_0090:3-301	'byung po kun 'dul gyi rgyud las //	3	byung po kun dul gyi brgyud las 
BO_NG_0090:3-302	kun tu bzang po'i dgongs pa bstan pa'i le'u sde so gnyis pa'o ///	3	kun tu bzang po dgongs ba ston ba leu sde so gnyis ba 
BO_NG_0090:3-303	/ de nas @#//	3	de nas 
BO_NG_0090:3-304	yang dag bshad bya ba //	3	yang dag chad byed ba 
BO_NG_0090:3-305	'byung po kun 'dul rgyud chen 'dir //	3	byung po kun dul brgyud chen dir 
BO_NG_0090:3-306	thams cad ma lus 'dus pa yin //	3	thams cad ma lus du ba yin 
BO_NG_0090:3-307	'di ni byin gyis brlabs pa'i rgyud du zung zhes gsungs so //	3	di ni byin gyis brlabs ba brgyud du zung zhes gsungs so 
BO_NG_0090:3-308	ston pa kun tu bzang po la //	3	ston ba kun tu bzang po la 
BO_NG_0090:3-309	rdo rje chos kyi blo gros rjes su yi rang ngo *//	3	rdo rje chos kyi blo gros rjes su yi rang ngo 
BO_NG_0090:3-310	'byung po kun 'dul gyi rgyud ces bya ba rdzogs so // //	3	byung po kun dul gyi brgyud ces byed ba rdzogs so 
