segmentnr	original	folio	stemmed
BO_NG_0249:1-0	1@#// rta mchog rol pa'i rgyud chen po bzhugs so //	1	rta mchog rol ba brgyud chen po bzhugs so 
BO_NG_0249:1-1	@#// rgya gar skad du /	1	rgya gar skad du 
BO_NG_0249:1-2	shrihha ya gri wa la li ta ma ha tan+t+ra /	1	shrihha ya gri wa la li ta ma ha tan+t+ra 
BO_NG_0249:1-3	bod skad du /	1	bod skad du 
BO_NG_0249:1-4	rta mchog rol pa'i rgyud chen po /	1	rta mchog rol ba brgyud chen po 
BO_NG_0249:1-5	bcom ldan 'das dpal pad+ma dbang chen he ru ka la phyag 'tshal lo //	1	joms ldan da dpal pad+ma dbang chen he ru ka la phyag tshal lo 
BO_NG_0249:1-6	'di skad bdag gis thos pa'i dus gcig na //	1	di skad bdag gis thos ba dus gcig na 
BO_NG_0249:1-7	bcom ldan 'das dbang gi rgyal po /	1	joms ldan da dbang gi rgyal po 
BO_NG_0249:1-8	dus gsum ma lus mi lus lus pa med pa'i ngo bo /	1	dus gsum ma lus mi lus lus ba med ba ngo bo 
BO_NG_0249:1-9	pad+ma dang rdo rje dang 'khor lo dang rin chen dang */ las kyi rigs kyi rang bzhin /	1	pad+ma dang rdo rje dang khor lo dang rin chen dang las kyi rigs kyi rang bzhin 
BO_NG_0249:1-10	rigs dang ye shes kyi bdag nyid /	1	rigs dang ye shes kyi bdag nyid 
BO_NG_0249:1-11	rol pa'i rdzu 'phrul la mnga' brnyes pa des /	1	rol ba rdzu phrul la mnga brnyes ba des 
BO_NG_0249:1-12	don chos nyid skye ba med pa las /	1	don chos nyid skye ba med ba las 
BO_NG_0249:1-13	rtags 'gag pa med pa cho 'phrul gyi skur bzhugs so //	1	rtags gag ba med ba cho phrul gyi skur bzhugs so 
BO_NG_0249:1-14	'og min gyi gnas gsang ba dbang gi gnas chen po na /	1	g min gyi gnas gsang ba dbang gi gnas chen po na 
