segmentnr	original	folio	stemmed
BO_NK001_(ka)008:0	/ skyabs 'gro yan lag drug pa lag tu blang nas rim par klog pa'i thabs ni //	0	skyob gro yan lag drug ba lag tu blang nas rim ba klog ba thabs ni 
BO_NK001_(ka)008:1	ga mar brgyud 'debs byas rjes /	0	ga mar brgyud debs byed rjes 
BO_NK001_(ka)008:2	rgya gar skad du nas /	0	rgya gar skad du nas 
BO_NK001_(ka)008:3	skyabs 'gro yan lag drug pa zhes pa'i bar barjoda rjes /	0	skyob gro yan lag drug ba zhes ba ba barjoda rjes 
BO_NK001_(ka)008:4	tshogs zhing gsal gdab /	0	tshogs zhing gsal gdab 
BO_NK001_(ka)008:5	e ma hoh rang gnas 'og min nas /	0	e ma hoh rang gnas g min nas 
BO_NK001_(ka)008:6	phyag 'tshal skyabs su mchi /	0	phyag tshal skyob su mchi 
BO_NK001_(ka)008:7	zhes pa'i bar barjoda rjes /	0	zhes ba ba barjoda rjes 
BO_NK001_(ka)008:8	langs te phyag 'tshal bzhin /	0	ldang te phyag tshal bzhin 
BO_NK001_(ka)008:9	dkon mchog gsum la phyag 'tshal lo //	0	dkon(d) mchog gsum la phyag tshal lo 
BO_NK001_(ka)008:10	dang / ngan song gsum dang 'gro ba lnga'i //	1	dang ngan gro gsum dang gro ba lnga 
BO_NK001_(ka)008:11	sdug basngala ma lus sel mdzad cing //	1	sdug basngala ma lus sel mdzad cing 
BO_NK001_(ka)008:12	sogs sh+loo ka gcig dpal jo bo a ti sha'i-skyabs 'gro bstan pa'i mchod spyod du gsungs pa 'di dang lhan cig barjoda bzhin phyag gang mang byas rjes /	1	sogs sh+loo ka gcig dpal jo bo a ti sha-skyabs gro ston ba mchod spyod du gsungs ba di dang lhan cig barjoda bzhin phyag gang mang byed rjes 
BO_NK001_(ka)008:13	phyag 'jog khar /	1	phyag jog khar 
BO_NK001_(ka)008:14	mgon po thugs rje che ldan pa //	1	mgon po thugs rje che ldan ba 
BO_NK001_(ka)008:15	sogs nas / dge 'dun la yang phyag 'tshal lo //	1	sogs nas dge dun la yang phyag tshal lo 
BO_NK001_(ka)008:16	bar barjoda rjes /	1	ba barjoda rjes 
BO_NK001_(ka)008:17	ston pa bla med sangs rgyas rin po che //	1	ston ba bla med sangs rgya rin po che 
BO_NK001_(ka)008:18	sogs sh+loo ka dang / thabs mkhas thugs rjes sh+aakya'i rigs su 'khrungs //	1	sogs sh+loo ka dang thabs mkhas thugs rjes sh+aakya rigs su khrung 
BO_NK001_(ka)008:19	sogs sh+loo ka barjoda rjes /	1	sogs sh+loo ka barjoda rjes 
BO_NK001_(ka)008:20	mdzad pa bcu gnyis barjoda rjes /	2	mdzad ba chu gnyis barjoda rjes 
BO_NK001_(ka)008:21	zag med kyi chos sde nyer gcig mdo rgyan nas gsungs pa go rim mi 'dra ba /	2	zag med kyi chos sde nyer gcig mdo rgyan nas gsungs ba go rim mi dra ba 
BO_NK001_(ka)008:22	skyabs 'gro 'di bshad pa'i dbang du byas shing /	2	skyob gro di chad ba dbang du byed shing 
BO_NK001_(ka)008:23	phar phyin drug gis bstod pa nas /	2	phar phyin drug gis bstod ba nas 
BO_NK001_(ka)008:24	dkon mchog rjes dran dang sbyar nas bshad pa'i go rim yin pas de rnams ltar barjoda rjes /	2	dkon(d) mchog rjes dran dang sbyor nas chad ba go rim yin ba de rnams ltar barjoda rjes 
BO_NK001_(ka)008:25	smra bsam barjoda med shes rab pha rol phyin //	2	smra bsam barjoda med shes rab pha rol phyin 
