segmentnr	original	folio	stemmed
BO_NK001_(ka)020:0	gnas brtan phyag mchod dang 'brel bar cho ga mdor bsdus bya tshul bzhugs /	0	gnas brtan phyag mchod dang brel ba cho ga mdor sdud byed tshul bzhugs 
BO_NK001_(ka)020:1	swa sti / pan chen sh+aakya sh+ris mdzad par grags pa'i gnas brtan phyag mchod dang 'brel bar cho ga mdor bsdus tsam bya tshul gyi ngag 'don ni /	0	swa sti pan chen sh+aakya sh+ris mdzad ba grags ba gnas brtan phyag mchod dang brel ba cho ga mdor sdud tsam byed tshul gyi ngag don ni 
BO_NK001_(ka)020:2	sangs rgyas chos tshogs lan gsum /	0	sangs rgya chos tshogs lan gsum 
BO_NK001_(ka)020:3	sems can thams cad bde ba dang sogs /	0	sems can thams cad bde ba dang sogs 
BO_NK001_(ka)020:4	skyabs gnas dkon mchog gsum gyi bden pa dang // rgyal ba sras bcas rnams kyi byin rlabs dang // tshogs gnyis mnga' thang chos dbyings dag stobs kyis //	0	skyob gnas dkon(d) mchog gsum gyi bden ba dang rgyal ba sras cha rnams kyi byin rlabs dang tshogs gnyis mnga thang chos dbyings dag stobs kyis 
BO_NK001_(ka)020:5	snod bcud bde can zhing gi bkod pa'i dbus //	0	snod bcud bde can zhing gi bkod ba dbus 
BO_NK001_(ka)020:6	yid 'phrog nor bu'i gzhal med khang chen por //	0	yid phrog nor bu jal med khang chen por 
BO_NK001_(ka)020:7	rin chen seng khri pad zla'i gdan mchog dang // dngos bshams gzungs rig mos stobs kyis sprul pa'i //	0	rin chen seng khri pad zla gdan mchog dang dngos bshams gzungs rig mos stobs kyis sprul ba 
BO_NK001_(ka)020:8	mchod sprin rgya mtshos gang zhing spyod gyur cig /	0	mchod sprin rgya mtshos gang zhing spyod gyur cig 
BO_NK001_(ka)020:9	ces dang / na mo rat+na tra y+aa ya sogs mchod pa'i sprin gyi sngags lan gsum rol mo bcas bya /	0	ces dang na mo rat+na tra y+aa ya sogs mchod ba sprin gyi sngags lan gsum rol mo cha byed 
BO_NK001_(ka)020:10	spos btul zhing gdangs dang bcas /	1	spros dul zhing gdang dang cha 
BO_NK001_(ka)020:11	lag mthil ltar mnyam rin chen gyis spras pa //	1	lag mthil ltar mnyam rin chen gyis spras ba 
BO_NK001_(ka)020:12	ljon shing chu mtshos brgyan pa'i sa gzhi'i dbus //	1	ljon shing chu mtshos rgyan ba sa gzhi dbus 
