segmentnr	original	folio	stemmed
BO_NK002_(kha)014:0	sman bla'i gzungs ring ni /	0	sman bla gzungs ring ni 
BO_NK002_(kha)014:1	tad+ya th+aa / g+hu me g+hu me /	0	tad+ya th+aa g+hu me g+hu me 
BO_NK002_(kha)014:2	i mi ni mi hi /	0	i mi ni mi hi 
BO_NK002_(kha)014:3	ma ti ma ti /	0	ma ti ma ti 
BO_NK002_(kha)014:4	sap+ta ta th+aa ga ta sa ma d+h+y+aa d+hish+thi te /	0	sap+ta ta th+aa ga ta sa ma d+h+y+aa d+hish+thi te 
BO_NK002_(kha)014:5	a ti ma ti /	0	a ti ma ti 
BO_NK002_(kha)014:6	b+aa le / p+aa pam sho d+ha ni /	0	b+aa le p+aa pam sho d+ha ni 
BO_NK002_(kha)014:7	sarba p+aa pam n+aa sha ya /	0	sarba p+aa pam n+aa sha ya 
BO_NK002_(kha)014:8	ma ma b+hu d+ha /	0	ma ma b+hu d+ha 
BO_NK002_(kha)014:9	bud+d+hot+ta me / u me ku me /	0	bud+d+hot+ta me u me ku me 
BO_NK002_(kha)014:10	bud+d+hak+she tra pa ri shi d+ha ni /	1	bud+d+hak+she tra ba ri chi d+ha ni 
BO_NK002_(kha)014:11	d+ha me ni d+ha me /	1	d+ha me ni d+ha me 
BO_NK002_(kha)014:12	me ru me ru /	1	me ru me ru 
BO_NK002_(kha)014:13	me ru shi kha re /	1	me ru chi kha re 
BO_NK002_(kha)014:14	sarba a k+aa la mri t+yu ni b+aa ra ni /	1	sarba a k+aa la mri t+yu ni b+aa ra ni 
BO_NK002_(kha)014:15	bud+d+he su bud+d+he bud+d+ha d+hish+tha na /	1	bud+d+he su bud+d+he bud+d+ha d+hish+tha na 
BO_NK002_(kha)014:16	rak+shan+tu me / sarba de b+aa sa me a sa me sa ma n+w+aa ha ran+tu me /	1	rak+shan+tu me sarba de b+aa sa me a sa me sa ma n+w+aa ha ran+tu me 
BO_NK002_(kha)014:17	sarba bud+ha bo d+hi sa t+w+aa n+aam /	1	sarba bud+ha bo d+hi sa t+w+aa n+aam 
BO_NK002_(kha)014:18	sha me sha me /	1	sha me sha me 
BO_NK002_(kha)014:19	pra sha man+tu me /	1	pra sha man+tu me 
BO_NK002_(kha)014:20	sarba i d+yu pa dra ba b+y+aa d+ha ya /	2	sarba i d+yu ba dra ba b+y+aa d+ha ya 
BO_NK002_(kha)014:21	p+au ra ni /	2	p+au ra ni 
BO_NK002_(kha)014:22	p+au ra ni /	2	p+au ra ni 
BO_NK002_(kha)014:23	p+au ra ya me /	2	p+au ra ya me 
BO_NK002_(kha)014:24	sarba +aa k+aa sh+aa ya bee d+aur+ya pra ti b+h+aa se /	2	sarba +aa k+aa sh+aa ya bee d+aur+ya pra ti b+h+aa se 
BO_NK002_(kha)014:25	sarba p+aa pam k+sha yam ka ri s+w+aa h+aa /	2	sarba p+aa pam k+sha yam ka ri s+w+aa h+aa 
BO_NK002_(kha)014:26	gzungs thung ni /	2	gzungs thung ni 
BO_NK002_(kha)014:27	tad+ya th+aa / b+he sha dz+yee b+he sha dz+yee ma h+aa b+he dz+yee r+aa dza ma mud+ga te s+w+aa h+aa ////	2	tad+ya th+aa b+he sha dz+yee b+he sha dz+yee ma h+aa b+he dz+yee r+aa dza ma mud+ga te s+w+aa h+aa 
