segmentnr	original	folio	stemmed
BO_NK003_(ga)008:0	kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs /	0	kun nas sgor jug ba d zer gtsug tor dri ma med ba snang ba de bzhin gshegs ba thams cad kyi snying po dang dam tshig la rnam ba lta ba zhes byed ba gzungs 
BO_NK003_(ga)008:1	rgya gar skad du /	0	rgya gar skad du 
BO_NK003_(ga)008:2	sa man+ta mu kha pra be sha rash+mi bi ma lo sh+n+ai sha pra b+h+aa sa sarba ta th+aa ga ta hri da ya sa ma ya bi lo ki te n+aa ma d+h+aa ra n+ai /	0	sa man+ta mu kha pra be sha rash+mi bi ma lo sh+n+ai sha pra b+h+aa sa sarba ta th+aa ga ta hri da ya sa ma ya bi lo ki te n+aa ma d+h+aa ra n+ai 
BO_NK003_(ga)008:3	bod skad du /	0	bod skad du 
BO_NK003_(ga)008:4	kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs /	0	kun nas sgor jug ba d zer gtsug tor dri ma med ba snang ba de bzhin gshegs ba thams cad kyi snying po dang dam tshig la rnam ba lta ba zhes byed ba gzungs 
BO_NK003_(ga)008:5	sangs rgyas dang byang chub sems dpa' thams cad la phyag 'tshal lo //	0	sangs rgya dang byang chub sems dpa thams cad la phyag tshal lo 
BO_NK003_(ga)008:6	de nas bcom ldan 'das dga' ldan gyi lha'i gnas na /	0	de nas joms ldan da dga ldan gyi lha gnas na 
BO_NK003_(ga)008:7	byang chub sems dpa'i dge 'dun chen po dang / zham ring ba lha'i tshogs chen po dang / tshangs pa dang / khyab 'jug dang / dbang phyug chen po la sogs pa'i lha rnams dang thabs cig tu bzhugs te /	0	byang chub sems dpa dge dun chen po dang zham ring ba lha tshogs chen po dang tshangs ba dang khyab jug dang dbang phyug chen po la sogs ba lha rnams dang thabs cig tu bzhugs te 
BO_NK003_(ga)008:8	'khor mang po tshogs pa la bcom ldan 'das pha rol tu phyin pa drug dang ldan pa'i chos ston par mdzad de /	0	khor mang po tshogs ba la joms ldan da pha rol tu phyin ba drug dang ldan ba chos ston ba mdzad de 
BO_NK003_(ga)008:9	'di lta ste /	0	di lta ste 
