segmentnr	original	folio	stemmed
BO_NK004_(nga)008:0	rdo rje rnam par 'joms pa khro dkar gyi gzungs kyi cho ga dbang bskur dang bcas pa dag byed shel gyi bum bzang zhes bya ba bzhugs so //	0	rdo rje rnam ba joms ba khro dkar gyi gzungs kyi cho ga dbang skur dang cha ba dag byed shel gyi bum bzang zhes byed ba bzhugs so 
BO_NK004_(nga)008:1	na mahsh+r+ai gu ru sarba tan+t+ra pa ta ye /	0	na mahsh+r+ai gu ru sarba tan+t+ra ba ta ye 
BO_NK004_(nga)008:2	zla shel ltar dkar nyes ltung sgrib pa'i dpung //	0	zla shel ltar dkar nyes ltung sgrib ba dpung 
BO_NK004_(nga)008:3	rnam par 'joms mdzad rdo rje bdud rtsi'i rgyun //	0	rnam ba joms mdzad rdo rje bdud rtsi rgyun 
BO_NK004_(nga)008:4	bsam pa yongs su rdzogs pa'i dpyid du 'bebs //	0	bsam ba yongs su rdzogs ba dpyid du bebs 
BO_NK004_(nga)008:5	'gro mang mgon du shar ba de la 'dud //	0	gro mang mgon du char ba de la dud 
BO_NK004_(nga)008:6	de nyid sgrub pa'i thabs dang byin rlabs sgo //	0	de nyid sgrub ba thabs dang byin rlabs sgo 
BO_NK004_(nga)008:7	gsar rnying kun la rgya cher grags mod kyi //	0	gsar rnying kun la rgya cher grags mod kyi 
BO_NK004_(nga)008:8	snga 'gyur bka' srol 'di nyid rnyed dka' bas //	0	snga gyur bka srol di nyid rnyed dka ba 
BO_NK004_(nga)008:9	yig cha rnying pa'i snying po bsdu bar bya //	0	yig cha rnying ba snying po sdud ba byed 
BO_NK004_(nga)008:10	gsar rnying brgyud pa'i bka' srol gnyis ldan gyi rnam 'joms khro dkar lha nyi shu pa'i gzungs chog rgyal ba kahthoga pa'i phyag bzhes ltar 'chad pa la gsum /	1	gsar rnying brgyud ba bka srol gnyis ldan gyi rnam joms khro dkar lha nyi shu ba gzungs chog rgyal ba kahthoga ba phyag bzhes ltar chad ba la gsum 
BO_NK004_(nga)008:11	sngon 'gro dkyil 'khor dang cho ga la 'jug pa'i bya ba /	1	sngon gro dkyil khor dang cho ga la jug ba byed ba 
BO_NK004_(nga)008:12	dngos gzhi rang dang gzhan gyi don ji ltar bsgrub pa /	1	dngos gzhi rang dang gzhan gyi don ji ltar sgrub ba 
BO_NK004_(nga)008:13	rjes de dag gi mjug bsdu ba'i tshul lo //	1	rjes de dag gi mjug sdud ba tshul lo 
BO_NK004_(nga)008:14	dang po la gnyis /	1	dang po la gnyis 
BO_NK004_(nga)008:15	sbyor ba'i sngon 'gro dang / cho ga'i sngon 'agro'o //	1	sbyor ba sngon gro dang cho ga sngon agro 
BO_NK004_(nga)008:16	sbyor ba la gnyis /	1	sbyor ba la gnyis 
BO_NK004_(nga)008:17	dkyil 'khor bri ba dang / rdzas bsham pa'o //	1	dkyil khor bri ba dang rdzas bsham ba 
BO_NK004_(nga)008:18	dang po ni /	1	dang po ni 
BO_NK004_(nga)008:19	gtsang zhing yid du 'ong ba'i gnas su dus bzang po la brtsams par bya ste /	1	gtsang zhing yid du ng ba gnas su dus bzang po la brtsams ba byed ste 
BO_NK004_(nga)008:20	thog mar dkar gtor gtsang ma la chab bran te /	2	thogs mar dkar thor gtsang ma la chab bran te 
BO_NK004_(nga)008:21	badz+ra a mri te h'u phata kyis bsang /	2	badz+ra a mri te hu phata kyis bsang 
BO_NK004_(nga)008:22	swa b+h+aa was sbyang /	2	swa b+h+aa was sbyong 
BO_NK004_(nga)008:23	stong pa'i ngang las rin po che'i snod du yig zhu ba las byung ba'i gtor rdzas rnams 'dod yon bdud rtsi'i phung po zad mi shes par bsam la /	2	stong ba ngang las rin po che snod du yig ju ba las byung ba thor rdzas rnams dod yon bdud rtsi phung po zad mi shes ba bsam la 
BO_NK004_(nga)008:24	a k+aa ro brjod pas brlab /	2	a k+aa ro rjod ba brlab 
BO_NK004_(nga)008:25	b+h+au mi pa ta sa pa ri w+aa ra na mahsarba ta th+aa ga te b+h+yo nas /	2	b+h+au mi ba ta sa ba ri w+aa ra na mahsarba ta th+aa ga te b+h+yo nas 
BO_NK004_(nga)008:26	ga ga na kham ba lim ta s+w+aa h+aas phul /	2	ga ga na kham ba lim ta s+w+aa h+aas bul 
BO_NK004_(nga)008:27	gang dag 'dir gnas lha dang klu //	2	gang dag dir gnas lha dang klu 
BO_NK004_(nga)008:28	gnod sbyin srin po'am gzhan dag la //	2	gnod sbyin srin po gzhan dag la 
BO_NK004_(nga)008:29	dkyil 'khor don du sa 'di ni //	2	dkyil khor don du sa di ni 
BO_NK004_(nga)008:30	bdag zhu khyed kyis stsal du gsol //	3	bdag ju khyed kyis stsal du gsol 
BO_NK004_(nga)008:31	zhes gtor ma phul bas gnang ba byin par bsam /	3	zhes thor ma bul ba gnang ba byin ba bsam 
BO_NK004_(nga)008:32	nag phyogs rnams gong gi las sngags brjod cing gu gul dud pa sogs kyis bskrad /	3	nag phyogs rnams gong gi las sngags rjod cing gu gul dud ba sogs kyis skrod 
BO_NK004_(nga)008:33	chos nyid rnam dag sngags brjod la sa gzhi stong nying du mos /	3	chos nyid rnam dag sngags rjod la sa gzhi stong nying du mos 
BO_NK004_(nga)008:34	gzungs thung brjod cing dri chab 'thor bas sa gzhi'i nyes skyon dag par mos pa ni sa chog mdor bsdus pa'o //	3	gzungs thung rjod cing dri chab thor ba sa gzhi nyes skyon dag ba mos ba ni sa chog mdor sdud ba 
BO_NK004_(nga)008:35	de nas stegs bu 'dom gang gru bzhi spos chab kyi chag chag gdab la /	3	de nas stegs bu dom gang gru bzhi spros chab kyi chag chag gdab la 
BO_NK004_(nga)008:36	kha dog lnga pa'i srad bu la bsangs gtor byas /	3	kha dog lnga ba srad bu la bsangs thor byed 
BO_NK004_(nga)008:37	mdun gyi nam mkhar rgyal ba sras bcas bzhugs pa la yid kyi sprul pas mchod par mos te /	3	mdun gyi nam mkhar rgyal ba sras cha bzhugs ba la yid kyi sprul ba mchod ba mos te 
BO_NK004_(nga)008:38	las sngags bzla bzhin du thig skud ye shes kyi rang bzhin du mos te zhi dkyil spyi 'gro'i thig gdab /	3	las sngags bzla bzhin du thig skud ye shes kyi rang bzhin du mos te zhi dkyil spyi gro thig gdab 
BO_NK004_(nga)008:39	dpa' bo 'bru lnga brjod pas rig lnga 'od du zhu ba'i tshon rtsir mos te /	3	dpa bo bru lnga rjod ba rig lnga d du ju ba tshon rtsir mos te 
BO_NK004_(nga)008:40	las sngags bzla bzhin du lte ba dkar po /	4	las sngags bzla bzhin du lte ba dkar po 
BO_NK004_(nga)008:41	de rgyab 'dab bzhi phyogs tshon /	4	de rgyab dab bzhi phyogs tshon 
BO_NK004_(nga)008:42	de rgyab 'khor lo rtsibs bcu ser po /	4	de rgyab khor lo rtsibs chu ser po 
BO_NK004_(nga)008:43	lha snam dang sgo rnams phyogs mdog /	4	lha snam dang sgo rnams phyogs mdog 
BO_NK004_(nga)008:44	rta babs rnam bzhi /	4	rta bab rnam bzhi 
BO_NK004_(nga)008:45	rdo ra me ri sogs spyi ltar bri /	4	rdo ra me ri sogs spyi ltar bri 
BO_NK004_(nga)008:46	mi 'grub na ras bris sam /	4	mi grub na ras bri sam 
BO_NK004_(nga)008:47	man+dala la me tog gi tshom bu dbus su gtso 'khor lnga /	4	man+dala la me tog gi tshom bu dbus su gtso khor lnga 
BO_NK004_(nga)008:48	de rgyab bcu /	4	de rgyab chu 
BO_NK004_(nga)008:49	de rgyab bzhi rnams bkod /	4	de rgyab bzhi rnams bkod 
BO_NK004_(nga)008:50	phyi ma gnyis ltar na thog ma'i sa chog ma byas kyang rung ngo //	5	phyi ma gnyis ltar na thogs ma sa chog ma byed kyang rung ngo 
BO_NK004_(nga)008:51	gnyis pa ni /	5	gnyis ba ni 
BO_NK004_(nga)008:52	rin po che'i bum pa skyon med pa gnyis 'du byas te /	5	rin po che bum ba skyon med ba gnyis du byed te 
BO_NK004_(nga)008:53	sum+b+ha ni brjod la yungs kar gyis brab /	5	sum+b+ha ni rjod la yungs kar gyis brab 
BO_NK004_(nga)008:54	las sngags brjod la gu gul bdug /	5	las sngags rjod la gu gul bdug 
BO_NK004_(nga)008:55	swa b+h+aa wa brjod cing srog chags med pa'i chus sum gnyis tsam bkang la /	5	swa b+h+aa wa rjod cing srog chags med ba chus sum gnyis tsam geng la 
BO_NK004_(nga)008:56	de nas / pra ma ti pany+tsa sid+d+hi +aahmh'u /	5	de nas pra ma ti pany+tsa sid+d+hi +aahmhu 
BO_NK004_(nga)008:57	zhes 'bru lnga blugs /	5	zhes bru lnga blugs 
BO_NK004_(nga)008:58	a mri ta pany+tsa sid+d+hi +aahmh'u /	5	a mri ta pany+tsa sid+d+hi +aahmhu 
BO_NK004_(nga)008:59	sman lnga / karma pany+tsa sid+d+hi +aahmh'u /	5	sman lnga karma pany+tsa sid+d+hi +aahmhu 
BO_NK004_(nga)008:60	snying po lnga /	6	snying po lnga 
BO_NK004_(nga)008:61	rat+na pany+tsa sid+d+hi +aahmh'u /	6	rat+na pany+tsa sid+d+hi +aahmhu 
BO_NK004_(nga)008:62	rin chen lnga /	6	rin chen lnga 
BO_NK004_(nga)008:63	d+h+au pe pany+tsa sad+d+hi +aahmh'u /	6	d+h+au pe pany+tsa sad+d+hi +aahmhu 
BO_NK004_(nga)008:64	dri lnga rnams blugs /	6	dri lnga rnams blugs 
BO_NK004_(nga)008:65	kany+tsa li ka a b+hi shiny+tsa +aahmh'u /	6	kany+tsa li ka a b+hi shiny+tsa +aahmhu 
BO_NK004_(nga)008:66	zhes pas mgul chings bcing ngo //	6	zhes ba mgul ching ching ngo 
BO_NK004_(nga)008:67	blag sha kalpa a b+hi shiny+tsa +aahmh'u /	6	blag sha kalpa a b+hi shiny+tsa +aahmhu 
BO_NK004_(nga)008:68	zhes pas kha rgyan gzug go //	6	zhes ba kha rgyan gzug go 
BO_NK004_(nga)008:69	dz+ny+aa na badz+ra a b+hi shiny+tsa +aahh+aum /	6	dz+ny+aa na badz+ra a b+hi shiny+tsa +aahh+aum 
BO_NK004_(nga)008:70	zhes rdo rje dang gzungs thag gdags la /	7	zhes rdo rje dang gzungs thag dogs la 
BO_NK004_(nga)008:71	nye snying mthar /	7	nye snying mthar 
BO_NK004_(nga)008:72	sa ma ya tish+tha badz+ra s+t+wam /	7	sa ma ya tish+tha badz+ra s+t+wam 
BO_NK004_(nga)008:73	zhes brjod bzhin pas rnam rgyal dkyil 'khor gyi dbus su stegs bu la bkod /	7	zhes rjod bzhin ba rnam rgyal dkyil khor gyi dbus su stegs bu la bkod 
BO_NK004_(nga)008:74	lha tsaka rnams de mnyam dang / phyag rgya lnga'i tsakli /	7	lha tsaka rnams de mnyam dang phyag rgya lnga tsakli 
BO_NK004_(nga)008:75	las bum byang shar /	7	las bum byang char 
BO_NK004_(nga)008:76	mtha' skor shar du yon chab /	7	mtha skor char du yon chab 
BO_NK004_(nga)008:77	byang shar du dri chab /	7	byang char du dri chab 
BO_NK004_(nga)008:78	shar lho bdug spos /	7	char lho bdug spros 
BO_NK004_(nga)008:79	lhor man+dala / lho nub tu me tog /	7	lhor man+dala lho nub tu me tog 
BO_NK004_(nga)008:80	nub tu zhal zas /	8	nub tu zhal zas 
BO_NK004_(nga)008:81	nub byang du mar me /	8	nub byang du mar me 
BO_NK004_(nga)008:82	byang du rol mo rnams /	8	byang du rol mo rnams 
BO_NK004_(nga)008:83	mdun rgyab gang bder gtor dbang dang 'bul gtor phyogs 'thus zlum gtor brjid ldan la bshos phran bcu bzhis bskor ba dkar po rgyan gyis spras pa dang / dkar gtor cha bzhi yang de'i g.yas g.yon du bsham /	8	mdun rgyab gang bder thor dbang dang bul thor phyogs thus zlum thor brjid ldan la bshos phran chu bzhis skor ba dkar po rgyan gyis spras ba dang dkar thor cha bzhi yang de g.yas g.yon du bsham 
BO_NK004_(nga)008:84	'byor na sku gsung thugs kyi rten dang / dkyil 'khor gyi rgyan rdzas rnams bag dro zhing yid du 'ong ba bkod /	8	byor na sku gsung thugs kyi rten dang dkyil khor gyi rgyan rdzas rnams bag dro zhing yid du ng ba bkod 
BO_NK004_(nga)008:85	gzhan yang sngon gtor /	8	gzhan yang sngon thor 
BO_NK004_(nga)008:86	bsang chu / mig dar me tog sogs nyer bar mkho ba'i yo byad rnams nye bar bsdogs par bya'o //	8	bsang chu mig dar me tog sogs nyer ba mkho ba yo byad rnams nye ba sdog ba byed 
BO_NK004_(nga)008:87	gnyis pa cho ga'i sngon 'gro la lnga /	8	gnyis ba cho ga sngon gro la lnga 
BO_NK004_(nga)008:88	dri ma bkru ba /	8	dri ma khrud ba 
BO_NK004_(nga)008:89	bsags sbyang bya ba /	8	bsags sbyong byed ba 
BO_NK004_(nga)008:90	sngon gtor btang ba /	9	sngon thor gtong ba 
BO_NK004_(nga)008:91	mchod rdzas brlab pa /	9	mchod rdzas brlab ba 
BO_NK004_(nga)008:92	skyabs sems bya ba'o //	9	skyob sems byed ba 
BO_NK004_(nga)008:93	dang po ni /	9	dang po ni 
BO_NK004_(nga)008:94	sgrub pa po gos gsar gyon /	9	sgrub ba po gos gsar gyon 
BO_NK004_(nga)008:95	bde ba'i stan la kha shar ram byang du blta bas 'khod de /	9	bde ba stan la kha char ram byang du lta ba khod de 
BO_NK004_(nga)008:96	lag pa g.yon du chu gtsang blug la /	9	lag ba g.yon du chu gtsang blug la 
BO_NK004_(nga)008:97	shud+d+he bi shud+d+he a a a s+w+aa h+aa /	9	shud+d+he bi shud+d+he a a a s+w+aa h+aa 
BO_NK004_(nga)008:98	zhes gsang ba'i srin lag gis chu blangs te /	9	zhes gsang ba srin lag gis chu blangs te 
BO_NK004_(nga)008:99	lus kyi gnas rnams su nye bar reg pas las dag par bsam mo //	9	lus kyi gnas rnams su nye ba reg ba las dag ba bsam mo 
BO_NK004_(nga)008:100	gnyis pa ni /	10	gnyis ba ni 
BO_NK004_(nga)008:101	mdun gyi nam mkhar sangs rgyas dang byang chub sems dpa' rnams mngon sum bzhin du gsal bar gyur /	10	mdun gyi nam mkhar sangs rgya dang byang chub sems dpa rnams mngon sum bzhin du gsal ba gyur 
