segmentnr	original	folio	stemmed
BO_NK011_(da)001:4000	phyag rgya 'bar ba'i dkyil 'khor nas //	400	phyag rgya bar ba dkyil khor nas 
BO_NK011_(da)001:4001	nam mkha' stong la dbang sgyur mo //	400	nam mkha stong la dbang sgyur mo 
BO_NK011_(da)001:4002	bdud dpung dregs snyems kun 'dul ma //	400	bdud dpung dregs snyems kun dul ma 
BO_NK011_(da)001:4003	rdo rje dregs snyems gshegs su gsol //	400	rdo rje dregs snyems gshegs su gsol 
BO_NK011_(da)001:4004	dam tshig chen po'i dkyil 'khor nas //	400	dam tshig chen po dkyil khor nas 
BO_NK011_(da)001:4005	pho nya mo ni drug cu'i tshogs //	400	pho nya mo ni drug cu tshogs 
BO_NK011_(da)001:4006	sha chen khrag la longs spyod cing //	400	sha chen khrag la longs spyod cing 
BO_NK011_(da)001:4007	gdug pa ma lus kun 'dul ma //	400	gdug ba ma lus kun dul ma 
BO_NK011_(da)001:4008	rdo rje mo ste ye shes mchog /	400	rdo rje mo ste ye shes mchog 
BO_NK011_(da)001:4009	dam tshig tshul bzhin gshegs su gsol //	400	dam tshig tshul bzhin gshegs su gsol 
BO_NK011_(da)001:4010	khrag gi rgya mtsho'i dkyil 'khor nas //	401	khrag gi rgya mtsho dkyil khor nas 
BO_NK011_(da)001:4011	khro mo gtum chen za byed ma //	401	khro mo thum chen za byed ma 
BO_NK011_(da)001:4012	rdo rje d+r+wa ba'i phreng thogs ma //	401	rdo rje d+r+wa ba phreng thogs ma 
BO_NK011_(da)001:4013	byang phyogs rang gi 'khor 'du zhing //	401	byang phyogs rang gi khor du zhing 
BO_NK011_(da)001:4014	rdo rje 'od chags gshegs su gsol //	401	rdo rje d chags gshegs su gsol 
BO_NK011_(da)001:4015	dbang phyug chen mo'i dkyil 'khor nas //	401	dbang phyug chen mo dkyil khor nas 
BO_NK011_(da)001:4016	lcags kyu 'bar ba'i 'phro 'a du can //	401	lcags kyu bar ba phro a du can 
BO_NK011_(da)001:4017	dam tshig nyams pa'i snying bsreg ma //	401	dam tshig nyams ba snying bsreg ma 
BO_NK011_(da)001:4018	bka' las 'da' ba'i snying 'byin ma //	401	bka las da ba snying byin ma 
BO_NK011_(da)001:4019	rdo rje g.yu sgron gshegs su gsol //	401	rdo rje g.yu sgron gshegs su gsol 
BO_NK011_(da)001:4020	ma mo chen mo khyed rnams kyang //	402	ma mo chen mo khyed rnams kyang 
BO_NK011_(da)001:4021	kun kyang nag mo ral pa can //	402	kun kyang nag mo ral ba can 
BO_NK011_(da)001:4022	kun kyang kha nas me 'bar ma //	402	kun kyang kha nas me bar ma 
BO_NK011_(da)001:4023	kun kyang mig nas khrag 'dzag ma //	402	kun kyang mig nas khrag dzag ma 
BO_NK011_(da)001:4024	nag mo ral gri thod khrag 'dzin //	402	nag mo ral gri thod khrag dzin 
BO_NK011_(da)001:4025	gser sbrul mang po'i khri steng nas //	402	gser sbrul mang po khri steng nas 
BO_NK011_(da)001:4026	dam tshig can la brtser dgongs la //	402	dam tshig can la brtser dgongs la 
BO_NK011_(da)001:4027	mchod pa dam pa 'di bzhes la //	402	mchod ba dam ba di bzhes la 
BO_NK011_(da)001:4028	bcol ba'i phrin las sgrub par mdzod //	402	chol ba phrin las sgrub ba mdzod 
BO_NK011_(da)001:4029	ma h+aa pany+tsa sogs /	402	ma h+aa pany+tsa sogs 
BO_NK011_(da)001:4030	gling bzhi mgyogs ma lha yi sring //	403	gling bzhi mgyog ma lha yi sring 
BO_NK011_(da)001:4031	shar gyi mgyogs ma gshegs su gsol //	403	char gyi mgyog ma gshegs su gsol 
BO_NK011_(da)001:4032	mkha' la khyung lding gshin rje'i sring //	403	mkha la khyung lding gshin rje sring 
BO_NK011_(da)001:4033	lho yi mgyogs ma gshegs su gsol //	403	lho yi mgyog ma gshegs su gsol 
BO_NK011_(da)001:4034	dmar mo g.yag thod klu yi sring //	403	dmar mo g.yag thod klu yi sring 
BO_NK011_(da)001:4035	nub kyi mgyogs ma gshegs su gsol //	403	nub kyi mgyog ma gshegs su gsol 
BO_NK011_(da)001:4036	nag mo sder chen gnod sbyin sring //	403	nag mo sder chen gnod sbyin sring 
BO_NK011_(da)001:4037	byang gi mgyogs ma gshegs su gsol //	403	byang gi mgyog ma gshegs su gsol 
BO_NK011_(da)001:4038	sring mo bzhi yang gnas 'dir byon //	403	sring mo bzhi yang gnas dir byon 
BO_NK011_(da)001:4039	dam dgongs mchod do phrin las mdzod //	403	dam dgongs mchod do phrin las mdzod 
BO_NK011_(da)001:4040	de sa de pa b+h+yo /	404	de sa de ba b+h+yo 
BO_NK011_(da)001:4041	a pa ra lan ta b+h+yo /	404	a ba ra lan ta b+h+yo 
BO_NK011_(da)001:4042	d+ha la du na b+h+yo /	404	d+ha la du na b+h+yo 
BO_NK011_(da)001:4043	ma ma yak+sha b+h+yo /	404	ma ma yak+sha b+h+yo 
BO_NK011_(da)001:4044	ma h+aa pany+tsa sogs /	404	ma h+aa pany+tsa sogs 
BO_NK011_(da)001:4045	h'u / dbang phyug chen po nyi shu brgyad //	404	hu dbang phyug chen po nyi shu brgyad 
BO_NK011_(da)001:4046	snying rje byams pa'i spyod yul can //	404	snying rje byams ba spyod yul can 
