segmentnr	original	folio	stemmed
BO_NK016_(ma)010:0	na rag dong sprugs phyag rgya gcig pa'i sgrub thabs zab don nying khu zhes bya bzhugs so //	0	na rag dong sprug phyag rgya gcig ba sgrub thabs zab don nying khu zhes byed bzhugs so 
BO_NK016_(ma)010:1	na rag gdong sprugs phyag rgya gcig pa'i sgrub thabs zab don nying khu zhes bya ba /	0	na rag gdong sprug phyag rgya gcig ba sgrub thabs zab don nying khu zhes byed ba 
BO_NK016_(ma)010:2	rnam 'gyur srid zhi'i chos kun zag med kyi //	0	rnam gyur srid zhi chos kun zag med kyi 
BO_NK016_(ma)010:3	lhan skyes bde chen rdo rjera ro mnyam gang //	0	lhan skye bde chen rdo rjera ro mnyam gang 
BO_NK016_(ma)010:4	rab 'byams zhi khro'i 'khor lor snang mdzad pa'i //	0	rab byam zhi khro khor lor snang mdzad ba 
BO_NK016_(ma)010:5	khyab bdag bla mar dngos kun dang bas 'dud //	0	khyab bdag bla mar dngos kun dang ba dud 
BO_NK016_(ma)010:6	'dir rnal 'byor spyi'i skong bshags na rag dong sprugs kyi sgrub thabs rdo rje sems dpa' phyag rgya gcig pa'i sgo nas nyams su len par 'dod pas /	0	dir rnal byor spyi skong chags na rag dong sprug kyi sgrub thabs rdo rje sems dpa phyag rgya gcig ba sgo nas nyams su len ba dod ba 
BO_NK016_(ma)010:7	yid dang mthun zhing shis pa'i gnas su stan bde ba la 'dug ste /	0	yid dang mthun zhing shis ba gnas su stan bde ba la dug ste 
BO_NK016_(ma)010:8	thog mar rgyud sbyang ba ni /	0	thogs mar brgyud sbyong ba ni 
BO_NK016_(ma)010:9	bla ma rig 'dzin rgyal ba zhi khro'i dkyil 'khor gyi lha tshogs thams cad badz+ra sa m+aa dzah zhes pas mkha' khyab tu sad par mos te /	0	bla ma rig dzin rgyal ba zhi khro dkyil khor gyi lha tshogs thams cad badz+ra sa m+aa dzah zhes ba mkha khyab tu sad ba mos te 
BO_NK016_(ma)010:10	bdag dang mkha' mnyam sems can rnams //	1	bdag dang mkha mnyam sems can rnams 
BO_NK016_(ma)010:11	rdo rje slob dpon sangs rgyas dpal //	1	rdo rje slob dpon sangs rgya dpal 
BO_NK016_(ma)010:12	dus gsum bzhugs la phyag 'tshal lo //	1	dus gsum bzhugs la phyag tshal lo 
BO_NK016_(ma)010:13	mchog gsum bsten pa'i zhing gyur la //	1	mchog gsum sten ba zhing gyur la 
BO_NK016_(ma)010:14	gnyis med yid kyis skyabs su mchi //	1	gnyis med yid kyis skyob su mchi 
BO_NK016_(ma)010:15	dngos 'byor yid kyis rnam sprul pa'i //	1	dngos byor yid kyis rnam sprul ba 
BO_NK016_(ma)010:16	dag pa'i mchod pa bzhes su gsol //	1	dag ba mchod ba bzhes su gsol 
BO_NK016_(ma)010:17	dngos grub chu bo gcod pa'i gegs //	1	dngos grub chu bo gcod ba gegs 
BO_NK016_(ma)010:18	nyes byas ma lus bshags par bgyi //	1	nyes byed ma lus chags ba bgyid 
BO_NK016_(ma)010:19	phyogs bcu 'khor gsum dag pa'i chos //	1	phyogs chu khor gsum dag ba chos 
BO_NK016_(ma)010:20	ma chags spyod la rjes yi rang //	2	ma chags spyod la rjes yi rang 
BO_NK016_(ma)010:21	dag pa'i mtha' bzhi dri ma med //	2	dag ba mtha bzhi dri ma med 
BO_NK016_(ma)010:22	rdzogs pa'i byang chub sems bskyed do //	2	rdzogs ba byang chub sems skyed do 
BO_NK016_(ma)010:23	bde gshegs byang chub sems dpa' la //	2	bde gshegs byang chub sems dpa la 
BO_NK016_(ma)010:24	dag pa gsum gyi lus dbul lo //	2	dag ba gsum gyi lus bul lo 
BO_NK016_(ma)010:25	tshe rabs bgrangs pa'i las rnams kun //	2	tshe rabs bgrong ba las rnams kun 
BO_NK016_(ma)010:26	bsdus te byang chub chen por bsngo //	2	sdud te byang chub chen por sngo 
BO_NK016_(ma)010:27	zhes lan gsum brjod la /	2	zhes lan gsum rjod la 
BO_NK016_(ma)010:28	tshogs zhing rnams rang la bsdus te /	2	tshogs zhing rnams rang la sdud te 
BO_NK016_(ma)010:29	sems nyid nam mkha' lta bu'i ngang la rtsol bral bsal bzhag med par dar cig bzhag go //	2	sems nyid nam mkha lta bu ngang la rtsol bral bsal jog med ba dar cig jog go 
BO_NK016_(ma)010:30	de nas srung 'khor ni /	3	de nas srung khor ni 
BO_NK016_(ma)010:31	stong nyid de'i ngang las /	3	stong nyid de ngang las 
BO_NK016_(ma)010:32	badz+ra ma h+aa sh+r+ai he ru ka /	3	badz+ra ma h+aa sh+r+ai he ru ka 
BO_NK016_(ma)010:33	zhes brjod pas /	3	zhes rjod ba 
BO_NK016_(ma)010:34	bdag nyid skad cig gis rdo rje he ru ka sku mdog mthing nag rdo rje dang dung khrag 'dzin pa yum dang bcas pa'i skur gyur /	3	bdag nyid skad cig gis rdo rje he ru ka sku mdog mthing nag rdo rje dang dung khrag dzin ba yum dang cha ba skur gyur 
BO_NK016_(ma)010:35	h'u h'u h'u bi shwa badz+ra kro d+ha dz+wa la man+da phata phata phata /	3	hu hu hu bi shwa badz+ra kro d+ha dz+wa la man+da phata phata phata 
BO_NK016_(ma)010:36	ha la ha la ha la h'u /	3	ha la ha la ha la hu 
BO_NK016_(ma)010:37	zhes brjod pas yab yum gnyis kyi sbyor mtshams nas khro bo 'chol ba mtshon cha sna tshogs kyi char 'bebs pa dpag tu med pa spros /	3	zhes rjod ba yab yum gnyis kyi sbyor mtshams nas khro bo chol ba mtshon cha sna tshogs kyi char bebs ba dpog tu med ba spros 
BO_NK016_(ma)010:38	badz+ra ma h+aa sh+r+ai he ru ka ma h+aa tsan+da sarba dush+t+aan+ta ka ha na da ha pa tsa h'u h'u h'u phata /	3	badz+ra ma h+aa sh+r+ai he ru ka ma h+aa tsan+da sarba dush+t+aan+ta ka ha na da ha ba tsa hu hu hu phata 
BO_NK016_(ma)010:39	ces bskur bas /	3	ces skur ba 
