segmentnr	original	folio	stemmed
BO_NK018_(tsha)001:4000	ru mtshon la sogs pa mtshon cha'i sprin phung ni stong pa nyid du sangs par gyur /	400	ru mtshon la sogs ba mtshon cha sprin phung ni stong ba nyid du sangs ba gyur 
BO_NK018_(tsha)001:4001	mi snyan pa'i ngag rnams ni mngon du gyur te theg pa chen po gsang sngags kyi sgra ni di ri ri sgrogs par gyur to //	400	mi snyan ba ngag rnams ni mngon du gyur te theg ba chen po gsang sngags kyi sgra ni di ri ri sgrogs ba gyur to 
BO_NK018_(tsha)001:4002	dur khrod kyi bdag po ru tra nag po lta zhig rang gi 'khor gyis yongs su bor te rje btsan dam pa de la skyabs su dong /	400	dur khrod kyi bdag po ru tra nag po lta jig rang gi khor gyis yongs su bor te rje btsan dam ba de la skyob su dong 
BO_NK018_(tsha)001:4003	blo gros kun gyi yul dang bral /	400	blo gros kun gyi yul dang bral 
BO_NK018_(tsha)001:4004	yi khos bsam pa chad cing thabs brlag nas kun nas 'khrugs te rnam par 'khams nas rang gi ru tra lnga yi sa bon mngon du phyung bas /	400	yi khos bsam ba chad cing thabs brlag nas kun nas khrugs te rnam ba kham nas rang gi ru tra lnga yi sa bon mngon du byin ba 
BO_NK018_(tsha)001:4005	ru lu ru lu b+h+yo zhes brjod //	400	ru lu ru lu b+h+yo zhes rjod 
BO_NK018_(tsha)001:4006	mgo gsum lag drug rkang bzhi pa //	400	mgo gsum lag drug rkang bzhi ba 
BO_NK018_(tsha)001:4007	khros pa'i tshul du gyur ba las //	400	khro ba tshul du gyur ba las 
BO_NK018_(tsha)001:4008	rje btsan rdo rje srin po des //	400	rje btsan rdo rje srin po des 
BO_NK018_(tsha)001:4009	kho na nyid du der mdzad de //	400	kho na nyid du der mdzad de 
BO_NK018_(tsha)001:4010	byin brlabs yi ge mi phyed pa'i //	401	byin brlabs yi ge mi phyed ba 
BO_NK018_(tsha)001:4011	dbang du 'khor ba'i sa bon lnga //	401	dbang du khor ba sa bon lnga 
BO_NK018_(tsha)001:4012	byas nas ngag gi sprul pa phrogs //	401	byed nas ngag gi sprul ba phrog 
BO_NK018_(tsha)001:4013	kho na ngag gi dbang po nyams //	401	kho na ngag gi dbang po nyams 
BO_NK018_(tsha)001:4014	de nas dur khrod bdag po des //	401	de nas dur khrod bdag po des 
BO_NK018_(tsha)001:4015	ra la ra la b+h+yo brjod pas //	401	ra la ra la b+h+yo rjod ba 
BO_NK018_(tsha)001:4016	mgo dgu bac+wa brgyad lag tu gyur //	401	mgo dgu bac+wa brgyad lag tu gyur 
BO_NK018_(tsha)001:4017	gang der rje btsan dam pa des //	401	gang der rje btsan dam ba des 
BO_NK018_(tsha)001:4018	gang gi sprul pa nges par bcad //	401	gang gi sprul ba nges ba gcod 
BO_NK018_(tsha)001:4019	yang der dur khrod bdag po des //	401	yang der dur khrod bdag po des 
BO_NK018_(tsha)001:4020	hu lu hu lu b+h+yo brjod pas //	402	hu lu hu lu b+h+yo rjod ba 
BO_NK018_(tsha)001:4021	mgo brgyad bcu drug lag tu gyur //	402	mgo brgyad chu drug lag tu gyur 
BO_NK018_(tsha)001:4022	dpal chen rje btsan srin po des //	402	dpal chen rje btsan srin po des 
BO_NK018_(tsha)001:4023	kho na ci 'dra der mdzad de //	402	kho na ci dra der mdzad de 
BO_NK018_(tsha)001:4024	der yang ngag gi brjod pa bcad //	402	der yang ngag gi rjod ba gcod 
BO_NK018_(tsha)001:4025	gang der dur khrod bdag po des //	402	gang der dur khrod bdag po des 
BO_NK018_(tsha)001:4026	ha la ha la b+h+yo brjod pas //	402	ha la ha la b+h+yo rjod ba 
BO_NK018_(tsha)001:4027	nyi shu rtsa gcig mgo bo la //	402	nyi shu rtsa gcig mgo bo la 
BO_NK018_(tsha)001:4028	bzhi bcu rtsa gnyis lag tu gyur //	402	bzhi chu rtsa gnyis lag tu gyur 
BO_NK018_(tsha)001:4029	yang du rdo rje srin po des //	402	yang du rdo rje srin po des 
BO_NK018_(tsha)001:4030	te ci kho nar der mdzad nas //	403	te ci kho nar der mdzad nas 
BO_NK018_(tsha)001:4031	gang 'dir smra ba'i dbang po bcad //	403	gang dir smra ba dbang po gcod 
BO_NK018_(tsha)001:4032	yang der kho nar de nyid kyis //	403	yang der kho nar de nyid kyis 
BO_NK018_(tsha)001:4033	ra li ra li b+h+yo brjod pas //	403	ra li ra li b+h+yo rjod ba 
BO_NK018_(tsha)001:4034	lus ni tshad med chen po la //	403	lus ni tshad med chen po la 
BO_NK018_(tsha)001:4035	nad kyi bskal pa tshub mar gtong //	403	nad kyi bskal ba tshub mar gtong 
BO_NK018_(tsha)001:4036	gdug pa'i mtshon cha lus las 'gyed //	403	gdug ba mtshon cha lus las gyed 
BO_NK018_(tsha)001:4037	rje btsan rdo rje srin po des //	403	rje btsan rdo rje srin po des 
BO_NK018_(tsha)001:4038	kho na de 'drar nyid mdzad de //	403	kho na de drar nyid mdzad de 
BO_NK018_(tsha)001:4039	ngag phrogs ngag gi sprul pa chad //	403	ngag phrog ngag gi sprul ba chad 
BO_NK018_(tsha)001:4040	dper na skyes bu gang la zhig /	404	dper na skye bu gang la jig 
BO_NK018_(tsha)001:4041	lce bcad khrag gis por ba bzhin //	404	lce gcod khrag gis por ba bzhin 
BO_NK018_(tsha)001:4042	shin tu myos te 'gyel bar gyur //	404	shin tu myos te gyel ba gyur 
BO_NK018_(tsha)001:4043	kun gyi mnga' bdag chen po des //	404	kun gyi mnga bdag chen po des 
BO_NK018_(tsha)001:4044	sa ma ya h+aum gsung bsgrags pas //	404	sa ma ya h+aum gsung sgrog ba 
BO_NK018_(tsha)001:4045	sngon byung dus na 'brel pa yis //	404	sngon byung dus na brel ba yis 
BO_NK018_(tsha)001:4046	srog gi dbang pos ma bzod de //	404	srog gi dbang pos ma bzod de 
BO_NK018_(tsha)001:4047	gang der mdun gyis phyogs pa dang // rtse gsum kha t+w+aam 'bar ba yis //	404	gang der mdun gyis phyogs ba dang rtse gsum kha t+w+aam bar ba yis 
BO_NK018_(tsha)001:4048	ru tra'i ri bo bcom dbang gi //	404	ru tra ri bo joms dbang gi 
BO_NK018_(tsha)001:4049	phyag rgyas rol te phyag du sbyangs //	404	phyag rgya rol te phyag du sbyong 
BO_NK018_(tsha)001:4050	nye gnas dbang gis mtshams sbyar ba'i //	405	nye gnas dbang gis mtshams sbyor ba 
BO_NK018_(tsha)001:4051	rang gi dam pa la sogs pa'i //	405	rang gi dam ba la sogs ba 
BO_NK018_(tsha)001:4052	mtha' thug med pa'i sangs rgyas dang // dpag tu med pa'i byang chub sems //	405	mtha thug med ba sangs rgya dang dpog tu med ba byang chub sems 
BO_NK018_(tsha)001:4053	stug po bkod pa'i mthong ba'i mthus //	405	stug po bkod ba mthong ba mthus 
BO_NK018_(tsha)001:4054	thog ma med pa'i dus mtha' nas //	405	thogs ma med ba dus mtha nas 
BO_NK018_(tsha)001:4055	zhen pa'i mun nag sangs gyur te //	405	zhen ba mun nag sangs gyur te 
BO_NK018_(tsha)001:4056	skye ba dus mtha' med rnyed du //	405	skye ba dus mtha med rnyed du 
BO_NK018_(tsha)001:4057	lus blangs las ni ci spyad dran //	405	lus blangs las ni ci spyod dran 
BO_NK018_(tsha)001:4058	snam du bton te zhabs drung 'khod //	405	snam du don te zhabs drung khod 
BO_NK018_(tsha)001:4059	rab dga' btud nas gnong tshul du //	405	rab dga dud nas gnong tshul du 
BO_NK018_(tsha)001:4060	gang der shin tu ngus nas smres //	406	gang der shin tu ngu nas smres 
BO_NK018_(tsha)001:4061	e ma e ma'o e ma yang //	406	e ma e ma e ma yang 
BO_NK018_(tsha)001:4062	dpa' bo lha rje thugs rje chung //	406	dpa bo lha rje thugs rje chung 
BO_NK018_(tsha)001:4063	shin tu bde ba'i gnas gcig nas //	406	shin tu bde ba gnas gcig nas 
BO_NK018_(tsha)001:4064	snam du bton pa thugs rje chung //	406	snam du don ba thugs rje chung 
BO_NK018_(tsha)001:4065	da yang ci mdzad myur du mdzod //	406	da yang ci mdzad myur du mdzod 
BO_NK018_(tsha)001:4066	myur du bsgral na yun bade'o //	406	myur du bsgral na yun bade 
BO_NK018_(tsha)001:4067	'bangs su mchi'o bdag lus 'bul //	406	bang su mchi bdag lus bul 
BO_NK018_(tsha)001:4068	'bangs la nan tan ma chung cig /	406	bang la nan tan ma chung cig 
BO_NK018_(tsha)001:4069	deng nas slan chad bka' bzhin du //	406	deng nas slan chad bka bzhin du 
BO_NK018_(tsha)001:4070	bka' yi lung bzhin rjes su sgrub //	407	bka yi lung bzhin rjes su sgrub 
BO_NK018_(tsha)001:4071	gal te bka' bzhin ma bgyis sam //	407	gal te bka bzhin ma bgyid sam 
BO_NK018_(tsha)001:4072	dam pa'i lung las 'gal gyur na //	407	dam ba lung las gal gyur na 
BO_NK018_(tsha)001:4073	bdag cag rnams kyi mgo lus snying //	407	bdag cag rnams kyi mgo lus snying 
BO_NK018_(tsha)001:4074	rul myags skams nas tshig par 'gyur //	407	rul myags skams nas tshig ba gyur 
BO_NK018_(tsha)001:4075	ma sring bu mo chung ma rnams //	407	ma sring bu mo chung ma rnams 
BO_NK018_(tsha)001:4076	'bangs su 'bul lo tshis ma chung //	407	bang su bul lo tshis ma chung 
BO_NK018_(tsha)001:4077	dbus su mchi skal mi ldan gyis //	407	dbus su mchi skal mi ldan gyis 
BO_NK018_(tsha)001:4078	'bar ba'i dkyil 'khor mtha' la zhog /	407	bar ba dkyil khor mtha la zhog 
BO_NK018_(tsha)001:4079	phud la 'tshal skal mi ldan gyis //	407	bud la tshal skal mi ldan gyis 
BO_NK018_(tsha)001:4080	lhag ma zhal chab bron la stsol //	408	lhag ma zhal chab bron la stsol 
BO_NK018_(tsha)001:4081	nye gnas gdung ba'i ma sring rnams //	408	nye gnas gdung ba ma sring rnams 
BO_NK018_(tsha)001:4082	de nas rgyal ba'i 'bangs yin gyis //	408	de nas rgyal ba bang yin gyis 
BO_NK018_(tsha)001:4083	khyed ni ci bgyi bka' yi las mkhan te //	408	khyed ni ci bgyid bka yi las mkhan te 
BO_NK018_(tsha)001:4084	bka' yi las byung rtag par myur du sgrubs //	408	bka yi las byung rtag ba myur du sgrubs 
BO_NK018_(tsha)001:4085	bdag kyang deng sngon lam log las spyad pas //	408	bdag kyang deng sngon lam log las spyod ba 
BO_NK018_(tsha)001:4086	dpag tu med pa'i 'khor ba'i sdug bsngal brgyud //	408	dpog tu med ba khor ba sdug sngal brgyud 
