segmentnr	original	folio	stemmed
BO_NK033_(gi)001:2000	rin chen 'phrul gyi me long bstan //	200	rin chen phrul gyi me long ston 
BO_NK033_(gi)001:2001	zhes gsungs so //	200	zhes gsungs so 
BO_NK033_(gi)001:2002	yang de'i man ngag gis mig mi 'gul bar thad ka la zim me blta bar bya'o //	200	yang de man ngag gis mig mi gul ba thad ka la zim me lta ba byed 
BO_NK033_(gi)001:2003	de yis rnam par rtog pa thams cad rgyun chad do //	200	de yis rnam ba rtogs ba thams cad rgyun chad do 
BO_NK033_(gi)001:2004	mig ma 'gul bas rtsa mi 'gul /	200	mig ma gul ba rtsa mi gul 
BO_NK033_(gi)001:2005	rtsa ma 'gul bas rlung mi bskyod /	200	rtsa ma gul ba rlung mi skyod 
BO_NK033_(gi)001:2006	rlung mi bskyod pas yid kyi 'gyu ba chad de /	200	rlung mi skyod ba yid kyi gyu ba chad de 
BO_NK033_(gi)001:2007	las mi len no //	200	las mi len no 
BO_NK033_(gi)001:2008	skye ba phyis mi len pa'i gdams ngag kyang de la bya'o //	200	skye ba byid mi len ba doms ngag kyang de la byed 
BO_NK033_(gi)001:2009	de ni man ngag gis yid ches pa'o //	200	de ni man ngag gis yid ches ba 
BO_NK033_(gi)001:2010	da ni mdo nas gsungs pa'i /	201	da ni mdo nas gsungs ba 
BO_NK033_(gi)001:2011	lung yang dag par rdzogs pa'i sangs rgyas kyis /	201	lung yang dag ba rdzogs ba sangs rgya kyis 
BO_NK033_(gi)001:2012	gnya' mig rna rtser dbab pa /	201	gnya mig rna rtser bebs ba 
BO_NK033_(gi)001:2013	shing gang tsam blta zhing 'gro la sems 'khrul med //	201	shing gang tsam lta zhing gro la sems khrul med 
BO_NK033_(gi)001:2014	ces gsungs so //	201	ces gsungs so 
BO_NK033_(gi)001:2015	de'i dus su dbang po'i sgo ma bkag pas gsal ba'i brda' /	201	de dus su dbang po sgo ma gog ba gsal ba brda 
