segmentnr	original	folio	stemmed
BO_NK036_(chi)029:0	// bla ma dam pa ku ma r+aa dza de nyid /	0	bla ma dam ba ku ma r+aa dza de nyid 
BO_NK036_(chi)029:1	dwags po dang lung gi phur sku 'das pa'i tshul bstan pa'i tshe /	0	dwags po dang lung gi phur sku da ba tshul ston ba tshe 
BO_NK036_(chi)029:2	phyi rabs kyi don du 'das rjes gsungs pa /	0	phyi rabs kyi don du da rjes gsungs ba 
BO_NK036_(chi)029:3	yi ger btab pa ni /	0	yi ger debs ba ni 
BO_NK036_(chi)029:4	+aahh+aum sprang po bya bral gzhon nu rgyal pos gdams pa ni //	0	+aahh+aum sprang po byed bral gzhon nu rgyal pos doms ba ni 
BO_NK036_(chi)029:5	e ma ngas ni ngo bo skyong 'ded rang rig rtsa gdar bcad //	0	e ma ngas ni ngo bo skyong ded rang rig rtsa gdar gcod 
BO_NK036_(chi)029:6	dmigs med spros bral mtha' dang bral bar rtogs //	0	dmigs med spros bral mtha dang bral ba rtogs 
BO_NK036_(chi)029:7	chos sku'i ngang du ku ma r+aa dza 'chi //	0	chos sku ngang du ku ma r+aa dza chi 
BO_NK036_(chi)029:8	rang bzhin dbyings la lta stangs rig pa gcun //	0	rang bzhin dbyings la lta stangs rig ba jun 
BO_NK036_(chi)029:9	zhi khro'i dkyil 'khor thig le nyag gcig rtogs //	0	zhi khro dkyil khor thig le nyag gcig rtogs 
BO_NK036_(chi)029:10	longs sku'i ngang du ku ma r+aa dza 'chi //	1	longs sku ngang du ku ma r+aa dza chi 
BO_NK036_(chi)029:11	thugs rjes sems can gzhan phan gtso bor byas //	1	thugs rjes sems can gzhan phan gtso bor byed 
BO_NK036_(chi)029:12	shar grol rig pa chos nyid ma dang 'phrad //	1	char grol rig ba chos nyid ma dang phrad 
BO_NK036_(chi)029:13	sprul sku'i ngang du ku ma r+aa dza 'chi //	1	sprul sku ngang du ku ma r+aa dza chi 
BO_NK036_(chi)029:14	ye thog dang po'i sangs rgyas dri ma med //	1	ye thogs dang po sangs rgya dri ma med 
BO_NK036_(chi)029:15	gzhir snang rang gdangs dang po'i byung sar thim //	1	gzhir snang rang gdang dang po byung sar thim 
BO_NK036_(chi)029:16	lhun grub sbubs su ku ma r+aa dza 'chi //	1	lhun grub sbub su ku ma r+aa dza chi 
BO_NK036_(chi)029:17	nga yi zab don snying po'i gdams pa rnams //	1	nga yi zab don snying po doms ba rnams 
BO_NK036_(chi)029:18	bcud du dril nas nyams len snying por bstan //	1	bcud du dril nas nyams len snying por ston 
BO_NK036_(chi)029:19	bdag gi rjees 'jug skal ldan snying gi bu //	1	bdag gi rjees jug skal ldan snying gi bu 
BO_NK036_(chi)029:20	ji ltar bsgrubs kyang chos dang mthun par mdzod //	2	ji ltar sgrub kyang chos dang mthun ba mdzod 
BO_NK036_(chi)029:21	nga yi gtam bzhugs 'gro kha'i tshig 'di rnams //	2	nga yi dam bzhugs gro kha tshig di rnams 
BO_NK036_(chi)029:22	phyi rabs don du snying nas mos la ston //	2	phyi rabs don du snying nas mos la ston 
BO_NK036_(chi)029:23	tig tig gang la yang mi 'dug /	2	tig tig gang la yang mi dug 
BO_NK036_(chi)029:24	lar snang ba 'di gtad pa med pa gcig yin //	2	lar snang ba di gtod ba med ba gcig yin 
BO_NK036_(chi)029:25	skyag pa ngas drin chen rin po che //	2	skyag ba ngas drin chen rin po che 
BO_NK036_(chi)029:26	phata phata / ha ha phata /	2	phata phata ha ha phata 
BO_NK036_(chi)029:27	ces gsungs nas thugs 'pho ba'i tshul bstan te /	2	ces gsungs nas thugs pho ba tshul ston te 
BO_NK036_(chi)029:28	sa chen po 'di rab tu g.yos /	2	sa chen po di rab tu g.yos 
BO_NK036_(chi)029:29	nam mkha' la sil snyan gyi sgra rang grags /	2	nam mkha la sil snyan gyi sgra rang grags 
BO_NK036_(chi)029:30	'ja' tshon gyi gur phub ste 'gro ba rnams ngo mtshar gyi sa la bkod //	3	ja tshon gyi gur bubs ste gro ba rnams ngo mtshar gyi sa la bkod 
BO_NK036_(chi)029:31	+thii /// +aahmh'uhgu ru ku ma r+aa dza la na mo //	3	+thii +aahmhuhgu ru ku ma r+aa dza la na mo 
BO_NK036_(chi)029:32	gdod ma'i mgon dang rnam dbyer mi phyed cing //	3	gdod ma mgon dang rnam dbyer mi phyed cing 
BO_NK036_(chi)029:33	rig 'dzin chen po bi ma mi tra dngos //	3	rig dzin chen po bi ma mi tra dngos 
BO_NK036_(chi)029:34	yon tan rgya mtsho nam mkha'i mtha' dang mnyam //	3	yon tan rgya mtsho nam mkha mtha dang mnyam 
BO_NK036_(chi)029:35	chos rje ku ma r+aa dza'i zhabs la 'dud //	3	chos rje ku ma r+aa dza zhabs la dud 
BO_NK036_(chi)029:36	dpal ldan tshogs gnyis yon tan rdzogs pa'i gtso //	3	dpal ldan tshogs gnyis yon tan rdzogs ba gtso 
BO_NK036_(chi)029:37	'jig rten gsum mgon chos rje bla ma la //	3	jig rten gsum mgon chos rje bla ma la 
BO_NK036_(chi)029:38	dad pa'i gdung shugs g.yo ba'i phyag 'tshal zhing //	3	dad ba gdung shugs g.yo ba phyag tshal zhing 
BO_NK036_(chi)029:39	snying nas mchi ma 'khrugs pas skyabs su mchi //	3	snying nas mchi ma khrugs ba skyob su mchi 
BO_NK036_(chi)029:40	sku tshe snga ma'i snga ma dpag med nas //	4	sku tshe snga ma snga ma dpog med nas 
BO_NK036_(chi)029:41	mtha' yas 'gro la thugs rje'i spyan dbye bas //	4	mtha yas gro la thugs rje spyan byed ba 
BO_NK036_(chi)029:42	de ring 'gro ba kun gyi gnyen gyur cig /	4	de ring gro ba kun gyi gnyen gyur cig 
