segmentnr	original	folio	stemmed
BO_NK039_(ti)007:0	ma mo'i 'gres byang bzhugs so //	0	ma mo gre byang bzhugs so 
BO_NK039_(ti)007:1	'bul lo mthun pa'i dam rdzas 'bul //	0	bul lo mthun ba dam rdzas bul 
BO_NK039_(ti)007:2	mchod do ma sring rgya mtsho mchod //	0	mchod do ma sring rgya mtsho mchod 
BO_NK039_(ti)007:3	bskang ngo skal dam tshig nyams ni ma nyams na //	0	skong ngo skal dam tshig nyams ni ma nyams na 
BO_NK039_(ti)007:4	nyams na bdud rtsi sman gyis bskang //	0	nyams na bdud rtsi sman gyis skong 
BO_NK039_(ti)007:5	lta ba log pa log ni ma log na //	0	lta ba log ba log ni ma log na 
BO_NK039_(ti)007:6	log na chos nyid dbyings la lta //	0	log na chos nyid dbyings la lta 
BO_NK039_(ti)007:7	ma mo g.yel ni ma g.yel na //	0	ma mo g.yel ni ma g.yel na 
BO_NK039_(ti)007:8	ma mo g.yel na rdzas kyi bsten //	0	ma mo g.yel na rdzas kyi sten 
BO_NK039_(ti)007:9	spyod pa 'khrul ni ma 'khrul na //	0	spyod ba khrul ni ma khrul na 
BO_NK039_(ti)007:10	'khrul na nong pa rjes su bshags //	1	khrul na nongs ba rjes su chags 
BO_NK039_(ti)007:11	bskang gso lha la rgya chen 'bul //	1	skong gso lha la rgya chen bul 
BO_NK039_(ti)007:12	mthun pa'i rdzas chen ngas 'bul gyis //	1	mthun ba rdzas chen ngas bul gyis 
BO_NK039_(ti)007:13	nga yi las bcol grub par mdzad //	1	nga yi las chol grub ba mdzad 
BO_NK039_(ti)007:14	thugs dam bskang ba'i byin rlabs kyis //	1	thugs dam skong ba byin rlabs kyis 
BO_NK039_(ti)007:15	bdag cag rnal 'byor 'khor bcas la //	1	bdag cag rnal byor khor cha la 
BO_NK039_(ti)007:16	mi la na tsha ma btang la //	1	mi la na tsha ma gtong la 
BO_NK039_(ti)007:17	phyug la god 'gram ma shor cig /	1	phyug la god grams ma chor cig 
BO_NK039_(ti)007:18	zhing la btsa' sad ser gsum sna ma 'dren //	1	zhing la btsa sad ser gsum sna ma bgrang 
BO_NK039_(ti)007:19	dam tshig nyams chag skongs par mdzod //	1	dam tshig nyams chag skongs ba mdzod 
BO_NK039_(ti)007:20	chag chen nyams pa bzlog tu gsol //	2	chag chen nyams ba bzlog tu gsol 
BO_NK039_(ti)007:21	rnal 'byor sku tshe bsring ba dang // dgra bo dam nyams brlag pa'i phyir //	2	rnal byor sku tshe bsring ba dang dgra bo dam nyams brlag ba phyir 
BO_NK039_(ti)007:22	sgrub mchog bdag la dngos grub stsol //	2	sgrub mchog bdag la dngos grub stsol 
BO_NK039_(ti)007:23	sdang ba'i dgra la rtags phyung zhig //	2	sdang ba dgra la rtags byin jig 
