segmentnr	original	folio	stemmed
BO_NK041_(di)031:0	'gres byang gsal ba ni /	0	gre byang gsal ba ni 
BO_NK041_(di)031:1	'byung lnga'i skabs su /	0	byung lnga skabs su 
BO_NK041_(di)031:2	deng gi rgyu sbyor yon bdag la //	0	deng gi rgyu sbyor yon bdag la 
BO_NK041_(di)031:3	sngon gyi lan chags 'brel ba yis //	0	sngon gyi lan chags brel ba yis 
BO_NK041_(di)031:4	bla la brkus sam gzhom srid na //	0	bla la rku sam joms srid na 
BO_NK041_(di)031:5	bla glud gser skyems 'di bzhes la //	0	bla glud gser skyem di bzhes la 
BO_NK041_(di)031:6	bzung ba thong la bcings pa khrol //	0	bzung ba thong la ching ba khrol 
BO_NK041_(di)031:7	bsdams pa klod la mnan pa theg /	0	sdom ba klod la gnon ba theg 
BO_NK041_(di)031:8	zhi ba chen po'i ngang la bzhugs //	0	zhi ba chen po ngang la bzhugs 
BO_NK041_(di)031:9	spar kha'i skabs su /	0	spor kha skabs su 
BO_NK041_(di)031:10	rgyu sbyor mi bu rin chen 'di'i //	1	rgyu sbyor mi bu rin chen di 
BO_NK041_(di)031:11	bla la brkus sam gzhom srid na //	1	bla la rku sam joms srid na 
BO_NK041_(di)031:12	nam mkha' khams kyi mdangs dang ldan //	1	nam mkha khams kyi mdangs dang ldan 
BO_NK041_(di)031:13	rgyang bu de ni 'phan bzang dang // pho gdong mo gdong 'gro shes dang // ngar mi'i lus la rgyan cha can //	1	rgyang bu de ni phan bzang dang pho gdong mo gdong gro shes dang ngar mi lus la rgyan cha can 
BO_NK041_(di)031:14	bla glud gser skyems 'di bzhes la //	1	bla glud gser skyem di bzhes la 
BO_NK041_(di)031:15	bzung ba thong la bcings pa khrol //	1	bzung ba thong la ching ba khrol 
BO_NK041_(di)031:16	bsdams pa klod la mnan pa theg /	1	sdom ba klod la gnon ba theg 
BO_NK041_(di)031:17	zhi ba chen po'i ngang la bzhugs //	1	zhi ba chen po ngang la bzhugs 
BO_NK041_(di)031:18	phyogs bcu'i gdon gyi skabs su /	1	phyogs chu don gyi skabs su 
BO_NK041_(di)031:19	khar sang kha yi nyi ma la //	1	khar sang kha yi nyi ma la 
BO_NK041_(di)031:20	rgyu sbyor mi bu rin chen 'di'i //	2	rgyu sbyor mi bu rin chen di 
BO_NK041_(di)031:21	bla la brkus sam gzhom srid na //	2	bla la rku sam joms srid na 
BO_NK041_(di)031:22	bla glud gser skyems 'di bzhes la //	2	bla glud gser skyem di bzhes la 
BO_NK041_(di)031:23	bzung ba thong la bcings pa khrol //	2	bzung ba thong la ching ba khrol 
BO_NK041_(di)031:24	bsdams pa glod la mnan pa theg /	2	sdom ba glod la gnon ba theg 
BO_NK041_(di)031:25	zhi ba chen po'i ngang la bzhugs ////	2	zhi ba chen po ngang la bzhugs 
