segmentnr	original	folio	stemmed
BO_NK041_(di)044:0	// kun mkhyen dri med 'od zer gyi gsung thor bu las /	0	kun mkhyen dri med d zer gyi gsung thor bu las 
BO_NK041_(di)044:1	bar do'i smon lam ngo sprod bzhugs so //	0	ba do smon lam ngo sprod bzhugs so 
BO_NK041_(di)044:2	+aahmh'u / phyogs dus rgyal ba ma lus dgongs su gsol //	0	+aahmhu phyogs dus rgyal ba ma lus dgongs su gsol 
BO_NK041_(di)044:3	bdag gis thog med dus nas da lta'i bar //	0	bdag gis thogs med dus nas da lta ba 
BO_NK041_(di)044:4	dus gsum bsags dang yod pa'i dge ba des //	0	dus gsum bsags dang yod ba dge ba des 
BO_NK041_(di)044:5	bdag gzhan ma lus byang chub thob par shog /	0	bdag gzhan ma lus byang chub thob ba shog 
BO_NK041_(di)044:6	de ma thob kyi tshe rabs kun tu yang //	0	de ma thob kyi tshe rabs kun tu yang 
BO_NK041_(di)044:7	lam zab rdzogs chen snying po'i don rtogs nas //	0	lam zab rdzogs chen snying po don rtogs nas 
BO_NK041_(di)044:8	chos nyid mngon sum gong 'phel tshad phebs nas //	0	chos nyid mngon sum gong phel tshad phebs nas 
BO_NK041_(di)044:9	zag bcas phung po 'od skur grol bar shog /	0	zag cha phung po d skur grol ba shog 
BO_NK041_(di)044:10	gnad gcod drag po'i sdug bsngal mi 'byung zhing //	1	gnad gcod drag po sdug sngal mi byung zhing 
BO_NK041_(di)044:11	bla ma yi dam dpa' bo mkha' 'gro'i tshogs //	1	bla ma yi dam dpa bo mkha gro tshogs 
BO_NK041_(di)044:12	mig gi dbang por mngon sum byon nas ni //	1	mig gi dbang por mngon sum byon nas ni 
BO_NK041_(di)044:13	dbang bskur lung ston mkha' spyod 'khrid par shog /	1	dbang skur lung ston mkha spyod khrid ba shog 
BO_NK041_(di)044:14	'dus byas mi rtag 'chi ba byung tsa na //	1	du byed mi rtag chi ba byung tsa na 
BO_NK041_(di)044:15	'gyu ba'i dbugs chad bems rig bral ba'i tshe //	1	gyu ba dbugs chad bems rig bral ba tshe 
BO_NK041_(di)044:16	zhen chags 'khrul pa'i snang ba mi 'char bar //	1	zhen chags khrul ba snang ba mi char ba 
BO_NK041_(di)044:17	gnas lugs chos sku'i ngang la gnas par shog /	1	gnas lugs chos sku ngang la gnas ba shog 
BO_NK041_(di)044:18	sgyu lus gdos bcas 'jog pa'i dus babs na //	1	sgyu lus gdos cha jog ba dus bab na 
BO_NK041_(di)044:19	snang phung phra rags rtog pa 'gag pa'i tshe //	1	snang phung phra rags rtogs ba gag ba tshe 
BO_NK041_(di)044:20	'khrul med khyab gdal gdod ma'i dbyings chen la //	2	khrul med khyab gdal gdod ma dbyings chen la 
BO_NK041_(di)044:21	bems rig bral ma thag tu grol bar shog /	2	bems rig bral ma thag tu grol ba shog 
BO_NK041_(di)044:22	ma dag 'byung ba so sor dengs pa'i tshe //	2	ma dag byung ba so sor dengs ba tshe 
BO_NK041_(di)044:23	dag pa'i 'od lnga ma 'dres 'od gsal ngang //	2	dag ba d lnga ma dre d gsal ngang 
BO_NK041_(di)044:24	rtog med 'od lnga'i rdo rje lu gu rgyud //	2	rtogs med d lnga rdo rje lu gu brgyud 
