segmentnr	original	folio	stemmed
BO_NK042_(ni)003:0	// gzhi thams cad yod par smra ba'i dge tshul gyi tshig le'ura byas pa'i mchan 'grel nor bu'i phreng ba bzhugs so //	0	gzhi thams cad yod ba smra ba dge tshul gyi tshig leura byed ba mchan grel nor bu phreng ba bzhugs so 
BO_NK042_(ni)003:1	swa sti / yon tan gzhir gyur so thar gyi //	0	swa sti yon tan gzhir gyur so thar gyi 
BO_NK042_(ni)003:2	lam srol 'byed mkhas la btud nas //	0	lam srol byed mkhas la dud nas 
BO_NK042_(ni)003:3	dge tshul bslab la nges 'jug pa'i //	0	dge tshul bslab la nges jug ba 
BO_NK042_(ni)003:4	mchan 'grel nor bu'i phreng ba spro //	0	mchan grel nor bu phreng ba spro 
BO_NK042_(ni)003:5	de la 'dir dge tshul gyi bslab bya dus dang dngos po la ltos pa'i dgag bsgrub kyi rnam bzhag legs par ston pa'i k+aa ri k+aa lnga bcu pa 'di nyid 'chad pa la /	0	de la dir dge tshul gyi bslab byed dus dang dngos po la ltos ba gog sgrub kyi rnam jog legs ba ston ba k+aa ri k+aa lnga chu ba di nyid chad ba la 
BO_NK042_(ni)003:6	mtshan gyi don /	0	mtshan gyi don 
BO_NK042_(ni)003:7	'gyur gyi phyag /	0	gyur gyi phyag 
BO_NK042_(ni)003:8	gzhung gi don /	0	gzhung gi don 
BO_NK042_(ni)003:9	mjug gi don no //	0	mjug gi don no 
BO_NK042_(ni)003:10	dang po / rgya gara skad du /	1	dang po rgya gara skad du 
BO_NK042_(ni)003:11	+aar+ya m+au la sarba ap+ti b+aa di sh+ra ma ne ra k+aa ri k+aa /	1	+aar+ya m+au la sarba ap+ti b+aa di sh+ra ma ne ra k+aa ri k+aa 
BO_NK042_(ni)003:12	bod skad du /	1	bod skad du 
BO_NK042_(ni)003:13	nyon mongs las ring du 'aphagas pa shes bya gzhi lnga'am dus gsum po thams cada yoda para smra ba'i bla ma'i bya ba dang kha ton sogs la brtson zhing ngal bas dge tshul gyi tshig le'ura byas pa /	1	nyon mongs las ring du aphagas ba shes byed gzhi lnga dus gsum po thams cada yoda para smra ba bla ma byed ba dang kha ton sogs la brtson zhing ngal ba dge tshul gyi tshig leura byed ba 
BO_NK042_(ni)003:14	gnyis pa / 'dul ba dang mthun par rgyu 'bras phra zhib sogs thams cad mkhyen pa sangs rgyas la phyag 'tshal lo //	1	gnyis ba dul ba dang mthun ba rgyu bras phra zhib sogs thams cad mkhyen ba sangs rgya la phyag tshal lo 
BO_NK042_(ni)003:15	zhes lo ts+aa bas bkod pa'o //	1	zhes lo ts+aa ba bkod ba 
BO_NK042_(ni)003:16	gsum pa la /	1	gsum ba la 
BO_NK042_(ni)003:17	bstan bcos rtsom pa la 'jug pa'i yan lag dang / brtsam bya bstan bcos kyi rang bzhin dngos gnyis /	1	ston chos rtsom ba la jug ba yan lag dang brtsam byed ston chos kyi rang bzhin dngos gnyis 
BO_NK042_(ni)003:18	dang po la mchod brjod dang / dam bca' gnyis /	1	dang po la mchod rjod dang dam chos gnyis 
