segmentnr	original	folio	stemmed
BO_NK044_(phi)001:6000	sangs rgyas mar me mdzad ga la bar dong ba la /	600	sangs rgya mar me mdzad ga la ba dong ba la 
BO_NK044_(phi)001:6001	de dag skye bo phal mo ches mchod par bgyid pas gtams nas bcom ldan 'das kyi spyan sngar ma tshud do //	600	de dag skye bo phal mo ches mchod ba bgyid ba gtams nas joms ldan da kyi spyan sngar ma tshud do 
BO_NK044_(phi)001:6002	der sangs rgyas des dgongs pa /	600	der sangs rgya des dgongs ba 
BO_NK044_(phi)001:6003	skye bo phal mo che 'di las bram ze'i khye'u blo gros bzang po bsod nams ches 'phel lo snyam du /	600	skye bo phal mo che di las bram ze khyeu blo gros bzang po bsod nams ches phel lo snyam du 
BO_NK044_(phi)001:6004	rdzi char drag po sprul pas skye bo de dag gi go skabs phye nas /	600	rdzi char drag po sprul ba skye bo de dag gi go skabs byed nas 
BO_NK044_(phi)001:6005	blo gros bzang pos skabs thob ste bcom ldan 'das lta bas chog mi shes pa mthong bas shin tu dga' ba skyes te /	600	blo gros bzang pos skabs thob ste joms ldan da lta ba chog mi shes ba mthong ba shin tu dga ba skye te 
BO_NK044_(phi)001:6006	ud pa la lnga pos gtor ma thag tu /	600	ud ba la lnga pos thor ma thag tu 
BO_NK044_(phi)001:6007	sangs rgyas kyi mthus me tog de dag shing rta'i 'phang lo tsam du gyur pas bla rer chags shing dbu'i steng du 'dug pa gshegs na 'gro zhing gzhes na sdod par gyur to //	600	sangs rgya kyi mthus me tog de dag shing rta phen lo tsam du gyur ba bla rer chags shing dbu steng du dug ba gshegs na gro zhing gzhes na sdod ba gyur to 
BO_NK044_(phi)001:6008	bu mo des de mthong nas dga' ste ud pa la gnyis sangs rgyas kyi sku la gtor ba de yang snyan gyi gong du shing rta'i 'phang lo tsam gyi bla re chags shing dbu'i steng du 'dug pa gshegs na 'gro zhing gzhes na sdod par gyur to //	600	bu mo des de mthong nas dga ste ud ba la gnyis sangs rgya kyi sku la thor ba de yang snyan gyi gong du shing rta phen lo tsam gyi bla re chags shing dbu steng du dug ba gshegs na gro zhing gzhes na sdod ba gyur to 
BO_NK044_(phi)001:6009	bu mo des de mthong nas dga' ste ud pa la gnyis sangs rgyas kyi sku la gtor ba de yang snyan gyi gong du shing rta'i 'phang lo tsam gyi bla re chags shing 'dug par gyur to //	600	bu mo des de mthong nas dga ste ud ba la gnyis sangs rgya kyi sku la thor ba de yang snyan gyi gong du shing rta phen lo tsam gyi bla re chags shing dug ba gyur to 
BO_NK044_(phi)001:6010	sa phyogs de dag rdzi char drag pos 'dam rdzab tu gyur pa la /	601	sa phyogs de dag rdzi char drag pos dam rdzab tu gyur ba la 
BO_NK044_(phi)001:6011	bram ze'i khye'u blo gros bzang pos rang gi ral pa gser gyi mdog can bcom ldan 'das kyi spyan sngar bting nas /	601	bram ze khyeu blo gros bzang pos rang gi ral ba gser gyi mdog can joms ldan da kyi spyan sngar bting nas 
BO_NK044_(phi)001:6012	blo gros sad mdzad gal te bdag /	601	blo gros sad mdzad gal te bdag 
BO_NK044_(phi)001:6013	byang chub tu ni 'tshang rgya na //	601	byang chub tu ni tshang rgya na 
BO_NK044_(phi)001:6014	skye dga' med mdzad zhabs gnyis kyis //	601	skye dga med mdzad zhabs gnyis kyis 
BO_NK044_(phi)001:6015	myur du bdag skra bardzi bar gsol //	601	myur du bdag skra bardzi ba gsol 
BO_NK044_(phi)001:6016	zhes smras pas /	601	zhes smras ba 
BO_NK044_(phi)001:6017	sangs rgyas mar me mdzad kyis bram ze'i khye'u blo gros bzang po'i skra'i steng du zhabs gnyis bzhag go //	601	sangs rgya mar me mdzad kyis bram ze khyeu blo gros bzang po skra steng du zhabs gnyis jog go 
BO_NK044_(phi)001:6018	der blo gros bzang po'i phyi bzhin 'brang ba bram ze'i khye'u blo gros khros nas /	601	der blo gros bzang po phyi bzhin brang ba bram ze khyeu blo gros khro nas 
BO_NK044_(phi)001:6019	kye ltos dang sangs rgyas mar me mdzad kyis bram ze'i khye'u blo gros bzang po'i skra phyugs la bya ba bzhin bardzisa so zhes zer ro //	601	kye ltos dang sangs rgya mar me mdzad kyis bram ze khyeu blo gros bzang po skra phyugs la byed ba bzhin bardzisa so zhes zer ro 
BO_NK044_(phi)001:6020	sangs rgyas mar me mdzad zhal phyir gzigs nas zhabs 'bring ba'i dge slong rnams la bka' stsal pa /	602	sangs rgya mar me mdzad zhal phyir gzigs nas zhabs bring ba dge slong rnams la bka stsal ba 
BO_NK044_(phi)001:6021	khyed rnams 'di'i skra la ma bardzi zhig /	602	khyed rnams di skra la ma bardzi jig 
