segmentnr	original	folio	stemmed
BO_NK054_(yi)001:2000	chu rnyog ma dag pa dang 'dra bar rtog pa gtan nas dag pa nyid /	200	chu rnyog ma dag ba dang dra ba rtogs ba gtan nas dag ba nyid 
BO_NK054_(yi)001:2001	sku dang ye shes kyi dkyil 'khor du lhun gyis grub ste /	200	sku dang ye shes kyi dkyil khor du lhun gyis grub ste 
BO_NK054_(yi)001:2002	ngo bo dang rnam grangs brjod kyis mi lang ba /	200	ngo bo dang rnam grangs rjod kyis mi lang ba 
BO_NK054_(yi)001:2003	rtogs pa'i dus su yul yul can dbyer med pa /	200	rtogs ba dus su yul yul can dbyer med ba 
BO_NK054_(yi)001:2004	ma dmigs pa'i dus su dbyings ye shes dbyer med pa'i ngo bo nyid las /	200	ma dmigs ba dus su dbyings ye shes dbyer med ba ngo bo nyid las 
BO_NK054_(yi)001:2005	nam mkha' las mi 'da' ba la ni bzhugs so zhes brjod do //	200	nam mkha las mi da ba la ni bzhugs so zhes rjod do 
BO_NK054_(yi)001:2006	gong du bstan pa ltar bzhugs pa ni 'bras bu rang snang gi bzhugs tshul lo //	200	gong du ston ba ltar bzhugs ba ni bras bu rang snang gi bzhugs tshul lo 
BO_NK054_(yi)001:2007	thugs rje'i mdzad pa mi 'gag pa gdul bya dbang po rab 'bring gi bye brag la snang ba ni bzhi ste /	200	thugs rje mdzad ba mi gag ba gdul byed dbang po rab bring gi bye brag la snang ba ni bzhi ste 
BO_NK054_(yi)001:2008	rdzu 'phrul gyis bzhugs pa dang / ting nge 'dzin gyis bzhugs pa dang / chos 'chad cing bzhugs pa dang / spyod lam gyis bzhugs pa'o //	200	rdzu phrul gyis bzhugs ba dang ting nge dzin gyis bzhugs ba dang chos chad cing bzhugs ba dang spyod lam gyis bzhugs ba 
BO_NK054_(yi)001:2009	de la rdzu 'phrul gyis bzhugs pa ni mdzad pa bcu gnyis kyis 'gro don byed pa ste /	200	de la rdzu phrul gyis bzhugs ba ni mdzad ba chu gnyis kyis gro don byed ba ste 
BO_NK054_(yi)001:2010	yum gyi lhums na bzhugs pas 'dul ba rnams la de ltar snang /	201	yum gyi lhums na bzhugs ba dul ba rnams la de ltar snang 
BO_NK054_(yi)001:2011	lhums nas bltams pas 'dul ba rnams la de ltar snang /	201	lhums nas ltems ba dul ba rnams la de ltar snang 
BO_NK054_(yi)001:2012	mthar mya ngan las 'da' bas 'dul ba rnams la de ltar snang /	201	mthar mya ngan las da ba dul ba rnams la de ltar snang 
BO_NK054_(yi)001:2013	gdung sbyang bas 'dul ba rnams la de ltar snang /	201	gdung sbyong ba dul ba rnams la de ltar snang 
BO_NK054_(yi)001:2014	ring bsrel gyis 'dul ba rnams la de ltar snang /	201	ring bsrel gyis dul ba rnams la de ltar snang 
BO_NK054_(yi)001:2015	gsung brjod yi ge'i tshogs kyis 'dul ba rnams la de ltar snang ste /	201	gsung rjod yi ge tshogs kyis dul ba rnams la de ltar snang ste 
BO_NK054_(yi)001:2016	mdor na ston pas gom pa gang spo ba'ang 'gro ba mang po'i don du 'gyur ba'o //	201	mdor na ston ba gom ba gang spo ba gro ba mang po don du gyur ba 
BO_NK054_(yi)001:2017	ting nge 'dzin gyis 'dul ba ni sa la gnas pa'i byang chub sems dpa' rnams la /	201	ting nge dzin gyis dul ba ni sa la gnas ba byang chub sems dpa rnams la 
BO_NK054_(yi)001:2018	gnas 'og min du ston pa rnam par snang mdzad longs skur bzhugs nas /	201	gnas g min du ston ba rnam ba snang mdzad longs skur bzhugs nas 
BO_NK054_(yi)001:2019	'khor byang chub sems dpa' rnams la sku dang thugs ting nge 'dzin gyis chos bstan te /	201	khor byang chub sems dpa rnams la sku dang thugs ting nge dzin gyis chos ston te 
BO_NK054_(yi)001:2020	'khor rnams kyi ting nge 'dzin gyi rtsal 'byo ngas shes bya'i sgrib pa dag pa'o //	202	khor rnams kyi ting nge dzin gyi rtsal byo ngas shes byed sgrib ba dag ba 
BO_NK054_(yi)001:2021	chos 'chad par bzhugs pa ni /	202	chos chad ba bzhugs ba ni 
BO_NK054_(yi)001:2022	gong gi sprul sku'i yan lag ste /	202	gong gi sprul sku yan lag ste 
BO_NK054_(yi)001:2023	sprul pa'i sh+aakya thub pas gdul bya gang la gang 'dul rnams la /	202	sprul ba sh+aakya thub ba gdul byed gang la gang dul rnams la 
BO_NK054_(yi)001:2024	gnas stong gsum na ston pa sprul sku bye ba phrag brgya pa /	202	gnas stong gsum na ston ba sprul sku bye ba phrag brgya ba 
BO_NK054_(yi)001:2025	gdul bya 'gro drug la dge ba bcu yan chod nas /	202	gdul byed gro drug la dge ba chu yan chod nas 
BO_NK054_(yi)001:2026	byang chub sems dpa'i mdzad spyod bden pa gnyis kyi don la sogs pas chos 'chad pa'o //	202	byang chub sems dpa mdzad spyod bden ba gnyis kyi don la sogs ba chos chad ba 
BO_NK054_(yi)001:2027	spyod lam gyis 'dul ba ni gong ma de dag gis mi 'dul ba rnams la /	202	spyod lam gyis dul ba ni gong ma de dag gis mi dul ba rnams la 
BO_NK054_(yi)001:2028	lha de ba mi'i sde dpon brgya byin dang / 'khor los sgyur ba'i rgyal po dge ba'i bshes gnyen tshad ma la sogs par snang nas /	202	lha de ba mi sde dpon brgya byin dang khor los sgyur ba rgyal po dge ba bshes gnyen tshad ma la sogs ba snang nas 
BO_NK054_(yi)001:2029	dge ba bcu dang / tshad med pa bzhi dang / pha rol tu phyin pa drug gis sbyong bar byed pa de ltar bzhugs pa'o //	202	dge ba chu dang tshad med ba bzhi dang pha rol tu phyin ba drug gis sbyong ba byed ba de ltar bzhugs ba 
BO_NK054_(yi)001:2030	gleng gzhi bsdus pa bstan te /	203	gleng gzhi sdud ba ston te 
BO_NK054_(yi)001:2031	ci'i phyi bsdus she na /	203	ci phyi sdud she na 
BO_NK054_(yi)001:2032	gong gi ston pa dang / gnas dang / 'khor du ldan nas phun sum tshogs pa drug 'dzoms pa la /	203	gong gi ston ba dang gnas dang khor du ldan nas phun sum tshogs ba drug dzoms ba la 
BO_NK054_(yi)001:2033	brjod bya mtshon par byed pa'i rjod byed du 'byung ba yang /	203	rjod byed mtshon ba byed ba rjod byed du byung ba yang 
BO_NK054_(yi)001:2034	rgyu 'bras dbyer med pa dang / phun sum tshogs pa bzhi dang / gleng gzhi'i don bsdus pa dngos dang bzhi'i sgo nas rgyud kyi don phun sum tshogs pa 'byung ba de yang /	203	rgyu bras dbyer med ba dang phun sum tshogs ba bzhi dang gleng gzhi don sdud ba dngos dang bzhi sgo nas brgyud kyi don phun sum tshogs ba byung ba de yang 
BO_NK054_(yi)001:2035	byung yang kun tu bzang po'i thugs dkyil 'khor du snang la /	203	byung yang kun tu bzang po thugs dkyil khor du snang la 
BO_NK054_(yi)001:2036	de nyid yab yum du dbyer med pa dbyings dang ye shes dbyer med pa'i bdag nyid kyi rtsa las byung ba /	203	de nyid yab yum du dbyer med ba dbyings dang ye shes dbyer med ba bdag nyid kyi rtsa las byung ba 
BO_NK054_(yi)001:2037	'dus kyang der 'dus te ston yang de nyid ston pas /	203	du kyang der du te ston yang de nyid ston ba 
BO_NK054_(yi)001:2038	de'i phyir na ston pas dbyings ye shes dbyer med pa thugs su chud pa'i rang byung gi ye shes ye shes lnga dang ldan pa'i rtags su rigs lngar byung ba de yang logs pa med de /	203	de phyir na ston ba dbyings ye shes dbyer med ba thugs su chud ba rang byung gi ye shes ye shes lnga dang ldan ba rtags su rigs lngar byung ba de yang logs ba med de 
BO_NK054_(yi)001:2039	sems can gyi dus na phung po lnga gnas su dag pa'o //	203	sems can gyi dus na phung po lnga gnas su dag ba 
BO_NK054_(yi)001:2040	ye shes kyi yul chos kyi dbyings la mtshan nyid dbye ba med kyang ye shes so so'i yon tan gyi cha 'dzin pa dbyings lnga'i mkha' ni gnas phun sum tshogs pa'o //	204	ye shes kyi yul chos kyi dbyings la mtshan nyid byed ba med kyang ye shes so so yon tan gyi cha dzin ba dbyings lnga mkha ni gnas phun sum tshogs ba 
BO_NK054_(yi)001:2041	de ltar ston pa 'khor gnas gsum dang ldan pa las gong du bstan pa'i rgyud kyi don bzhi byung yang /	204	de ltar ston ba khor gnas gsum dang ldan ba las gong du ston ba brgyud kyi don bzhi byung yang 
BO_NK054_(yi)001:2042	dbyings dang ye shes dbyer med las byung zhing 'dus te /	204	dbyings dang ye shes dbyer med las byung zhing du te 
BO_NK054_(yi)001:2043	dbyings ye shes dbyer med du ston pa'i phyir /	204	dbyings ye shes dbyer med du ston ba phyir 
BO_NK054_(yi)001:2044	rgyud kyi don brjod bya dang rjod byed gleng ba'i gzhi phun sum tshogs pa ste khog don spyir bstan pa'o //	204	brgyud kyi don rjod byed dang rjod byed gleng ba gzhi phun sum tshogs ba ste khog don spyir ston ba 
BO_NK054_(yi)001:2045	de nas de bzhin gshegs pa zhes pa la sogs pa de ni gong ma la snyeg ste bshad pa'i bzhin gleng gzhi phun sum tshogs pa'i skad cig ma'o //	204	de nas de bzhin gshegs ba zhes ba la sogs ba de ni gong ma la snyeg ste chad ba bzhin gleng gzhi phun sum tshogs ba skad cig ma 
BO_NK054_(yi)001:2046	nas ni rjes thogs te gleng gzhi bsdus pa'i mgo 'dren no //	204	nas ni rjes thogs te gleng gzhi sdud ba mgo bgrang no 
BO_NK054_(yi)001:2047	bsdus pa snang tshul ni /	204	sdud ba snang tshul ni 
BO_NK054_(yi)001:2048	de bzhin gshegs pa zhes pa /	204	de bzhin gshegs ba zhes ba 
BO_NK054_(yi)001:2049	'bras bu mngon du byas pa'i lhun grub kyi bud+d+ha 'khor 'das dbyer med rig pa rang byung gi ye shes ston pa phun sum tshogs pa'i ngo bo nyid /	204	bras bu mngon du byed ba lhun grub kyi bud+d+ha khor da dbyer med rig ba rang byung gi ye shes ston ba phun sum tshogs ba ngo bo nyid 
BO_NK054_(yi)001:2050	rang byung gi ye shes ye shes lngar snang ba'i rtags su rigs lnga ste /	205	rang byung gi ye shes ye shes lngar snang ba rtags su rigs lnga ste 
BO_NK054_(yi)001:2051	'dir lnga ma smos kyang btsun mo'i skabs su tshogs smos pas de'i zlas lnga'o //	205	dir lnga ma smos kyang btsun mo skabs su tshogs smos ba de zlas lnga 
BO_NK054_(yi)001:2052	btsun mo ni yum ste /	205	btsun mo ni yum ste 
BO_NK054_(yi)001:2053	tshogs zhes pas lnga'o //	205	tshogs zhes ba lnga 
BO_NK054_(yi)001:2054	de la tshogs kyi sgras chos kyi dbyings kyis khyab tshad gleng gzhi phun sum tshogs pas gsal bar mngon no //	205	de la tshogs kyi sgras chos kyi dbyings kyis khyab tshad gleng gzhi phun sum tshogs ba gsal ba mngon no 
BO_NK054_(yi)001:2055	gnyis su med pa zhes pa /	205	gnyis su med ba zhes ba 
BO_NK054_(yi)001:2056	don dbyings dang ye shes gnyis su med /	205	don dbyings dang ye shes gnyis su med 
BO_NK054_(yi)001:2057	rtags thabs dang shes rab gnyis su med de /	205	rtags thabs dang shes rab gnyis su med de 
BO_NK054_(yi)001:2058	gsang ba ni rang bzhin gsang ba'i snying po bud+d+ha thams cad thams shes rab gnyis su med pa'i ngo bo mtha' thams cad dang bral bas /	205	gsang ba ni rang bzhin gsang ba snying po bud+d+ha thams cad thams shes rab gnyis su med ba ngo bo mtha thams cad dang bral ba 
BO_NK054_(yi)001:2059	dbus su yang gzung du med pa'i bdag nyid kun gyis rtogs dka' bas na gsal ba ste /	205	dbus su yang gzung du med ba bdag nyid kun gyis rtogs dka ba na gsal ba ste 
BO_NK054_(yi)001:2060	dkyil 'khor ni snang stong dbyer med pa mnyam pa nyid lhun gyis grub pa'o //	206	dkyil khor ni snang stong dbyer med ba mnyam ba nyid lhun gyis grub ba 
BO_NK054_(yi)001:2061	'di la spar khab mkhan pos lhun grub kyi bud+d+ha yab yum thabs dang shes rab 'byor ba'i mtha' bral gyi ye shes ngos gzung thams cad dang bral bas bde ba de tsam du yang 'dzin pa med pas chen po'i dgongs pa la 'bras bu'i chos nyi shu rtsa	206	di la spor khab mkhan pos lhun grub kyi bud+d+ha yab yum thabs dang shes rab byor ba mtha bral gyi ye shes ngos gzung thams cad dang bral ba bde ba de tsam du yang dzin ba med ba chen po dgongs ba la bras bu chos nyi shu rtsa 
BO_NK054_(yi)001:2062	lnga la sogs pa thams cad lhun gyis grub pa ni /	206	lnga la sogs ba thams cad lhun gyis grub ba ni 
BO_NK054_(yi)001:2063	mthar thug pa'i ye shes yin pas na /	206	mthar thug ba ye shes yin ba na 
BO_NK054_(yi)001:2064	sangs rgyas 'ba' zhig min pa sa bcu pa'i spyod yul yang ma yin te /	206	sangs rgya ba jig min ba sa chu ba spyod yul yang ma yin te 
BO_NK054_(yi)001:2065	sa bcu pa la sangs rgyas kyi byin gyis brlabs nas /	206	sa chu ba la sangs rgya kyi byin gyis brlabs nas 
BO_NK054_(yi)001:2066	de mngon du snang bas lam mthar phyin bud+d+ha pa'i phyir na /	206	de mngon du snang ba lam mthar phyin bud+d+ha ba phyir na 
BO_NK054_(yi)001:2067	lam pa dang thun mong ma yin pas gsang ba'i rang bzhin lhun gyis grub pa'i dkyil 'khor ces smos te /	206	lam ba dang thun mong ma yin ba gsang ba rang bzhin lhun gyis grub ba dkyil khor ces smos te 
BO_NK054_(yi)001:2068	theg pa mthar thug pa'i rgyud 'di nyid kyi skabs su ngo mtshar che'o /	206	theg ba mthar thug ba brgyud di nyid kyi skabs su ngo mtshar che 
