segmentnr	original	folio	stemmed
BO_NK081_(zhu)014:2000	'dod pa lnga la sogs pa rnams su thugs ye shes su rang byung bas bshad pa rnams ngo bo mi dmigs pa ni thams cad gzigs pa btar ba dang / ye shes su dngos po dang / mtshan nyid ma 'dres pa dang / yongs su rdzogs pa dang /	200	dod ba lnga la sogs ba rnams su thugs ye shes su rang byung ba chad ba rnams ngo bo mi dmigs ba ni thams cad gzigs ba btar ba dang ye shes su dngos po dang mtshan nyid ma dre ba dang yongs su rdzogs ba dang 
BO_NK081_(zhu)014:2001	ngo bo ma grub pa dang / gcig tu ma nges pa la sogs pa tha snyad kun dang bral zhes tha snyad du 'dogs so //	200	ngo bo ma grub ba dang gcig tu ma nges ba la sogs ba tha snyad kun dang bral zhes tha snyad du dogs so 
BO_NK081_(zhu)014:2002	khams gsum bdag nyid chen po'i phyir //	200	khams gsum bdag nyid chen po phyir 
BO_NK081_(zhu)014:2003	sems can kun gyi sems la son //	200	sems can kun gyi sems la son 
BO_NK081_(zhu)014:2004	zhes pa / bdag nyid chen por bstan te /	200	zhes ba bdag nyid chen por ston te 
BO_NK081_(zhu)014:2005	mngal dang mtshan nyid gsum gyis bsdus pa thams cad yul du ma byas par gzigs pas bdag tu gsal ba la thams cad rdzogs pa ni chen po'o //	200	mngal dang mtshan nyid gsum gyis sdud ba thams cad yul du ma byed ba gzigs ba bdag tu gsal ba la thams cad rdzogs ba ni chen po 
BO_NK081_(zhu)014:2006	de lta bas na thugs rje ye shes dang sems can gnyis su med par grub pa ni phyin pa'o //	200	de lta ba na thugs rje ye shes dang sems can gnyis su med ba grub ba ni phyin ba 
BO_NK081_(zhu)014:2007	sa sogs zhen mthas ma reg cing //	200	sa sogs zhen mthas ma reg cing 
BO_NK081_(zhu)014:2008	gcig pu rab tu che ba'i lha //	200	gcig pu rab tu che ba lha 
BO_NK081_(zhu)014:2009	zhes pa / sa la gnas pa'i byang chub sems dpa' dbyings yul du byed pa dang / brtags pa tha snyad la blo phyin ci log tu zhen pa'i blo ngan pa dang / bshad pa'i mtha' rnams kyi ma nges pa dang / lhan mi gcig par gcig pu ba dang /	200	zhes ba sa la gnas ba byang chub sems dpa dbyings yul du byed ba dang rtog ba tha snyad la blo phyin ci log tu zhen ba blo ngan ba dang chad ba mtha rnams kyi ma nges ba dang lhan mi gcig ba gcig pu ba dang 
BO_NK081_(zhu)014:2010	gzhan las spags pa ste mi bzad pa'i longs spyod dang / 'dzin pa'i ngang gis dag pas lha'o //	201	gzhan las spog ba ste mi bzad ba longs spyod dang dzin ba ngang gis dag ba lha 
BO_NK081_(zhu)014:2011	de bzhin nyid dang dbyer med phyir /	201	de bzhin nyid dang dbyer med phyir 
BO_NK081_(zhu)014:2012	'di la spyod yul yod ma yin //	201	di la spyod yul yod ma yin 
BO_NK081_(zhu)014:2013	zhes pa / gzhi bzhin du chub pas yul med pas mi phyed pa ni /	201	zhes ba gzhi bzhin du chub ba yul med ba mi phyed ba ni 
BO_NK081_(zhu)014:2014	snga phyi med pa'i phyir spyod yul dang bral lo //	201	snga phyi med ba phyir spyod yul dang bral lo 
BO_NK081_(zhu)014:2015	de yang spyod yul thams cad bral bar bstan te /	201	de yang spyod yul thams cad bral ba ston te 
BO_NK081_(zhu)014:2016	dpal gsang ba'i snying po nyid las bsdud pa /	201	dpal gsang ba snying po nyid las bsdud ba 
BO_NK081_(zhu)014:2017	bsam yas lhun gyis grub pa'i ting nge 'dzin gyi rim pa ste drug pa'o //	201	bsam yas lhun gyis grub ba ting nge dzin gyi rim ba ste drug ba 
BO_NK081_(zhu)014:2018	zhes pa sgra ja bzhin no //	201	zhes ba sgra ja bzhin no 
BO_NK081_(zhu)014:2019	tha ma bsngo ba bstan pa ni /	201	tha ma sngo ba ston ba ni 
BO_NK081_(zhu)014:2020	yongs rdzogs zhes pa la sogs pa ni sgra ji bzhin no //	202	yongs rdzogs zhes ba la sogs ba ni sgra ji bzhin no 
BO_NK081_(zhu)014:2021	rang byung gnas med bsam yas lhun rdzogs dang po lhun grub kyang /	202	rang byung gnas med bsam yas lhun rdzogs dang po lhun grub kyang 
BO_NK081_(zhu)014:2022	ngo bo nyid rtog gnyis sogs brtags pas spyi mtshan lhun gyis grub pa rnams /	202	ngo bo nyid rtogs gnyis sogs rtog ba spyi mtshan lhun gyis grub ba rnams 
BO_NK081_(zhu)014:2023	sman dang sman pa lta bur zer snang dmag gsal rgyud gnyis ma rdzogs kyang /	202	sman dang sman ba lta bur zer snang dmag gsal brgyud gnyis ma rdzogs kyang 
BO_NK081_(zhu)014:2024	bcud phyung nges thabs mdud pa phur ma 'grel brtsams thun mong bsngo /	202	bcud byin nges thabs mdud ba phur ma grel brtsams thun mong sngo 
BO_NK081_(zhu)014:2025	rim pa drug pa'i 'grel pa /	202	rim ba drug ba grel ba 
BO_NK081_(zhu)014:2026	rin po che phra bkod ces bya ba pan+di ta bi ma las mdzad pa rdzogs so ////	202	rin po che phra bkod ces byed ba pan+di ta bi ma las mdzad ba rdzogs so 
