segmentnr	original	folio	stemmed
BO_NK082_(zu)026:0	// kro d+ha sa mya gu l+k+aa bi ha ra ti sma ////	0	kro d+ha sa mya gu l+k+aa bi ha ra ti sma 
BO_NK082_(zu)026:1	khro bo yang dag sgron ma bzhugs so //	0	khro bo yang dag sgron ma bzhugs so 
BO_NK082_(zu)026:2	ye nas spros med rang bzhin lhun gyis grub //	0	ye nas spros med rang bzhin lhun gyis grub 
BO_NK082_(zu)026:3	ye shes mkhyen ldan sku gsung rdzogs pa'i dpal //	0	ye shes mkhyen ldan sku gsung rdzogs ba dpal 
BO_NK082_(zu)026:4	tshad med yon tan rgya mtsho'i tshogs mnga' ba'i //	0	tshad med yon tan rgya mtsho tshogs mnga ba 
BO_NK082_(zu)026:5	kun bzang he ru ka la phyag 'tshal lo //	0	kun bzang he ru ka la phyag tshal lo 
BO_NK082_(zu)026:6	bsgrub pa'i rgyal po rgyal ba kun gyi thugs //	0	sgrub ba rgyal po rgyal ba kun gyi thugs 
BO_NK082_(zu)026:7	don gyi snying po ma bcos byang chub sems //	0	don gyi snying po ma chos byang chub sems 
BO_NK082_(zu)026:8	bla med mchog gi dngos grub thob pa yi //	0	bla med mchog gi dngos grub thob ba yi 
BO_NK082_(zu)026:9	nges pa'i bsnyen bsgrub rim pa 'di brtsam mo //	0	nges ba snyen sgrub rim ba di brtsam mo 
BO_NK082_(zu)026:10	gnas dang shes pa yo byad 'khor rnams dang // dbang dang dam tshig phun sum tshogs pa yi //	1	gnas dang shes ba yo byad khor rnams dang dbang dang dam tshig phun sum tshogs ba yi 
BO_NK082_(zu)026:11	rgyud lngar skyes pa'i 'gro ba sdug bsngal rnams //	1	brgyud lngar skye ba gro ba sdug sngal rnams 
BO_NK082_(zu)026:12	byang chub chen po'i snying rjes sems bskyed do //	1	byang chub chen po snying rjes sems skyed do 
BO_NK082_(zu)026:13	chos rnams thams cad ye nas sems nyid de //	1	chos rnams thams cad ye nas sems nyid de 
BO_NK082_(zu)026:14	sems nyid rang bzhin gdod nas ma skyes pas //	1	sems nyid rang bzhin gdod nas ma skye ba 
BO_NK082_(zu)026:15	bsgom par bya dang byed med ye nas stong //	1	bsgom ba byed dang byed med ye nas stong 
BO_NK082_(zu)026:16	ci yang mi rtog mi dmigs bsam mon bral //	1	ci yang mi rtogs mi dmigs bsam mon bral 
BO_NK082_(zu)026:17	mtha' dang dbus med nam mkha'i ngo bo nyid //	1	mtha dang dbus med nam mkha ngo bo nyid 
BO_NK082_(zu)026:18	yongs la snyoms pas snying rje 'byung ba'i yul //	1	yongs la snyom ba snying rje byung ba yul 
BO_NK082_(zu)026:19	bde ba chen po'i ngang du bkod do zhes //	1	bde ba chen po ngang du bkod do zhes 
BO_NK082_(zu)026:20	yang nas yang du dam tshig rnam par bca' //mkha' mnyam rang bzhin dag pa'i dbyings nyid la //	2	yang nas yang du dam tshig rnam ba chos mnyam rang bzhin dag ba dbyings nyid la 
BO_NK082_(zu)026:21	bde gshegs thugs kyi ye shes snying po ni //	2	bde gshegs thugs kyi ye shes snying po ni 
BO_NK082_(zu)026:22	sems kyi rang bzhin yi ge h'u du snang //	2	sems kyi rang bzhin yi ge hu du snang 
BO_NK082_(zu)026:23	thams cad 'byung gnas ye shes chen po'i h'u //	2	thams cad byung gnas ye shes chen po hu 
BO_NK082_(zu)026:24	de las ye shes 'od zer rab 'phros pas //	2	de las ye shes d zer rab phro ba 
BO_NK082_(zu)026:25	rgyal ba'i tshogs brnyes 'gro ba'i rgyud sbyangs te //	2	rgyal ba tshogs brnyes gro ba brgyud sbyong te 
BO_NK082_(zu)026:26	dur khrod chen po'i yon tan kun bsdus nas //	2	dur khrod chen po yon tan kun sdud nas 
BO_NK082_(zu)026:27	re zhing ngam nas 'bar ba'i dkyil 'khor bkod //	2	re zhing ngam nas bar ba dkyil khor bkod 
BO_NK082_(zu)026:28	sarba ta tha ga ta b+hu d+ha gar+b+ha la /	2	sarba ta tha ga ta b+hu d+ha gar+b+ha la 
BO_NK082_(zu)026:29	pad+ma d+harma +aa be sha ya a a /	2	pad+ma d+harma +aa be sha ya a a 
BO_NK082_(zu)026:30	dur khrod chen po'i rab 'jigs par //	3	dur khrod chen po rab jigs ba 
BO_NK082_(zu)026:31	rlung nag rdo rje gtams pa'i steng //	3	rlung nag rdo rje gtams ba steng 
BO_NK082_(zu)026:32	khrag gi rgya mtsho 'khrugs pa'i dkyil //	3	khrag gi rgya mtsho khrugs ba dkyil 
BO_NK082_(zu)026:33	keng rus chen po'i ri rab brtsigs //	3	keng rus chen po ri rab brtsigs 
BO_NK082_(zu)026:34	yam karma rak+sha ham /	3	yam karma rak+sha ham 
BO_NK082_(zu)026:35	ra ma h+aa rak+ta sa mun ta dza la sa mu tra h'u /	3	ra ma h+aa rak+ta sa mun ta dza la sa mu tra hu 
BO_NK082_(zu)026:36	keem ni ri ti dz+wa la man+da la h'u phata /	3	keem ni ri ti dz+wa la man+da la hu phata 
BO_NK082_(zu)026:37	zla gam dbang chen man+dala /	3	zla gam dbang chen man+dala 
BO_NK082_(zu)026:38	dur khrod yon tan tshogs kyis brgyan //	3	dur khrod yon tan tshogs kyis rgyan 
BO_NK082_(zu)026:39	phyi dang nang med kun tu snang //	3	phyi dang nang med kun tu snang 
BO_NK082_(zu)026:40	ye nas gzhal yas nam mkha'i rgya //	4	ye nas jal yas nam mkha rgya 
BO_NK082_(zu)026:41	b+h+aum bi shwa bi shud+d+he /	4	b+h+aum bi shwa bi shud+d+he 
BO_NK082_(zu)026:42	'bar ba'i 'khor lo rtsibs bzhi pa //	4	bar ba khor lo rtsibs bzhi ba 
BO_NK082_(zu)026:43	gru chad bzhi yis rnam par brgyan //	4	gru chad bzhi yis rnam ba rgyan 
BO_NK082_(zu)026:44	gru bzhi sgo khyud bzhi dang ldan //	4	gru bzhi sgo khyud bzhi dang ldan 
BO_NK082_(zu)026:45	'bar ba'i bar khyams gnyis kyis mdzes //	4	bar ba ba khyams gnyis kyis mdzes 
