segmentnr	original	folio	stemmed
BO_NK084_(yu)003:0	// de kho na nyid snang ba dam pa rgyan mchan tig can du bzhugs so //	0	de kho na nyid snang ba dam ba rgyan mchan tig can du bzhugs so 
BO_NK084_(yu)003:1	phyag la gsum ste /	0	phyag la gsum ste 
BO_NK084_(yu)003:2	dgos don dang / bsdus don dang / tshig don no //	0	dgos don dang sdud don dang tshig don no 
BO_NK084_(yu)003:3	dgos pa ni gnyis te /	0	dgos ba ni gnyis te 
BO_NK084_(yu)003:4	yi dam lha la dbang mi za ba dang / bstan chos rtsom pa la bar chad mi yong ba'i dgos pa yod /	0	yi dam lha la dbang mi za ba dang ston chos rtsom ba la ba chad mi yong ba dgos ba yod 
BO_NK084_(yu)003:5	bstus pa'i don la bzhi ste /	0	bstus ba don la bzhi ste 
BO_NK084_(yu)003:6	gang zag gang gis brtsal /	0	gang zag gang gis brtsal 
BO_NK084_(yu)003:7	lus gang la brtsal /	0	lus gang la brtsal 
BO_NK084_(yu)003:8	dgos ched ci'i phyir brtsal /	0	dgos ched ci phyir brtsal 
BO_NK084_(yu)003:9	tshul lam thabs ji ltar brtsal lo //	0	tshul lam thabs ji ltar brtsal lo 
BO_NK084_(yu)003:10	gang zag ni mngon 'byung du sangs rgyas gsang bas so //	1	gang zag ni mngon byung du sangs rgya gsang ba so 
BO_NK084_(yu)003:11	rjes 'jug tu bshad pa po gang yin gyis so //	1	rjes jug tu chad ba po gang yin gyis so 
BO_NK084_(yu)003:12	yul ni khrag 'thung khro bo'i lha'o //	1	yul ni khrag thung khro bo lha 
BO_NK084_(yu)003:13	dgos ched ni /	1	dgos ched ni 
BO_NK084_(yu)003:14	rtogs pa don gyi phyag btsal bas mchog gi dngos grub 'thob la /	1	rtogs ba don gyi phyag btsal ba mchog gi dngos grub thob la 
BO_NK084_(yu)003:15	kun rdzob brda'i phyag btsal bas thun mong gi dngos grub 'thob pa'o //	1	kun rdzob brda phyag btsal ba thun mong gi dngos grub thob ba 
BO_NK084_(yu)003:16	tshul lam thabs ni gsum ste /	1	tshul lam thabs ni gsum ste 
BO_NK084_(yu)003:17	yi dam don du gnyer ba'i tshul dang / gdul bya gus pa bskyed pa'i tshul dang / ya rabs dang go bstun pa'i tshul lo //	1	yi dam don du gnyer ba tshul dang gdul byed gus ba skyed ba tshul dang ya rabs dang go bstun ba tshul lo 
BO_NK084_(yu)003:18	tshig gi don ni gsum ste /	1	tshig gi don ni gsum ste 
BO_NK084_(yu)003:19	dbang po rab nges shes skyed pa'i phyir na sku lnga dang sbyar te bshad pa dang / dbang po 'bring nges shes skyed pa'i phyir na sku gsum dang sbyar te bshad pa dang / dbang po tha ma nges shes skyed pa'i phyir na sgra brgyad dang sbyar te bshad pa'o //	1	dbang po rab nges shes skyed ba phyir na sku lnga dang sbyor te chad ba dang dbang po bring nges shes skyed ba phyir na sku gsum dang sbyor te chad ba dang dbang po tha ma nges shes skyed ba phyir na sgra brgyad dang sbyor te chad ba 
BO_NK084_(yu)003:20	yang na rang don chos sku dang sbyar te bshad /	2	yang na rang don chos sku dang sbyor te chad 
BO_NK084_(yu)003:21	gzhan don sku gnyis dang sbyar te bshad pa'o //	2	gzhan don sku gnyis dang sbyor te chad ba 
BO_NK084_(yu)003:22	don bcu dang yang sbyar te bshad do //	2	don chu dang yang sbyor te chad do 
BO_NK084_(yu)003:23	rang don chos sku dang sbyar te bshad na /	2	rang don chos sku dang sbyor te chad na 
BO_NK084_(yu)003:24	thams cad 'khor ba dang mya ngan las 'das pa dang / gzhi' lam 'bras bu gsum gyis bsdus pa'i chos thams cad do //	2	thams cad khor ba dang mya ngan las da ba dang gzhi lam bras bu gsum gyis sdud ba chos thams cad do 
BO_NK084_(yu)003:25	ngo bo ngo bo de'i rang bzhin te /	2	ngo bo ngo bo de rang bzhin te 
BO_NK084_(yu)003:26	sems 'od gsal lo //	2	sems d gsal lo 
BO_NK084_(yu)003:27	de ni cha sa nyid byang sems rang snang ba'o //	2	de ni cha sa nyid byang sems rang snang ba 
BO_NK084_(yu)003:28	mnyam nyid ni gzung ba dang 'dzin pa'i la sogs pa'i mtha' thams cad bral ba /	2	mnyam nyid ni gzung ba dang dzin ba la sogs ba mtha thams cad bral ba 
BO_NK084_(yu)003:29	chos nyid rang gi ngo bo bden pa dbyer myed pa'i phyir ro //	2	chos nyid rang gi ngo bo bden ba dbyer myed ba phyir ro 
BO_NK084_(yu)003:30	sku // ni chos kyi sku'o //	3	sku ni chos kyi sku 
BO_NK084_(yu)003:31	de ni rang don phun sum 'tshogs pa'o //	3	de ni rang don phun sum tshogs ba 
BO_NK084_(yu)003:32	bde' chen chos sku de las /	3	bde chen chos sku de las 
BO_NK084_(yu)003:33	gdul bya'i don du longs spyod de yang bde ba mi zad pa dang / bde ba che ba dang / bde' ba gya nom pa dang ldan par ro //	3	gdul byed don du longs spyod de yang bde ba mi zad ba dang bde ba che ba dang bde ba gyas mnam ba dang ldan ba ro 
BO_NK084_(yu)003:34	gar dbang ni sprul pa'i sku ste /	3	gar dbang ni sprul ba sku ste 
