segmentnr	original	folio	stemmed
BO_NK090_(u)004:0	/ / 'dus pa mdo'i dka' 'grel rdo rje'i tha ram 'byed pa'i lde'u mig ces bya ba bzhugs so //	0	du ba mdo dka grel rdo rje tha ram byed ba ldeu mig ces byed ba bzhugs so 
BO_NK090_(u)004:1	swa sti / sku lnga lhun grub rdo rje 'chang chen dang // rgyal ba'i thugs sras gsang ba'i bdag po la //	0	swa sti sku lnga lhun grub rdo rje chang chen dang rgyal ba thugs sras gsang ba bdag po la 
BO_NK090_(u)004:2	sgo gsum dang ba'i dad pas phyag 'tshal 'dud //	0	sgo gsum dang ba dad ba phyag tshal dud 
BO_NK090_(u)004:3	mdo chen dka' ba'i the tshom bdag gis dgrol //	0	mdo chen dka ba the tshom bdag gis grol 
BO_NK090_(u)004:4	de la sangs rgyas kun gyi dgongs pa 'dus pa'i mdo rgyud chen po 'di la mtshan gsum klad du byung ba'i dgos pa gang zhe na /	0	de la sangs rgya kun gyi dgongs ba du ba mdo brgyud chen po di la mtshan gsum klad du byung ba dgos ba gang zhe na 
BO_NK090_(u)004:5	rgya gar skad ni /	0	rgya gar skad ni 
BO_NK090_(u)004:6	khungs btsun par bya ba'i phyir smos la /	0	khungs btsun ba byed ba phyir smos la 
BO_NK090_(u)004:7	bod skad ni /	0	bod skad ni 
BO_NK090_(u)004:8	brda' 'jal bar bya ba'i phyir smos so //	0	brda jal ba byed ba phyir smos so 
BO_NK090_(u)004:9	bru sha'i skad ni /	0	bru sha skad ni 
BO_NK090_(u)004:10	bru sha'i lo ts+aa ba che btsan skyes kyis /	1	bru sha lo ts+aa ba che btsan skye kyis 
BO_NK090_(u)004:11	rgya gar yul du byon gsang sngags mdo rgyud kyi don la sbyangs nas /	1	rgya gar yul du byon gsang sngags mdo brgyud kyi don la sbyong nas 
BO_NK090_(u)004:12	bod yul du bsgyur bar bzhed pas /	1	bod yul du sgyur ba bzhed ba 
BO_NK090_(u)004:13	dus der rgyal po glang dar ma 'chal ba'i ring la /	1	dus der rgyal po glang dar ma chal ba ring la 
BO_NK090_(u)004:14	dam pa'i chos bsnubs nas bsgyur dbang ma byung nas bru sha'i yul du byon te /	1	dam ba chos snub nas sgyur dbang ma byung nas bru sha yul du byon te 
BO_NK090_(u)004:15	bru sha'i khrom du bsgyur bas bru sha'i yul mi la drin la lan gyis blan pa'i ched du bru sha'i skad smos pa'o //	1	bru sha khrom du sgyur ba bru sha yul mi la drin la lan gyis blon ba ched du bru sha skad smos ba 
BO_NK090_(u)004:16	mtshan gyi 'bru la bod skad mnan te /	1	mtshan gyi bru la bod skad gnon te 
BO_NK090_(u)004:17	'di la rgyas par dgrol na bshad lugs dgu ste /	1	di la rgya ba grol na chad lugs dgu ste 
BO_NK090_(u)004:18	rgyud lung man ngag gsum dang sbyar te bshad pa dang / che ba bdun dang sbyar ba dang / byung tshul bcu gnyis dang sbyar ba dang / le'u bdun cu rtsa lnga dang sbyar ba dang / mtshon pa dpe dang sbyar te bshad pa dang /	1	brgyud lung man ngag gsum dang sbyor te chad ba dang che ba bdun dang sbyor ba dang byung tshul chu gnyis dang sbyor ba dang leu bdun cu rtsa lnga dang sbyor ba dang mtshon ba dpe dang sbyor te chad ba dang 
BO_NK090_(u)004:19	snod bzhi la bstan pa bzhi ru gsungs pa dang / mtshan gtan tshigs kyi sgo nas bshad pa'o //	1	snod bzhi la ston ba bzhi ru gsungs ba dang mtshan gtan tshigs kyi sgo nas chad ba 
BO_NK090_(u)004:20	spyir rgyud 'di la mtshan tshan bzhir 'byung ba zlos sam snyam na /	2	spyir brgyud di la mtshan tshan bzhir byung ba zlos sam snyam na 
