segmentnr	original	folio	stemmed
BO_NK104_(phe)001:6000	snang ba snang thog tu rang bzhag pas phyi tshogs drug la bdag tu mi rtog /	600	snang ba snang thogs tu rang jog ba phyi tshogs drug la bdag tu mi rtogs 
BO_NK104_(phe)001:6001	nang sems nyid la bdag tu mi rtog pas /	600	nang sems nyid la bdag tu mi rtogs ba 
BO_NK104_(phe)001:6002	rdzogs pa chen po mtha' gang la yang mi gnas pa'i dgongs pa zhes bya ba /	600	rdzogs ba chen po mtha gang la yang mi gnas ba dgongs ba zhes byed ba 
BO_NK104_(phe)001:6003	sdud pa po la kun tu bzang po nga yis bstan pas /	600	sdud ba po la kun tu bzang po nga yis ston ba 
BO_NK104_(phe)001:6004	chos thams cad 'bad rtsol dang bral ba'i don khong du chud pa'o //	600	chos thams cad bad rtsol dang bral ba don khong du chud ba 
BO_NK104_(phe)001:6005	des na gzhag pas grol ba'i tshi chad pa'i nad dang bral ba rdzogs pa chen po rtsol sgrub dang bral ba'i gnad do //	600	des na jog ba grol ba tshi chad ba nad dang bral ba rdzogs ba chen po rtsol sgrub dang bral ba gnad do 
BO_NK104_(phe)001:6006	rgyu rtag par 'dod pa sems bdag dang bcas pa dang / 'bras bu rtag par 'dod pa phya'am dbang phyug gi 'khor du skye bar 'dod pa dang / rgyu chad pa sems glo bur du 'dod pa dang / 'bras bu chad pa sems 'byung ba la thim nas slar mi ldog par 'dod pa ste /	600	rgyu rtag ba dod ba sems bdag dang cha ba dang bras bu rtag ba dod ba phya dbang phyug gi khor du skye ba dod ba dang rgyu chad ba sems glo bur du dod ba dang bras bu chad ba sems byung ba la thim nas slar mi ldog ba dod ba ste 
BO_NK104_(phe)001:6007	de ltar na rtag chad med pa'i sems nyid la /	600	de ltar na rtag chad med ba sems nyid la 
BO_NK104_(phe)001:6008	snang ba ris can du 'dzin pa'i chos /	600	snang ba ris can du dzin ba chos 
BO_NK104_(phe)001:6009	bzang ba sku dang ye shes la zhen pa med la /	600	bzang ba sku dang ye shes la zhen ba med la 
BO_NK104_(phe)001:6010	ngan pa 'khor ba ngan song la bdag tu lta ba'i zhen pa dang bral ba'i snang ba ni 'khor ba spang du med pas sdug bsngal nyid rang sar grol la /	601	ngan ba khor ba ngan gro la bdag tu lta ba zhen ba dang bral ba snang ba ni khor ba spong du med ba sdug sngal nyid rang sar grol la 
BO_NK104_(phe)001:6011	mya ngan las 'das pa blang du med pas /	601	mya ngan las da ba blang du med ba 
BO_NK104_(phe)001:6012	bde ba nyid bde bas rang grol ba'i phyir na las dang bag chags dang bral ba'i dgongs pa zhes bya ba /	601	bde ba nyid bde ba rang grol ba phyir na las dang bag chags dang bral ba dgongs ba zhes byed ba 
BO_NK104_(phe)001:6013	sngon byung du sdud pa po la kun tu bzang po nga yis bstan pas /	601	sngon byung du sdud ba po la kun tu bzang po nga yis ston ba 
