segmentnr	original	folio	stemmed
BO_NK105_(be)002:6000	rigs kyi bu'am rigs kyi bu mo dad pa mchog dang ldan pa gang la la zhig gis dge ba'i bshes gnyen la bsnyen bkur na bskal pa gang+g+aa'i klung gi bye ma snyed kyi sangs rgyas thams cad la mchod pa byas pa bas bsod nams kyi phung po tshad	600	rigs kyi bu rigs kyi bu mo dad ba mchog dang ldan ba gang la la jig gis dge ba bshes gnyen la snyen bkur na bskal ba gang+g+aa klung gi bye ma snyed kyi sangs rgya thams cad la mchod ba byed ba ba bsod nams kyi phung po tshad 
BO_NK105_(be)002:6001	med dpag tu med ces pa dang / ye shes dam pa'i rgyud las /	600	med dpog tu med ces ba dang ye shes dam ba brgyud las 
BO_NK105_(be)002:6002	bskal pa'i sangs rgyas mchod pa bas //	600	bskal ba sangs rgya mchod ba ba 
BO_NK105_(be)002:6003	bla ma'i ba spu nyag gcig la //	600	bla ma ba spu nyag gcig la 
BO_NK105_(be)002:6004	'bru mar thigs pa gcig byugs nas //	600	bru mar thigs ba gcig byug nas 
BO_NK105_(be)002:6005	bsod nams phung po khyad par 'phags //	600	bsod nams phung po khyad ba phag 
BO_NK105_(be)002:6006	zhes so // de yang yul khyad par can yin pa'i phyir te /	600	zhes so de yang yul khyad ba can yin ba phyir te 
BO_NK105_(be)002:6007	dgongs 'dus las /	600	dgongs du las 
BO_NK105_(be)002:6008	bskal pa stong gi sangs rgyas pas //	600	bskal ba stong gi sangs rgya ba 
BO_NK105_(be)002:6009	bla ma gnyen par shes par bya //	600	bla ma gnyen ba shes ba byed 
BO_NK105_(be)002:6010	ci phyir zhe na bskal pa yi //	601	ci phyir zhe na bskal ba yi 
BO_NK105_(be)002:6011	sangs rgyas ma lus thams cad kun //	601	sangs rgya ma lus thams cad kun 
BO_NK105_(be)002:6012	bla ma dag la brten nas byung //	601	bla ma dag la rten nas byung 
BO_NK105_(be)002:6013	bla ma med pa'i gong rol na //	601	bla ma med ba gong rol na 
BO_NK105_(be)002:6014	sangs rgyas bya ba'i ming yang med //	601	sangs rgya byed ba ming yang med 
BO_NK105_(be)002:6015	ces pa'o // yon tan bsam zhing bshags bsdam bya ba ni /	601	ces ba yon tan bsam zhing chags sdom byed ba ni 
BO_NK105_(be)002:6016	de lta bu'i slob ma bzang pos /	601	de lta bu slob ma bzang pos 
BO_NK105_(be)002:6017	rtag tu bla ma'i yon tan dran bya zhing //	601	rtag tu bla ma yon tan dran byed zhing 
BO_NK105_(be)002:6018	skyon la mi rtog mthong yang yon tan bsam //	601	skyon la mi rtogs mthong yang yon tan bsam 
BO_NK105_(be)002:6019	rang snang yin nges khong la mi mnga' zhes //	601	rang snang yin nges khong la mi mnga zhes 
BO_NK105_(be)002:6020	snying nas bsam zhing bshags bsdam gnyen po bsten //	602	snying nas bsam zhing chags sdom gnyen po sten 
BO_NK105_(be)002:6021	'di ltar bla ma'i skyon la mi rtog cing yon tan 'ba' zhig dran par bya'o //	602	di ltar bla ma skyon la mi rtogs cing yon tan ba jig dran ba byed 
BO_NK105_(be)002:6022	gal te cung zad ma dad na rmi lam gyi rang bzhin du rang snang ngan pa yin te 'ong /	602	gal te cung zad ma dad na rmi lam gyi rang bzhin du rang snang ngan ba yin te ng 
BO_NK105_(be)002:6023	khong la med nges snyam du bsam zhing /	602	khong la med nges snyam du bsam zhing 
BO_NK105_(be)002:6024	rmi lam du bla ma'i kun spyod la ma dad na'ang gnyid sad ma thag tu bshags dgos te /	602	rmi lam du bla ma kun spyod la ma dad na rnyid sad ma thag tu chags dgos te 
BO_NK105_(be)002:6025	'khor lo chub pa rol pa las /	602	khor lo chub ba rol ba las 
BO_NK105_(be)002:6026	gal te rmi lam nang dag tu //	602	gal te rmi lam nang dag tu 
BO_NK105_(be)002:6027	bla ma'i skyon dag mthong gyur na //	602	bla ma skyon dag mthong gyur na 
BO_NK105_(be)002:6028	sad ma thag tu bshags par bya //	602	sad ma thag tu chags ba byed 
BO_NK105_(be)002:6029	gal te bshags pa ma byas na //	602	gal te chags ba ma byed na 
BO_NK105_(be)002:6030	'di yang mnar med rgyu 'phel 'gyur //	603	di yang mnar med rgyu phel gyur 
BO_NK105_(be)002:6031	zhes so // nyin par byung na skad cig gam thang cig gam nyin mtshan ma 'das pa la bshags dgos so //	603	zhes so nyin ba byung na skad cig gam thang cig gam nyin mtshan ma da ba la chags dgos so 
BO_NK105_(be)002:6032	de nas kyang skyon gcig sems na yon tan brgya 'gyur du bsam zhing /	603	de nas kyang skyon gcig sems na yon tan brgya gyur du bsam zhing 
BO_NK105_(be)002:6033	brjod pa'ang mtshungs so //	603	rjod ba mtshungs so 
BO_NK105_(be)002:6034	mi mnyes pa spang zhing bya ba zhu ba ni /	603	mi mnyes ba spong zhing byed ba ju ba ni 
BO_NK105_(be)002:6035	dus rtag tu /	603	dus rtag tu 
BO_NK105_(be)002:6036	bla ma mi mnyes cha dang bcas spang zhing //	603	bla ma mi mnyes cha dang cha spong zhing 
BO_NK105_(be)002:6037	ji ltar mnyes pa'i thabs la 'bad par bya //	603	ji ltar mnyes ba thabs la bad ba byed 
BO_NK105_(be)002:6038	bla mas bka' stsal nam yang mi bcag cing //	603	bla mas bka stsal nam yang mi chag cing 
BO_NK105_(be)002:6039	bla ma'i nye 'khor sdug pa'ang bla ma bzhin //	603	bla ma nye khor sdug ba bla ma bzhin 
BO_NK105_(be)002:6040	bla ma'i 'khor g.yog slob mar mi bsdu zhing //	604	bla ma khor g.yog slob mar mi sdud zhing 
BO_NK105_(be)002:6041	chos bshad dbang bskur la sogs zhus te bya //	604	chos chad dbang skur la sogs zhus te byed 
BO_NK105_(be)002:6042	bla ma mi mnyes pa spang zhing mnyes pa bsgrub //	604	bla ma mi mnyes ba spong zhing mnyes ba sgrub 
BO_NK105_(be)002:6043	ji skad gsung ba bya dgos te /	604	ji skad gsung ba byed dgos te 
BO_NK105_(be)002:6044	snga ma las /	604	snga ma las 
BO_NK105_(be)002:6045	gal te skyon dang bcas na yang //	604	gal te skyon dang cha na yang 
BO_NK105_(be)002:6046	ji skad gsungs pa ltar bya na //	604	ji skad gsungs ba ltar byed na 
BO_NK105_(be)002:6047	yang dag don du 'gyur ba la //	604	yang dag don du gyur ba la 
BO_NK105_(be)002:6048	bsgrub par bya ba smos ci dgos //	604	sgrub ba byed ba smos ci dgos 
BO_NK105_(be)002:6049	nye 'khor sdug pa'ang bla ma bzhin //	604	nye khor sdug ba bla ma bzhin 
BO_NK105_(be)002:6050	'khor rnams slob mar mi bsdu la //	605	khor rnams slob mar mi sdud la 
BO_NK105_(be)002:6051	chos dang dbang bskur rab gnas dang // sbyin sreg la sogs zhus te bya //	605	chos dang dbang skur rab gnas dang sbyin sreg la sogs zhus te byed 
BO_NK105_(be)002:6052	zhes so // gzhan las kyang /	605	zhes so gzhan las kyang 
BO_NK105_(be)002:6053	bla ma'i sdug pa'ang bla ma bzhin //	605	bla ma sdug ba bla ma bzhin 
BO_NK105_(be)002:6054	zhes pa la sogs pa 'byung ba bzhin no //	605	zhes ba la sogs ba byung ba bzhin no 
BO_NK105_(be)002:6055	spyan sngar lus kyi nyes spyod bsdam pa ni /	605	spyan sngar lus kyi nyes spyod sdom ba ni 
BO_NK105_(be)002:6056	spyod lam yang /	605	spyod lam yang 
BO_NK105_(be)002:6057	bla ma'i spyan sngar lus ngag yid bsdam zhing //	605	bla ma spyan sngar lus ngag yid sdom zhing 
