segmentnr	original	folio	stemmed
BO_NK131_(do)003:0	// dris lan yang gsal sgron ma zhes btags pa gsang sngags rnying mar log rtog spel ba gzhom byed rgyal ba'i gsung bzhin legs par bshad pa lung gi rnga chen zhes bya ba bzhugs so //	0	dri lan yang gsal sgron ma zhes dogs ba gsang sngags rnying mar log rtogs spel ba joms byed rgyal ba gsung bzhin legs ba chad ba lung gi rnga chen zhes byed ba bzhugs so 
BO_NK131_(do)003:1	na mo gu ru b+h+yahbi dza yan+tu /	0	na mo gu ru b+h+yahbi dza yan+tu 
BO_NK131_(do)003:2	bden gsung tshad ma'i nyi ma rkang gnyis gtso //	0	bden gsung tshad ma nyi ma rkang gnyis gtso 
BO_NK131_(do)003:3	bden pa'i mthar thug 'gog bden 'dus ma byas //	0	bden ba mthar thug gog bden du ma byed 
BO_NK131_(do)003:4	gang zhig bden pa mngon rtogs lam gyi chos //	0	gang jig bden ba mngon rtogs lam gyi chos 
BO_NK131_(do)003:5	de de'i mtshan nyid gang mnga' gtan gyi skyabs //	0	de de mtshan nyid gang mnga gtan gyi skyob 
BO_NK131_(do)003:6	thugs rje'i bdag nyid rgyal bas gdul bya yi //	0	thugs rje bdag nyid rgyal ba gdul byed yi 
BO_NK131_(do)003:7	khams dbang bsam pa'i rjes mthun gsungs pa la //	0	khams dbang bsam ba rjes mthun gsungs ba la 
BO_NK131_(do)003:8	phyogs lhung phrag dog gdon gyi kun dkris can //	0	phyogs lhung phrag dog don gyi kun dkri can 
BO_NK131_(do)003:9	snyigs dus bstan pa'i chu bur 'di gzhom bya //	0	snyigs dus ston ba chu bur di joms byed 
BO_NK131_(do)003:10	mtha' bral mtha' la lhung ba'i rtog ge'i sprin //	1	mtha bral mtha la lhung ba rtogs ge sprin 
BO_NK131_(do)003:11	chags sdang rlung gis sbar bas nges don gyi //	1	chags sdang rlung gis sbor ba nges don gyi 
BO_NK131_(do)003:12	phrin las snang ba'i dkyil 'khor chud gsan par //	1	phrin las snang ba dkyil khor chud gsan ba 
BO_NK131_(do)003:13	phyogs 'dir blo mchog byams 'jam dbyangs sogs /	1	phyogs dir blo mchog byams jam dbyangs sogs 
BO_NK131_(do)003:14	rnams kyis gzu dpang mdzod //	1	rnams kyis gzu dpang mdzod 
BO_NK131_(do)003:15	de la re zhig ri bo dge ldan pa'i bstan khrod du bzhugs pa'i brag dkar dge bshes bya ba zhig gis nyams len gyi tshul la dris lan gyi yi ge zhig mdzad pa mig lam du snang bar gyur mod /	1	de la re jig ri bo dge ldan ba ston khrod du bzhugs ba brag dkar dge bshes byed ba jig gis nyams len gyi tshul la dri lan gyi yi ge jig mdzad ba mig lam du snang ba gyur mod 
