segmentnr	original	folio	stemmed
BO_NK133_(po)003:0	// rgyal bstan snga 'gyur bka' ma theg rim dgu'i phrin chog gzhung phyi mo rnams dang bcas pa'i dkar chag bstan pa rgya mtsho'i gru gzings bkra shis dpal brgya'i 'byung gnas zhes bya ba bzhugs so //	0	rgyal ston snga gyur bka ma theg rim dgu phrin chog gzhung phyi mo rnams dang cha ba dkar chag ston ba rgya mtsho gru gzings bkra shis dpal brgya byung gnas zhes byed ba bzhugs so 
BO_NK133_(po)003:1	gdod nas rnam dag chos dbyings klong chen srid zhi'i dge legs kun gyi dpal //	0	gdod nas rnam dag chos dbyings klong chen srid zhi dge legs kun gyi dpal 
BO_NK133_(po)003:2	'od gsal lhun grub nam mkha'i rang bzhin mi 'gyur rnam kun rtag pa'i gshis //	0	d gsal lhun grub nam mkha rang bzhin mi gyur rnam kun rtag ba gshis 
BO_NK133_(po)003:3	sku dang ye shes 'du 'bral mi mnga' gdod ma'i rgyal ba kun tu bzang //	0	sku dang ye shes du bral mi mnga gdod ma rgyal ba kun tu bzang 
BO_NK133_(po)003:4	ngur smrig 'chang ba'i rnam par rol pa rdo rje 'dzin der mgos phyag 'tshal /	0	ngur smrig chang ba rnam ba rol ba rdo rje dzin der mgos phyag tshal 
BO_NK133_(po)003:5	1 / spros bral chos dbyings ye shes rang bzhin 'og min chen por nges pa lnga ldan longs spyod rdzogs //	0	spros bral chos dbyings ye shes rang bzhin g min chen por nges ba lnga ldan longs spyod rdzogs 
BO_NK133_(po)003:6	ma 'gags rol pa zhing khams rgya mtshor dus gsum gshegs pa rgyal ba'i sprin chen rnam bkod bzhin //	0	ma gag rol ba zhing khams rgya mtshor dus gsum gshegs ba rgyal ba sprin chen rnam bkod bzhin 
BO_NK133_(po)003:7	mi mjed 'di na mtshan dpe'i gser ri nyin byed 'bum gyi 'od zer d+r+wa bas mdzes 'bar ba //	0	mi mjed di na mtshan dpe gser ri nyin byed bum gyi d zer d+r+wa ba mdzes bar ba 
BO_NK133_(po)003:8	ston mchog mnyam med sh+aakya'i rgyal por rab tu 'dud do rnam kun shis pa'i snang ba rtsol /	0	ston mchog mnyam med sh+aakya rgyal por rab tu dud do rnam kun shis ba snang ba rtsol 
BO_NK133_(po)003:9	2 / bya ba lam gyi bden pas bsdus pa 'dul ba mdo sde chos mngon rig 'dzin sde snod bcas //	0	byed ba lam gyi bden ba sdud ba dul ba mdo sde chos mngon rig dzin sde snod cha 
BO_NK133_(po)003:10	'bras bu 'gog bden rab dga' nas bzung sa mchog ye shes bla ma'i bar //	1	bras bu gog bden rab dga nas bzung sa mchog ye shes bla ma ba 
