segmentnr	original	folio	stemmed
BO_T02_D1320a:247a-0	@247a # // rgya gar skad du /	247a	rgya gar skad du 
BO_T02_D1320a:247a-1	tra yod sha a'atma ku ru kul+le s'a dha nam /	247a	tra yod sha aatma ku ru kul+le sa dha nam 
BO_T02_D1320a:247a-2	bod skad du /	247a	bod skad du 
BO_T02_D1320a:247a-3	myur mdzad ma'i sgrub thabs bcu gsum pa'i bdag nyid /	247a	myur mdzad ma sgrub thabs chu gsum ba bdag nyid 
BO_T02_D1320a:247a-4	lha mo ku ru kulle la phyag 'tshal lo //	247a	lha mo ku ru kulle la phyag tshal lo 
BO_T02_D1320a:247a-5	ku ru kul+le'i rtog pa bshad par bya ste /	247a	ku ru kul+le rtogs ba chad ba byed ste 
BO_T02_D1320a:247a-6	re zhig dang por sngon du bsnyen pa 'bum bzlas brjod byas na /	247a	re jig dang por sngon du snyen ba bum bzlas rjod byed na 
BO_T02_D1320a:247a-7	de nas dngos grub tu 'gyur ro //	247a	de nas dngos grub tu gyur ro 
BO_T02_D1320a:247a-8	bris sku'i cho ga rab tu bstan par bya ste /	247a	bri sku cho ga rab tu ston ba byed ste 
BO_T02_D1320a:247a-9	gru bzhi pa sgo bzhi pa tva ra na bzhis brgyan pa /	247a	gru bzhi ba sgo bzhi ba tva ra na bzhis rgyan ba 
BO_T02_D1320a:247a-10	de'i dbus su ku ru kul+le dri bar bya ste /	247a	de dbus su ku ru kul+le dri ba byed ste 
BO_T02_D1320a:247a-11	sku mdog dmar po phyag brgyad pa /	247a	sku mdog dmar po phyag brgyad ba 
BO_T02_D1320a:247a-12	dang po'i phyag gnyis kyis khams gsum rnam par rgyal ba'i phyag rgya bcings pa /	247a	dang po phyag gnyis kyis khams gsum rnam ba rgyal ba phyag rgya ching ba 
BO_T02_D1320a:247a-13	g-yas kyi phyag na lcags kyu dang / mda' 'gengs pa dang / mchog sbyin mdzad pa dang / g-yon pa'i phyag na zhags pa dang / gzhu dang / autpala bsnams pa bri /	247a	g-yas kyi phyag na lcags kyu dang mda gengs ba dang mchog sbyin mdzad ba dang g-yon ba phyag na zhags ba dang gzhu dang autpala snom ba bri 
BO_T02_D1320a:247a-14	shar du zhu ba'i sgrol ma bri /	247a	char du ju ba sgrol ma bri 
BO_T02_D1320a:247a-15	lhor grub pa'i sgrol ma bri /	247a	lhor grub ba sgrol ma bri 
BO_T02_D1320a:247a-16	byang du snyan sgrol ma bri /	247a	byang du snyan sgrol ma bri 
BO_T02_D1320a:247b-0	me'i phyogs su gzhan gyis mi thub pa'i sgrol @247b ma /	247b	me phyogs su gzhan gyis mi thub ba sgrol ma 
BO_T02_D1320a:247b-1	srin po'i phyogs su rab tu snang ba'i sgrol ma /	247b	srin po phyogs su rab tu snang ba sgrol ma 
BO_T02_D1320a:247b-2	rlung gi phyogs su dpa' bo'i sgrol ma /	247b	rlung gi phyogs su dpa bo sgrol ma 
BO_T02_D1320a:247b-3	dbang ldan gyi phyogs su skul byed ma bri'o //	247b	dbang ldan gyi phyogs su skul byed ma bri 
BO_T02_D1320a:247b-4	lha ma 'di rnams ni sku mdog dmar po /	247b	lha ma di rnams ni sku mdog dmar po 
BO_T02_D1320a:247b-5	de bzhin gshegs pa lngas dbu brgyan pa /	247b	de bzhin gshegs ba lngas dbu rgyan ba 
BO_T02_D1320a:247b-6	rgyan thams cad kyis brgyan pa phyag bzhi pa /	247b	rgyan thams cad kyis rgyan ba phyag bzhi ba 
BO_T02_D1320a:247b-7	g-yas pa'i phyag mchog sbyin pa dang mda' 'gengs pa /	247b	g-yas ba phyag mchog sbyin ba dang mda gengs ba 
BO_T02_D1320a:247b-8	g-yon pa'i phyag na autpala dang gzhu 'dzin pa'o //	247b	g-yon ba phyag na autpala dang gzhu dzin ba 
BO_T02_D1320a:247b-9	shar phyogs kyi sgor rdo rje ro langs ma gsus khyim che ba 'jigs pa'i zhal lce 'jib pa /	247b	char phyogs kyi sgor rdo rje ro ldang ma gsus khyim che ba jigs ba zhal lce jib ba 
BO_T02_D1320a:247b-10	mi bskyod pas dbu brgyan pa /	247b	mi skyod ba dbu rgyan ba 
BO_T02_D1320a:247b-11	phyag g-yas na sdigs mdzub dang lcags kyu dang / g-yon na rdo rje dril bu dang thod pa bsnams pa /	247b	phyag g-yas na sdigs mdzub dang lcags kyu dang g-yon na rdo rje dril bu dang thod ba snom ba 
BO_T02_D1320a:247b-12	zhabs g-yas brkyang bar bri'o //	247b	zhabs g-yas rkyong ba bri 
BO_T02_D1320a:247b-13	lho phyogs kyi sgor rdo rje phag mo gsus khyim che ba /	247b	lho phyogs kyi sgor rdo rje phag mo gsus khyim che ba 
BO_T02_D1320a:247b-14	skra gyen du brdzes pa'i 'jigs pa'i zhal lce 'jib pa /	247b	skra gyen du brdzes ba jigs ba zhal lce jib ba 
BO_T02_D1320a:247b-15	sku mdog dmar po rin chen 'byung ldan gyis dbu brgyan pa /	247b	sku mdog dmar po rin chen byung ldan gyis dbu rgyan ba 
BO_T02_D1320a:247b-16	phyag g-yas na rdo rje dang lcags kyu /	247b	phyag g-yas na rdo rje dang lcags kyu 
BO_T02_D1320a:247b-17	g-yon dril bu dang zhags pa /	247b	g-yon dril bu dang zhags ba 
BO_T02_D1320a:247b-18	zhabs g-yas brkyang ba'o //	247b	zhabs g-yas rkyong ba 
BO_T02_D1320a:247b-19	nub phyogs kyi sgor ral gcig ma skra thor tshugs su bcings pa /	247b	nub phyogs kyi sgor ral gcig ma skra thor tshugs su ching ba 
BO_T02_D1320a:247b-20	gsum khyim che ba /	247b	gsum khyim che ba 
BO_T02_D1320a:247b-21	ma mchu tshems kyis mnan pa /	247b	ma mchu tshems kyis gnon ba 
BO_T02_D1320a:247b-22	snang ba mtha' yas kyis dbu brgyan pa /	247b	snang ba mtha yas kyis dbu rgyan ba 
BO_T02_D1320a:247b-23	phyag g-yas na rdo rje dang lcags kyu /	247b	phyag g-yas na rdo rje dang lcags kyu 
BO_T02_D1320a:247b-24	g-yon na rdo rje dang dril bu dang zhags pa bsnams pa /	247b	g-yon na rdo rje dang dril bu dang zhags ba snom ba 
BO_T02_D1320a:247b-25	zhabs g-yas brkyang ba bri'o //	247b	zhabs g-yas rkyong ba bri 
BO_T02_D1320a:247b-26	byang phyogs kyi sgor rdo rje dbyangs len ma /	247b	byang phyogs kyi sgor rdo rje dbyangs len ma 
BO_T02_D1320a:247b-27	don yod grub pas dbu brgyan pa /	247b	don yod grub ba dbu rgyan ba 
BO_T02_D1320a:247b-28	zhal 'jigs pa gsus khyim che ba /	247b	zhal jigs ba gsus khyim che ba 
BO_T02_D1320a:247b-29	phyag g-yas na ral gri dang lcags kyu /	247b	phyag g-yas na ral gri dang lcags kyu 
