segmentnr	original	folio	stemmed
BO_T02_D1492:204b-0	@204b # // rgya gar skad du /	204b	rgya gar skad du 
BO_T02_D1492:204b-1	shr'i bha ga wa ti aa bhi sa ma ya n'a ma /	204b	shr bha ga wa ti aa bhi sa ma ya na ma 
BO_T02_D1492:204b-2	bod skad du /	204b	bod skad du 
BO_T02_D1492:204b-3	dpal bcom ldan 'das kyi mngon par rtogs pa zhes bya ba /	204b	dpal joms ldan da kyi mngon ba rtogs ba zhes byed ba 
BO_T02_D1492:204b-4	dpal rdo rje sems dpa' la phyag 'tshal lo /	204b	dpal rdo rje sems dpa la phyag tshal lo 
BO_T02_D1492:204b-5	dang po kho nar rnal 'byor pa'i dbang phyug gis tshangs pa'i gnas bzhi bsgom par bya'o //	204b	dang po kho nar rnal byor ba dbang phyug gis tshangs ba gnas bzhi bsgom ba byed 
BO_T02_D1492:204b-6	de nas phung po lnga'i brgyal bskyed par bya ste /	204b	de nas phung po lnga brgyal skyed ba byed ste 
BO_T02_D1492:204b-7	gzugs kyi phung po ni rnam par snang mdzad do //	204b	gzugs kyi phung po ni rnam ba snang mdzad do 
BO_T02_D1492:204b-8	tshor ba'i phung bo ni rin chen 'byung ldan no //	204b	tshor ba phung bo ni rin chen byung ldan no 
BO_T02_D1492:204b-9	'du shes kyi bung pa ni snang ba mtha' yas so //	204b	du shes kyi bung ba ni snang ba mtha yas so 
BO_T02_D1492:204b-10	'du byed kyi phung po ni don yod grub pa'o //	204b	du byed kyi phung po ni don yod grub ba 
BO_T02_D1492:204b-11	rnam par shes pa'i phung po ni rdo rje sems dpa'o //	204b	rnam ba shes ba phung po ni rdo rje sems dpa 
BO_T02_D1492:204b-12	de dag thams cad kyi bdag nyid du gyur pa ni dpal he ru ka'o //	204b	de dag thams cad kyi bdag nyid du gyur ba ni dpal he ru ka 
BO_T02_D1492:204b-13	mig gnyis la ni sa'i snying bo'o //	204b	mig gnyis la ni sa snying bo 
BO_T02_D1492:205a-0	rna ba gnyis la ni phyag na @205a * //	205a	rna ba gnyis la ni phyag na 
BO_T02_D1492:205a-1	rdo rje'o // sna la ni nam mkha'i snying po'o //	205a	rdo rje sna la ni nam mkha snying po 
BO_T02_D1492:205a-2	kha la ni spyan ras gzigs so //	205a	kha la ni spyan ras gzigs so 
BO_T02_D1492:205a-3	lus la ni sgrib pa tham cad rnam par sel ba'o //	205a	lus la ni sgrib ba tham cad rnam ba sel ba 
BO_T02_D1492:205a-4	skye mched thams cad la ni dbang phyug rdo rje'o //	205a	skye mched thams cad la ni dbang phyug rdo rje 
BO_T02_D1492:205a-5	sa'i khams ni sangs rgyas spyan no //	205a	sa khams ni sangs rgya spyan no 
BO_T02_D1492:205a-6	chu'i khams ni m'a ma k'i'o //	205a	chu khams ni ma ma k 
BO_T02_D1492:205a-7	me'i khams ni gos dkar mo 'o //	205a	me khams ni gos dkar mo mang 
BO_T02_D1492:205a-8	rlung gi khams ni dam tshig sgrol ma'o //	205a	rlung gi khams ni dam tshig sgrol ma 
BO_T02_D1492:205a-9	nam mkha'i khams ni padma'i dra ba can no //	205a	nam mkha khams ni padma dra ba can no 
BO_T02_D1492:205a-10	de dag ni phung po dang khams dang skye mched rnams lha'i rnam par dag pa'o //	205a	de dag ni phung po dang khams dang skye mched rnams lha rnam ba dag ba 
BO_T02_D1492:205a-11	de nas rang he ru ka ra bskyed pa'i snying ga'i h'um las 'od 'phros ta khams gsum pa'i bgegs bskrad /	205a	de nas rang he ru ka ra skyed ba snying ga hum las d phro ta khams gsum ba bgegs skrod 
BO_T02_D1492:205a-12	de nas 'od de tshur 'dus pa las /	205a	de nas d de tshur du ba las 
BO_T02_D1492:205a-13	bdag nyid khams gsum rnam par rgyal ba zhal gsum phyag drug pa bskyed par byas te /	205a	bdag nyid khams gsum rnam ba rgyal ba zhal gsum phyag drug ba skyed ba byed te 
BO_T02_D1492:205a-14	khams gsum rnam rgyal gyi zhal nas /	205a	khams gsum rnam rgyal gyi zhal nas 
BO_T02_D1492:205a-15	aom sumbha ni sumbha h'um h'um phat /	205a	aom sumbha ni sumbha hum hum phat 
BO_T02_D1492:205a-16	aom grihna grihna h'um h'um phat /	205a	aom grihna grihna hum hum phat 
BO_T02_D1492:205a-17	aom grihn'a pa ya grihn'a pa ya h'um h'um phat /	205a	aom grihna ba ya grihna ba ya hum hum phat 
BO_T02_D1492:205a-18	aom a'a na ya ho: bha ga w'a na bidy'a r'a dza h'um h'um phat /	205a	aom aa na ya ho: bha ga wa na bidya ra dza hum hum phat 
BO_T02_D1492:205a-19	ces pa'i sngags shar phyogs la sogs par dgod par bya'o //	205a	ces ba sngags char phyogs la sogs ba god ba byed 
BO_T02_D1492:205a-20	yig 'bru gyur pa las rdo rje'i gur dang / dra ba dang / bla re dang / mda'i dra ba dang / me'i rab dang / rdo rje'i gzhi bsam par bya'o //	205a	yig bru gyur ba las rdo rje gur dang dra ba dang bla re dang mda dra ba dang me rab dang rdo rje gzhi bsam ba byed 
BO_T02_D1492:205a-21	de ltar khro bo rnam par rgyal bas mtshams gcad par bya'o //	205a	de ltar khro bo rnam ba rgyal ba mtshams gcod ba byed 
BO_T02_D1492:205a-22	gnod mdzes kyi phyag rgyas dgug pa dang / bdud rtsi 'khyil pa'i phyag rgyas brdung bar bya'o //	205a	gnod mdzes kyi phyag rgya gugs ba dang bdud rtsi khyil ba phyag rgya rdung ba byed 
BO_T02_D1492:205a-23	aom gha gha gh'a ta ya gh'a ta ya /	205a	aom gha gha gha ta ya gha ta ya 
BO_T02_D1492:205a-24	sarbba du sht'a ni h'um phat /	205a	sarbba du shta ni hum phat 
BO_T02_D1492:205a-25	k'i la ya k'i la ya sarbba p'a pam h'um h'um phat /	205a	k la ya k la ya sarbba pa pam hum hum phat 
BO_T02_D1492:205a-26	h'um h'um h'um badzra k'i la badzra dha ra a'a dzny'a ba ya ti /	205a	hum hum hum badzra k la badzra dha ra aa dznya ba ya ti 
BO_T02_D1492:205a-27	sarba bi ghn'am k'a ya w'a ka tsi tta badzra k'i la ya h'um h'um phat /	205a	sarba bi ghn ka ya wa ka tsi tta badzra k la ya hum hum phat 
BO_T02_D1492:205a-28	phur bu gdab ba'i sngags so //	205a	phur bu gdab ba sngags so 
BO_T02_D1492:205a-29	aom badzra mu dha ra badzra k'i la ya aa ko ta ya h'um phat /	205a	aom badzra mu dha ra badzra k la ya aa ko ta ya hum phat 
BO_T02_D1492:205a-30	phur bu brdung ba'i sngags so //	205a	phur bu rdung ba sngags so 
BO_T02_D1492:205a-31	de nas rang gi snying gar zla ba'i steng gi h'um gi 'od zer gyis bla ma la sogs pa spyan drangs la 'od du zhu ba las bde mchog gi lha'i bdag nyid du bsams la mchod pa dang bstod pa byas la /	205a	de nas rang gi snying gar zla ba steng gi hum gi d zer gyis bla ma la sogs ba spyan drangs la d du ju ba las bde mchog gi lha bdag nyid du bsams la mchod ba dang bstod ba byed la 
BO_T02_D1492:205a-32	skyabs su 'gro ba dang sems bskyed par bya'o //	205a	skyob su gro ba dang sems skyed ba byed 
BO_T02_D1492:205a-33	de nas aom sh'u n+ya t'a dzny'a na badzra sra bh'a wa a'atma ko nya ha:/	205a	de nas aom shu n+ya ta dznya na badzra sra bha wa aatma ko nya 
BO_T02_D1492:205a-34	zhes brjod pas phyi nang bsdus pa'i chos tham cad snang ba med pa /	205a	zhes rjod ba phyi nang sdud ba chos tham cad snang ba med ba 
BO_T02_D1492:205a-35	snang ba rnams par dag pa nam mkha' rnam par dag pa lta bu'i ngang la gzhag par bya'o //	205a	snang ba rnams ba dag ba nam mkha rnam ba dag ba lta bu ngang la jog ba byed 
BO_T02_D1492:205b-0	'o dags la de'i ngang las yam yongs @205b su gyur pa las rlung gi dkyil 'khor gzhu lta bu kha dog sngon po'o //	205b	mang dags la de ngang las yam yongs su gyur ba las rlung gi dkyil khor gzhu lta bu kha dog sngon po 
BO_T02_D1492:205b-1	de'i steng du ram yongs su gyur pa las me'i dkyil 'khor gru gsum pa kha dog dmar po /	205b	de steng du ram yongs su gyur ba las me dkyil khor gru gsum ba kha dog dmar po 
BO_T02_D1492:205b-2	de'i steng du bam yongs su gyur pa las chu'i dkyil 'khor zlum po kha dog dkar po 'o //	205b	de steng du bam yongs su gyur ba las chu dkyil khor zlum po kha dog dkar po mang 
BO_T02_D1492:205b-3	de'i steng du lam yongs su gyur pa las sa'i dkyil 'khor gru bzhi pa la kha dog ser po'o //	205b	de steng du lam yongs su gyur ba las sa dkyil khor gru bzhi ba la kha dog ser po 
BO_T02_D1492:205b-4	de'i steng du sum yongs su gyur pa las ri rab zur bzhi pa /	205b	de steng du sum yongs su gyur ba las ri rab zur bzhi ba 
