segmentnr	original	folio	stemmed
BO_T02_D2008b:218a-0	@218a # // rgya gar skad du /	218a	rgya gar skad du 
BO_T02_D2008b:218a-1	shr'i badzra bhee ra ba stu ti /	218a	shr badzra bhee ra ba stu ti 
BO_T02_D2008b:218a-2	bod skad du /	218a	bod skad du 
BO_T02_D2008b:218a-3	dpal rdo rje 'jigs byed kyi bstod ga dpal rdo rje 'jigs byed la phyag 'tshal lo //	218a	dpal rdo rje jigs byed kyi bstod ga dpal rdo rje jigs byed la phyag tshal lo 
BO_T02_D2008b:218a-4	h'um 'jam dpal mkha' las byung ba'i gser mdog can //	218a	hum jam dpal mkha las byung ba gser mdog can 
BO_T02_D2008b:218a-5	'jam dpal thugs la chos kun rang bzhin gsal //	218a	jam dpal thugs la chos kun rang bzhin gsal 
BO_T02_D2008b:218a-6	'jam dpal gsung gi dbang phyug 'jam dpal dbyangs //	218a	jam dpal gsung gi dbang phyug jam dpal dbyangs 
BO_T02_D2008b:218a-7	'jam dpal bdag ni re ba'i sems kyis 'dud //	218a	jam dpal bdag ni re ba sems kyis dud 
BO_T02_D2008b:218a-8	thugs mchog 'jam pa'i ngang las ma g-yos kyang //	218a	thugs mchog jam ba ngang las ma g-yos kyang 
BO_T02_D2008b:218a-9	thugs rjes gdug pa 'dul phyir gshin rje'i gshed //	218a	thugs rjes gdug ba dul phyir gshin rje gshed 
BO_T02_D2008b:218a-10	'jigs byed chen po 'jigs pa'i char bstan nas //	218a	jigs byed chen po jigs ba char ston nas 
BO_T02_D2008b:218a-11	mi bzad dus mtha'i bskal pa'i me ltar 'bar //	218a	mi bzad dus mtha bskal ba me ltar bar 
BO_T02_D2008b:218a-12	zhal gdangs khro gnyer smin ma glog ltar 'gyur //	218a	zhal gdang khro gnyer smin ma glog ltar gyur 
BO_T02_D2008b:218a-13	spyan bgrad mche ba gtsigs shing rab tu 'bar //	218a	spyan bgrad mche ba gtsigs shing rab tu bar 
