segmentnr	original	stemmed
BO_T02_D2682a:193a-0	@193a # // rgya gar skad du /	rgya gar skad du 
BO_T02_D2682a:193a-1	a'arya badzra bi d'a ra na n'a ma dh'a ra n'i by'a khy'a na britti t'i k'a /	aarya badzra bi da ra na na ma dha ra n bya khya na britti t ka 
BO_T02_D2682a:193a-2	bod skad du /	bod skad du 
BO_T02_D2682a:193a-3	'phags pa rdo rje rnam par 'joms pa'i gzungs rnam par bshad pa'i rgya cher 'grel pa /	phag ba rdo rje rnam ba joms ba gzungs rnam ba chad ba rgya cher grel ba 
BO_T02_D2682a:193a-4	'jam dpal gzhon nur gyur pa la phyag 'tshal lo //	jam dpal gzhon nur gyur ba la phyag tshal lo 
BO_T02_D2682a:193b-0	gnyis ka rgyud @193b kyi man ngag snying po'i don //	gnyis ka brgyud kyi man ngag snying po don 
BO_T02_D2682a:193b-1	rnam par bshad pa'i don 'di gsal ba'i phyir //	rnam ba chad ba don di gsal ba phyir 
BO_T02_D2682a:193b-2	'gro don rnam par mdzad la phyag 'tshal te //	gro don rnam ba mdzad la phyag tshal te 
BO_T02_D2682a:193b-3	'di yi rnam bshad 'grel pa bya bar 'dod //	di yi rnam chad grel ba byed ba dod 
BO_T02_D2682a:193b-4	'di don gleng gzhi sgrub thabs bshad pa rnams //	di don gleng gzhi sgrub thabs chad ba rnams 
BO_T02_D2682a:193b-5	ston pa'i rang bzhin 'dul dbang bstan pa ste //	ston ba rang bzhin dul dbang ston ba ste 
BO_T02_D2682a:193b-6	mdor bsdus dkyil 'khor sgrub thabs khyad par dag / rab tu bsdus nas bstan pa'i dgos pa yin //	mdor sdud dkyil khor sgrub thabs khyad ba dag rab tu sdud nas ston ba dgos ba yin 
BO_T02_D2682a:193b-7	'di brtsam par bya ba'i don bshad par dam bca' ba bstan pa ni //	di brtsam ba byed ba don chad ba dam chos ba ston ba ni 
BO_T02_D2682a:193b-8	rgyal ba kun gyi gsang ba'i mdzod 'dzin pa //	rgyal ba kun gyi gsang ba mdzod dzin ba 
BO_T02_D2682a:193b-9	rgyud kyi don byung ston pa'i ngo bo la //	brgyud kyi don byung ston ba ngo bo la 
BO_T02_D2682a:193b-10	sgo gsum dang bas btud te phyag 'tshal te /	sgo gsum dang ba dud te phyag tshal te 
BO_T02_D2682a:193b-11	mdo yi rnam bshad bdag gis bya bar 'dod //	mdo yi rnam chad bdag gis byed ba dod 
BO_T02_D2682a:193b-12	ces smos pa ni thugs kyi rgyud 'di gsungs pa'i ston pa de la brtsams pa mthar phyin par bya ba'i phyir phyag 'tshal zhing bstod nas bshad par dam bca' bar bya ba'i phyir smos pa don dgrol pa'i man ngag bstan pa'o //	ces smos ba ni thugs kyi brgyud di gsungs ba ston ba de la brtsams ba mthar phyin ba byed ba phyir phyag tshal zhing bstod nas chad ba dam chos ba byed ba phyir smos ba don grol ba man ngag ston ba 
BO_T02_D2682a:193b-13	gong 'og gi mtshams sbyar ba ni //	gong g gi mtshams sbyor ba ni 
BO_T02_D2682a:193b-14	de la dang por rgyud kyi don la mos pa dang zhes pa dang / go rims la 'jug pa'i phyir ro zhes pas ni las dang po pa rdo rje rnam par 'joms pa la rab tu mos pa rnams la rigs pas phun sum tshogs pa lnga dang /	de la dang por brgyud kyi don la mos ba dang zhes ba dang go rims la jug ba phyir ro zhes ba ni las dang po ba rdo rje rnam ba joms ba la rab tu mos ba rnams la rigs ba phun sum tshogs ba lnga dang 
BO_T02_D2682a:193b-15	ston pa'i rang bzhin dkyil 'khor dang ; / sgrub thabs su bstan pa'i thabs kyi don gyi go rims kyi khyad par shes nas sgrub pa'i phyir smos so //	ston ba rang bzhin dkyil khor dang sgrub thabs su ston ba thabs kyi don gyi go rims kyi khyad ba shes nas sgrub ba phyir smos so 
BO_T02_D2682a:193b-16	gang yin pa bstan pa'i dgongs pa ni //	gang yin ba ston ba dgongs ba ni 
BO_T02_D2682a:193b-17	de la dang por mdo'i mtshan gyi don zhes pa ni dbang po rab mgo smos pas go ba'i dbang du bstan to //	de la dang por mdo mtshan gyi don zhes ba ni dbang po rab mgo smos ba go ba dbang du ston to 
BO_T02_D2682a:193b-18	de la rdo rje ni yang dag pa'i ye shes kyi tshig bla dags te zhes pa dang / dngos po dang bral pa'i don to zhes pa'i bar ni don las mtshan du btags pas na chos nyid rtogs pa ni ye shes te /	de la rdo rje ni yang dag ba ye shes kyi tshig bla dags te zhes ba dang dngos po dang bral ba don to zhes ba ba ni don las mtshan du dogs ba na chos nyid rtogs ba ni ye shes te 
BO_T02_D2682a:193b-19	ye shes kyi tshig bla dags su rdo rje bstan la /	ye shes kyi tshig bla dags su rdo rje ston la 
BO_T02_D2682a:193b-20	des phyi rol gyi mu stegs dang / nyan thos rnams skyon du bstan nas mtha' dang bral ba'i rtags so //	des phyi rol gyi mu stegs dang nyan thos rnams skyon du ston nas mtha dang bral ba rtags so 
BO_T02_D2682a:193b-21	de ni mi mthun pa'i rnam par ni rgyu med pa dang smos pa'i phyir ro zhes pa'i bar gyis bstan te /	de ni mi mthun ba rnam ba ni rgyu med ba dang smos ba phyir ro zhes ba ba gyis ston te 
BO_T02_D2682a:194a-0	mu stegs rgyu med pa dang / dbang phyug chen po rgyu dang rkyen gyis bskyed pa dang / mu stegs rtag par lta ba dang / nyan thos kyis mi rtag par lta ba dang / @194a * //	mu stegs rgyu med ba dang dbang phyug chen po rgyu dang rkyen gyis skyed ba dang mu stegs rtag ba lta ba dang nyan thos kyis mi rtag ba lta ba dang 
