segmentnr	original	folio	stemmed
BO_T11_D4267-1:242b-27	bzlog par zhes bya ba ni gzhan nyid du'o //	242b	bzlog ba zhes byed ba ni gzhan nyid du 
BO_T11_D4267-1:243a-0	gal te zhes bya ba la sogs @243a * //	243a	gal te zhes byed ba la sogs 
BO_T11_D4267-1:243a-1	pas len 'debs par byed pa yin te /	243a	ba len debs ba byed ba yin te 
BO_T11_D4267-1:243a-2	ngo shes pa'i yul da lta'i dus su yod pa nyid gang yin pa de ci mngon sum snga mas bzung ba'i yod pa nyid las tha dad dam /	243a	ngo shes ba yul da lta dus su yod ba nyid gang yin ba de ci mngon sum snga mas bzung ba yod ba nyid las tha dad dam 
BO_T11_D4267-1:243a-3	'on te nge nyid yin /	243a	n te nge nyid yin 
BO_T11_D4267-1:243a-4	gal te tha dad na de'i tshe rang gi tshig nyid kyis tha dad du bstan pa'i phyir khyed cag gis khas blangs pa nyams par 'gyur la /	243a	gal te tha dad na de tshe rang gi tshig nyid kyis tha dad du ston ba phyir khyed cag gis khas blangs ba nyams ba gyur la 
BO_T11_D4267-1:243a-5	kho bo cag gi ni 'dod pa grub pa yin no //	243a	kho bo cag gi ni dod ba grub ba yin no 
BO_T11_D4267-1:243a-6	'on te gzhan ma yin no zhes bya ba'i phyogs yin na de'i tshe gang gis snga ma'i blo yis rtogs pa yin zhes brjod pa de ji ltar blo snga mas mi rtogs /	243a	n te gzhan ma yin no zhes byed ba phyogs yin na de tshe gang gis snga ma blo yis rtogs ba yin zhes rjod ba de ji ltar blo snga mas mi rtogs 
BO_T11_D4267-1:243a-7	'di snyam du gal te sgra la sogs pa las skad cig ma nyid tha mi dad pa yin na yang de bzung na ma bzung bar brjod pa de bzhin du 'di yang 'gyur ro snyam du sems na /	243a	di snyam du gal te sgra la sogs ba las skad cig ma nyid tha mi dad ba yin na yang de bzung na ma bzung ba rjod ba de bzhin du di yang gyur ro snyam du sems na 
BO_T11_D4267-1:243a-8	de ni mi rigs te /	243a	de ni mi rigs te 
BO_T11_D4267-1:243a-9	chos can sgra bzung na yang de las tha mi dad pa'i skad cig ma nyid ma bzung ngo zhes rnam par gzhag par ni mi bya'o //	243a	chos can sgra bzung na yang de las tha mi dad ba skad cig ma nyid ma bzung ngo zhes rnam ba jog ba ni mi byed 
BO_T11_D4267-1:243a-10	'on kyang de bzung du zin kyang nges pa skye ba'i rgyu med pa'i phyir ma nges so zhes brjod par bya'o //	243a	n kyang de bzung du zin kyang nges ba skye ba rgyu med ba phyir ma nges so zhes rjod ba byed 
BO_T11_D4267-1:243a-11	nyams su myong ba nyid tsam las nges par 'gyur ba ni ma yin te /	243a	nyams su myong ba nyid tsam las nges ba gyur ba ni ma yin te 
BO_T11_D4267-1:243a-12	de ni don du ga nyer ba dang goms pa dang drin du gzo ba la sogs pa la ltos pa'i phyir ro //	243a	de ni don du ga nyer ba dang goms ba dang drin du gzo ba la sogs ba la ltos ba phyir ro 
BO_T11_D4267-1:243a-13	khyed la ni de lta bu srid pa ma yin te /	243a	khyed la ni de lta bu srid ba ma yin te 
BO_T11_D4267-1:243a-14	mngon sum snga ma yang nges pa'i bdag nyid yin pa'i phyir te /	243a	mngon sum snga ma yang nges ba bdag nyid yin ba phyir te 
BO_T11_D4267-1:243a-15	des kyang dngos po'i rang gi ngo bo nges pa na de las tha mi dad pa'i da lta'i dus su yod pa nyid kyang nges pa nyid yin no //	243a	des kyang dngos po rang gi ngo bo nges ba na de las tha mi dad ba da lta dus su yod ba nyid kyang nges ba nyid yin no 
BO_T11_D4267-1:243a-16	de ma nges na dngos po'i rang gi ngo bo yang de bzhin du ma nges pa'i ngo bo las tha mi dad pa'i phyir ma nges pa nyid du tha la bar 'gyur ro //	243a	de ma nges na dngos po rang gi ngo bo yang de bzhin du ma nges ba ngo bo las tha mi dad ba phyir ma nges ba nyid du tha la ba gyur ro 
BO_T11_D4267-1:243a-17	gang yang the tshom za ba'i dngos po yod pa na gtan la phab pa'i rgyu mtshan gyi ngo shes pa tshad ma nyid yin no zhes zer ba de yang 'di nyid kyis bsal ba yin no //	243a	gang yang the tshom za ba dngos po yod ba na gtan la bebs ba rgyu mtshan gyi ngo shes ba tshad ma nyid yin no zhes zer ba de yang di nyid kyis bsal ba yin no 
BO_T11_D4267-1:243a-18	'di la the tshom za ba'i dngos po yod pa na gtan la phab pa yod pa yang ma yin te /	243a	di la the tshom za ba dngos po yod ba na gtan la bebs ba yod ba yang ma yin te 
BO_T11_D4267-1:243a-19	'dra ba gzhan dang gzhan skye ba na yang sgra la sogs pa bzhin du ngo shes pa mthong ba ni the tshom mi za ba'i phyir ro //	243a	dra ba gzhan dang gzhan skye ba na yang sgra la sogs ba bzhin du ngo shes ba mthong ba ni the tshom mi za ba phyir ro 
BO_T11_D4267-1:243a-20	gang yang / cig shos kyis ni don rtogs pa'ang //	243a	gang yang cig shos kyis ni don rtogs ba 
BO_T11_D4267-1:243a-21	zhes bya ba la sogs pa smras pa de la /	243a	zhes byed ba la sogs ba smras ba de la 
BO_T11_D4267-1:243a-22	rjes su dpag pa la sogs zhes bya ba la sogs pa smos te /	243a	rjes su dpog ba la sogs zhes byed ba la sogs ba smos te 
BO_T11_D4267-1:243a-23	de'i bu yin pa'i phyir zhes bya ba la sogs pa rjes su dpag pa la sogs pa gang gi spyod yul te /	243a	de bu yin ba phyir zhes byed ba la sogs ba rjes su dpog ba la sogs ba gang gi spyod yul te 
BO_T11_D4267-1:243a-24	yul la mngon sum gyis gnod pa srid pa yin na /	243a	yul la mngon sum gyis gnod ba srid ba yin na 
BO_T11_D4267-1:243a-25	de tshad ma nyid ma yin te /	243a	de tshad ma nyid ma yin te 
BO_T11_D4267-1:243b-0	@243b gnod bzhin du yul yin pa nyid kyis don la mi slu ba med pa'i phyir rab rib can la sogs pa'i shes pa bzhin no //	243b	gnod bzhin du yul yin ba nyid kyis don la mi slu ba med ba phyir rab rib can la sogs ba shes ba bzhin no 
BO_T11_D4267-1:243b-1	nges na / cig shos kyis ni don rtogs la //	243b	nges na cig shos kyis ni don rtogs la 
BO_T11_D4267-1:243b-2	mngon sum gyis ni gzhan du 'gyur //	243b	mngon sum gyis ni gzhan du gyur 
BO_T11_D4267-1:243b-3	zhes gang smras pa de ni ma 'brel pa nyid de /	243b	zhes gang smras ba de ni ma brel ba nyid de 
BO_T11_D4267-1:243b-4	mi srid pa'i phyir ro //	243b	mi srid ba phyir ro 
BO_T11_D4267-1:243b-5	gang yang mngon sum thu bo nyid du brjod pa de yang 'brel pa med pa yin no zhes bstan pa'i phyir /	243b	gang yang mngon sum thu bo nyid du rjod ba de yang brel ba med ba yin no zhes ston ba phyir 
BO_T11_D4267-1:243b-6	don la mi slu zhes bya ba la sogs pa smos te /	243b	don la mi slu zhes byed ba la sogs ba smos te 
BO_T11_D4267-1:243b-7	tshad ma rnams kyi tshad ma nyid ni 'di nyid yin te /	243b	tshad ma rnams kyi tshad ma nyid ni di nyid yin te 
BO_T11_D4267-1:243b-8	don thob par nus pa'o //	243b	don thob ba nus ba 
BO_T11_D4267-1:243b-9	de yang tshad ma thams cad la khas blang bar bya ste /	243b	de yang tshad ma thams cad la khas blang ba byed ste 
BO_T11_D4267-1:243b-10	des na ci'i phyir mngon sum 'di thu bo nyid du 'gyur yang ci ste mngon sum kho na don la mi slu ba nyid yin gyi /	243b	des na ci phyir mngon sum di thu bo nyid du gyur yang ci ste mngon sum kho na don la mi slu ba nyid yin gyi 
BO_T11_D4267-1:243b-11	rjes su dpag pa la sogs pa ni ma yin no snyam na /	243b	rjes su dpog ba la sogs ba ni ma yin no snyam na 
BO_T11_D4267-1:243b-12	de yod min na zhes bya ba la sogs pa smos te /	243b	de yod min na zhes byed ba la sogs ba smos te 
BO_T11_D4267-1:243b-13	de'i don la mi slu ba nyid de med pa yin na /	243b	de don la mi slu ba nyid de med ba yin na 
BO_T11_D4267-1:243b-14	rjes su dpag pa la sogs pa tshad ma ma yin pa nyid du 'gyur te /	243b	rjes su dpog ba la sogs ba tshad ma ma yin ba nyid du gyur te 
