segmentnr	original	folio	stemmed
BO_T16_D4420b:351a-40	ka ri t'a si /	351a	ka ri ta si 
BO_T16_D4420b:351a-41	sogs sam / ka r'i t'a /	351a	sogs sam ka r ta 
BO_T16_D4420b:351a-42	ka r'i t'a si /	351a	ka r ta si 
BO_T16_D4420b:351a-43	sogs so // tang la /	351a	sogs so tang la 
BO_T16_D4420b:351a-44	ka ri t'a /	351a	ka ri ta 
BO_T16_D4420b:351a-45	ka ri t'a se /	351a	ka ri ta se 
BO_T16_D4420b:351a-46	sogs sam / ka r'i t'a /	351a	sogs sam ka r ta 
BO_T16_D4420b:351a-47	ka r'i t'a se /	351a	ka r ta se 
BO_T16_D4420b:351a-48	sogs so // smon pa'i ling gi aa tang la /	351a	sogs so smon ba ling gi aa tang la 
BO_T16_D4420b:351a-49	byings kyi r'ita kyi aita 'os /	351a	byings kyi rta kyi aita s 
BO_T16_D4420b:351a-50	ri aita / ri'i aan la ra pha rol los ra byin /	351a	ri aita ri aan la ra pha rol los ra byin 
BO_T16_D4420b:351a-51	au pa dh'a'i 'ang ngos ring por bsgyur bas /	351a	au ba dha mang ngos ring por sgyur ba 
BO_T16_D4420b:351a-52	k'ir++y'ata / k'ir++y'ast'am /	351a	kr++yata kr++yast 
BO_T16_D4420b:351a-53	k'i r++y'a su:/ sogs so //	351a	k r++ya sogs so 
BO_T16_D4420b:351a-54	tang la ait byin yon tan byas pas /	351a	tang la ait byin yon tan byed ba 
BO_T16_D4420b:351a-55	ka ri sh'ishta /	351a	ka ri shshta 
BO_T16_D4420b:351a-56	ka ri sh'i y'a st'am /	351a	ka ri sh ya st 
BO_T16_D4420b:351a-57	ka ri sh'i ran /	351a	ka ri sh ran 
BO_T16_D4420b:351a-58	sogs so // lrit la /	351a	sogs so lrit la 
BO_T16_D4420b:351a-59	pri r'ita las yang na 'os /	351a	pri rta las yang na s 
BO_T16_D4420b:351a-60	ait dang a'it yang na bar byas /	351a	ait dang at yang na ba byed 
BO_T16_D4420b:351a-61	yon tan byas pas /	351a	yon tan byed ba 
BO_T16_D4420b:351a-62	aa tang la /	351a	aa tang la 
BO_T16_D4420b:351a-63	ka ri shya ti /	351a	ka ri shya ti 
BO_T16_D4420b:351a-64	sogs sam / ka r'i shya ti /	351a	sogs sam ka r shya ti 
BO_T16_D4420b:351a-65	sogs so // tang la /	351a	sogs so tang la 
BO_T16_D4420b:351a-66	ka ri shya te /	351a	ka ri shya te 
BO_T16_D4420b:351a-67	sogs sam / ka r'i shya te /	351a	sogs sam ka r shya te 
BO_T16_D4420b:351a-68	sogs so // de bzhin du /	351a	sogs so de bzhin du 
BO_T16_D4420b:351a-69	lring gi aa tang la /	351a	lring gi aa tang la 
BO_T16_D4420b:351a-70	aa ka ri shya ta /	351a	aa ka ri shya ta 
BO_T16_D4420b:351a-71	sogs sam / aa ka r'i shya ta /	351a	sogs sam aa ka r shya ta 
BO_T16_D4420b:351a-72	sogs so // tang la /	351a	sogs so tang la 
BO_T16_D4420b:351a-73	aa ka ri shyata /	351a	aa ka ri shyata 
BO_T16_D4420b:351a-74	sogs sam / aa ka r'i shyata /	351a	sogs sam aa ka r shyata 
BO_T16_D4420b:351a-75	sogs so / ` / dh'unya 'gul ba la'o zhes pa la'ang aa tang dang tang gnyis ka sbyor te /	351a	sogs so dhunya gul ba la zhes ba la aa tang dang tang gnyis ka sbyor te 
BO_T16_D4420b:351a-76	p'u la sogs pa rnams kyi thung ngu 'os /	351a	pu la sogs ba rnams kyi thung ngu s 
BO_T16_D4420b:351a-77	thung ngur bsgyur bas /	351a	thung ngur sgyur ba 
BO_T16_D4420b:351a-78	lata'i aa tang la /	351a	lata aa tang la 
BO_T16_D4420b:351a-79	bhu n'a ti /	351a	bhu na ti 
BO_T16_D4420b:351a-80	sogs dang / tang la /	351a	sogs dang tang la 
BO_T16_D4420b:351b-0	@351b dhu n'i te /	351b	dhu n te 
BO_T16_D4420b:351b-1	sogs so // ling gi aa tang la /	351b	sogs so ling gi aa tang la 
BO_T16_D4420b:351b-2	dhu n'i y'at /	351b	dhu n yat 
BO_T16_D4420b:351b-3	sogs dang / tang la /	351b	sogs dang tang la 
BO_T16_D4420b:351b-4	dhu n'i ta /	351b	dhu n ta 
BO_T16_D4420b:351b-5	sogs so // lota'i aa tang la /	351b	sogs so lota aa tang la 
BO_T16_D4420b:351b-6	dhu n'a tu /	351b	dhu na tu 
BO_T16_D4420b:351b-7	sogs dang / tang la /	351b	sogs dang tang la 
BO_T16_D4420b:351b-8	dhu n'i t'am /	351b	dhu n t 
BO_T16_D4420b:351b-9	sogs so // lang gi aa tang la /	351b	sogs so lang gi aa tang la 
BO_T16_D4420b:351b-10	aa dhu na ta /	351b	aa dhu na ta 
BO_T16_D4420b:351b-11	sogs dang / tang la /	351b	sogs dang tang la 
BO_T16_D4420b:351b-12	aa dhu n'i ta /	351b	aa dhu n ta 
BO_T16_D4420b:351b-13	sogs so // lung la ;	351b	sogs so lung la 
BO_T16_D4420b:351b-14	a'uta 'gro ba sogs kyis ait yang na bar byed /	351b	auta gro ba sogs kyis ait yang na ba byed 
BO_T16_D4420b:351b-15	aa tang la 'phel ba byas pas /	351b	aa tang la phel ba byed ba 
BO_T16_D4420b:351b-16	aita'i phyogs la /	351b	aita phyogs la 
BO_T16_D4420b:351b-17	aa dh'a b'ita /	351b	aa dha bta 
BO_T16_D4420b:351b-18	aa dh'a bisht'am /	351b	aa dha bisht 
BO_T16_D4420b:351b-19	aa dh'a bi shu:/	351b	aa dha bi 
BO_T16_D4420b:351b-20	sogs dang / ait med pa'i phyogs kyi skyes bu dang po gsum la /	351b	sogs dang ait med ba phyogs kyi skye bu dang po gsum la 
BO_T16_D4420b:351b-21	aa dhoo sh'i ta /	351b	aa dhoo sh ta 
BO_T16_D4420b:351b-22	aa dhoo sht'am /	351b	aa dhoo sht 
BO_T16_D4420b:351b-23	aa dhoo shu:/ skyes bu dbus ma gsum la /	351b	aa dhoo skye bu dbus ma gsum la 
BO_T16_D4420b:351b-24	aa dhoo sh'i:/ aa dhoo sht'am /	351b	aa dhoo aa dhoo sht 
BO_T16_D4420b:351b-25	aa dhoo shta /	351b	aa dhoo shta 
BO_T16_D4420b:351b-26	skyes bu phyi ma gsum la /	351b	skye bu phyi ma gsum la 
BO_T16_D4420b:351b-27	aa dhoo sham /	351b	aa dhoo sham 
BO_T16_D4420b:351b-28	aa dhoo sham /	351b	aa dhoo sham 
BO_T16_D4420b:351b-29	aa dhoo shva /	351b	aa dhoo shva 
BO_T16_D4420b:351b-30	aa dhoo shma /	351b	aa dhoo shma 
BO_T16_D4420b:351b-31	tang la yon tan byas pas /	351b	tang la yon tan byed ba 
BO_T16_D4420b:351b-32	aa dha bi sh'a t'am /	351b	aa dha bi sha t 
BO_T16_D4420b:351b-33	aa dha bi sha ta /	351b	aa dha bi sha ta 
BO_T16_D4420b:351b-34	sogs sam / ait med pa'i phyogs kyi skyes bu dang po gsum la /	351b	sogs sam ait med ba phyogs kyi skye bu dang po gsum la 
BO_T16_D4420b:351b-35	aadhoshta / aa dho sh'a t'am /	351b	aadhoshta aa dho sha t 
BO_T16_D4420b:351b-36	aa dho sha ta /	351b	aa dho sha ta 
BO_T16_D4420b:351b-37	skyes bu dbus ma gsum la /	351b	skye bu dbus ma gsum la 
BO_T16_D4420b:351b-38	aa dhoshth'a:/ aa dho sh'a th'am /	351b	aa aa dho sha th 
BO_T16_D4420b:351b-39	aa dho dhvam /	351b	aa dho dhvam 
BO_T16_D4420b:351b-40	skyes bu phyi ma gsum la /	351b	skye bu phyi ma gsum la 
BO_T16_D4420b:351b-41	aa dhoshi / aa dho shva hi /	351b	aa dhoshi aa dho shva hi 
BO_T16_D4420b:351b-42	aa dho shma he /	351b	aa dho shma he 
BO_T16_D4420b:351b-43	lit la / gnyis brjod pa sogs kyis bsgrubs pas /	351b	lit la gnyis rjod ba sogs kyis sgrub ba 
BO_T16_D4420b:351b-44	aa tang gi skyes bu dang po gsum la /	351b	aa tang gi skye bu dang po gsum la 
BO_T16_D4420b:351b-45	du dh'a ba /	351b	du dha ba 
BO_T16_D4420b:351b-46	du dhu ba tu:/	351b	du dhu ba 
BO_T16_D4420b:351b-47	du dhu bu:/ skyes bu dbus ma gsum la /	351b	du dhu skye bu dbus ma gsum la 
BO_T16_D4420b:351b-48	du dhu bi tha /	351b	du dhu bi tha 
BO_T16_D4420b:351b-49	du dhu ba thu:/	351b	du dhu ba 
BO_T16_D4420b:351b-50	du dhu ba /	351b	du dhu ba 
BO_T16_D4420b:351b-51	skyes bu phyi ma gsum la /	351b	skye bu phyi ma gsum la 
BO_T16_D4420b:351b-52	du dh'a ba /	351b	du dha ba 
BO_T16_D4420b:351b-53	du dha ba /	351b	du dha ba 
BO_T16_D4420b:351b-54	du dhu bi ba /	351b	du dhu bi ba 
BO_T16_D4420b:351b-55	du dhu bi ma /	351b	du dhu bi ma 
BO_T16_D4420b:351b-56	tang gi skyes bu dang po gsum la /	351b	tang gi skye bu dang po gsum la 
BO_T16_D4420b:351b-57	du dhu be /	351b	du dhu be 
BO_T16_D4420b:351b-58	du dhu b'a te /	351b	du dhu ba te 
BO_T16_D4420b:351b-59	du dhu bi ra /	351b	du dhu bi ra 
BO_T16_D4420b:351b-60	skyes bu dbus ma gsum la /	351b	skye bu dbus ma gsum la 
