segmentnr	original	stemmed
BO_T17_MW1PD95844_2493:0	@ga  @#/_/rang gi lta ba'i 'dod pa mdor bstan	gi lta ba dod ba mdor ston 
BO_T17_MW1PD95844_2493:1	pa yongs su brtag pa zhes bya ba/	ba yongs su rtog ba zhes byed 
BO_T17_MW1PD95844_2493:2	/ @/_'phags pa 'jam dpal gyi rang gi lta ba'i 'dod pa mdor bstan pa yongs su	ba jam dpal gyi rang gi lta ba dod ba mdor ston ba yongs su 
BO_T17_MW1PD95844_2493:3	brtag pa zhes bya ba bzhugs/_@#@#/_/rgya gar skad du/_pra dan na nu ma tod de	rtog ba zhes byed ba gar skad dan na nu ma tod de 
BO_T17_MW1PD95844_2493:4	sha pa ri_k+sha na ma/_bod skad du/_rang gi lta ba'i 'dod pa mdor bstan pa	sha ba ri_k+sha na skad gi lta ba dod ba mdor ston ba 
BO_T17_MW1PD95844_2493:5	yongs su brtag pa zhes bya ba/_dpal dus kyi 'khor lo la phyag 'tshhal lo/_/	yongs su rtog ba zhes byed dus kyi khor lo la phyag tshhal 
BO_T17_MW1PD95844_2493:6	tshhogs gsum yongs su rdzogs pa yis/_/bcu gsum 'bras bu brnyes pa po/_/	tshhogs gsum yongs su rdzogs ba gsum bras bu brnyes ba 
BO_T17_MW1PD95844_2493:7	stong nyid snying rje'i bdag nyid can/_/dpal ldan dus 'khor la phyag 'tshhal/_/	stong nyid snying rje bdag nyid ldan dus khor la phyag 
BO_T17_MW1PD95844_2493:8	'dir ni mngon sum bstan 'chos dag_/rgyal ba'i thugs sras 'jam dbyangs	dir ni mngon sum ston chos ba thugs sras jam dbyangs 
BO_T17_MW1PD95844_2493:9	la/_/phyin ci log bzhir bcas pa ni/_/rang dang gzhan gyi don du zhus/	ci log bzhir cha ba dang gzhan gyi don du 
BO_T17_MW1PD95844_2493:10	shakya seng ge'i seng ge yis/_/slob dpon rnal 'byor pa rnams la/_/rgyud dang rgyud gzhan du gsungs dang /_/shes rab pha rol phyin tshhul dang /_/bye brag smra	shakya seng ge seng ge dpon rnal byor ba rnams dang brgyud gzhan du gsungs dang rab pha rol phyin tshhul dang brag smra 
BO_T17_MW1PD95844_2493:11	dang mdo sde pa/_/rnal 'byor spyod dang dbu ma ru/_/'gyur ro 'phags pa'i	dang mdo sde byor spyod dang dbu ma ro phag ba 
BO_T17_MW1PD95844_2493:12	rang gi lta ba'i 'dod pa mdor bstan pa yongs su brtag pa zhes bya ba/	rang gi lta ba dod ba mdor ston ba yongs su rtog ba zhes byed 
BO_T17_MW1PD95844_2493:13	yul du ni/_/dbyangs can bdag po bdag la gsungs/_/rang gi lta 'dod	yul du can bdag po bdag la gi lta dod 
BO_T17_MW1PD95844_2493:14	mdor bstan du/_/gang la rnam par shes pa'i blos/_/phyin ci log bzhir	mdor ston la rnam ba shes ba ci log bzhir 
BO_T17_MW1PD95844_2493:15	bcas pa ni/_/bdag gi de nyid bshad par bya/_/	cha ba gi de nyid chad ba 
BO_T17_MW1PD95844_2493:16	lam ma yin la lam gyi blo/_/chos ma yin la chos dang ni/_/bdag med	lam ma yin la lam gyi ma yin la chos dang med 
BO_T17_MW1PD95844_2493:17	pa la bdag blo dang /_/de bzhin sdug bsngal la bde ba'o/_/nyon mongs ma	ba la bdag blo dang bzhin sdug sngal la bde mongs ma 
BO_T17_MW1PD95844_2493:18	lus gzhom pa dang /_/mi shes ma lus spang ba'i phyir/_/bsam pa'i khyad par	lus joms ba dang shes ma lus spong ba ba khyad ba 
BO_T17_MW1PD95844_2493:19	ji bzhin du/_/sems can rnams la bshad par bya/_/sregs bcad brdar	ji bzhin can rnams la chad ba gcod rdar 
BO_T17_MW1PD95844_2493:20	bas gser bzhin du/_/mkhas pa rnams kyis yongs brtags nas/_/bdag	ba gser bzhin ba rnams kyis yongs rtog 
BO_T17_MW1PD95844_2493:21	gsungs blang bya dge slong rnams/_/gus pa tsham gyis ma yin no/_/gang zhig	gsungs blang byed dge slong ba tsham gyis ma yin jig 
BO_T17_MW1PD95844_2493:22	lam bzang dor nas ni/_/chom rkun gyis gang lam mi bgrod/_/de 'dir thub	lam bzang dor nas rkun gyis gang lam mi dir thub 
BO_T17_MW1PD95844_2493:23	pa bden pa yi/_/gsung ngor brdzun pa su zhig 'dzin/_/'dod chags la	ba bden ba ngor brdzun ba su jig chags la 
BO_T17_MW1PD95844_2493:24	sogs dri ma yi/_/rtag tu sems can bsam pa'i phyir/_/sems can bsam	sogs dri ma tu sems can bsam ba can bsam 
BO_T17_MW1PD95844_2493:25	pa'i dbang gis gsungs/_/thub pas bden par gsungs ma yin/_/nyon	ba dbang gis ba bden ba gsungs ma 
BO_T17_MW1PD95844_2493:26	mongs ma lus gzhom pa dang /_/mi shes ma lus spang phyir du/_/'dir ni	mongs ma lus joms ba dang shes ma lus spong phyir ni 
BO_T17_MW1PD95844_2493:27	bden gsung ston pa yis/_/sbyin pa'i lam du 'jug par mdzad/_/'dod	bden gsung ston ba ba lam du jug ba 
BO_T17_MW1PD95844_2493:28	chags bsam pa med pa'i phyir/_/gzhan gyi bud med ma bzung zhing /_/thub	chags bsam ba med ba gyi bud med ma bzung zhing 
BO_T17_MW1PD95844_2493:29	pas rang gi btshun mo byin/_/skye ba 'dir ni khyod sangs rgyas/_/zhe sdang bsam pa med pa'i phyir/_/gzhan gyi sha rnams ma phrogs shing /_/thub pas	ba rang gi btshun mo ba dir ni khyod sangs sdang bsam ba med ba gyi sha rnams ma phrog shing ba 
BO_T17_MW1PD95844_2493:30	rang gi sha rnams byin/_/skye ba 'dir ni khyod sangs rgyas/_/gti mug bsam	rang gi sha rnams ba dir ni khyod sangs mug bsam 
BO_T17_MW1PD95844_2493:31	pa med pa'i phyir/_/gzhan gyi 'phrog pa mi mdzad par/_/thub pas rang gi	ba med ba gyi phrog ba mi mdzad ba rang gi 
BO_T17_MW1PD95844_2493:32	rgyal srid byin/_/skye ba 'dir ni khyod sangs rgyas/_/'dod chags zhe sdang gti	rgyal srid ba dir ni khyod sangs chags zhe sdang gti 
BO_T17_MW1PD95844_2493:33	mug rnams/_/'di rnams 'jig rten dug gsum ste/_/sangs rgyas bcom	mug rnams jig rten dug gsum rgya joms 
BO_T17_MW1PD95844_2493:34	ldan dug mi mnga'/_/sangs rgyas bden pas dug bcom mo/_/'dod chags	ldan dug mi rgya bden ba dug joms chags 
BO_T17_MW1PD95844_2493:35	zhe sdang gti mug rnams/_/'di rnams 'jig rten dug gsum ste/_/bcom	zhe sdang gti mug rnams jig rten dug gsum 
BO_T17_MW1PD95844_2493:36	ldan chos ni dug mi mnga'/_/chos kyi bden pas dug bcom mo/_/'dod	ldan chos ni dug mi kyi bden ba dug joms 
BO_T17_MW1PD95844_2493:37	chags zhe sdang gti mug rnams/_/'di rnams 'jig rten dug gsum ste/_/	chags zhe sdang gti mug rnams jig rten dug gsum 
BO_T17_MW1PD95844_2493:38	bcom ldan dge 'dun dug mi mnga'/_/dge 'dun bden pas dug bcom mo//	joms ldan dge dun dug mi dun bden ba dug joms 
BO_T17_MW1PD95844_2493:39	bden pa spyad pas skye bo ni/_/skye ba 'dir ni khyod sangs rgyas/_/sangs rgyas	bden ba spyod ba skye bo ba dir ni khyod sangs rgya 
