segmentnr	original	folio	stemmed
BO_T17_MW1PD95844_2534:0	@ga  @#/_/dpal 'khor lo sdom pa'i man ngag	0	khor lo sdom ba man ngag 
BO_T17_MW1PD95844_2534:1	kha @/_'khor lo sdom pa'i man ngag bzhugs so//_@##/_/rgya gar skad du/_shri	1	kha lo sdom ba man ngag bzhugs gar skad 
BO_T17_MW1PD95844_2534:2	sam+ba ro pa de sha_/bod skad du/_dpal 'khor lo sdom pa'i man ngag_/bla ma	2	sam+ba ro ba de skad khor lo sdom ba man ma 
BO_T17_MW1PD95844_2534:3	dam pa rnams kyi zhabs la phyag 'tshhal lo/_/gang zhig kun du rtog pa bcom pa'i	3	dam ba rnams kyi zhabs la phyag tshhal jig kun du rtogs ba joms ba 
BO_T17_MW1PD95844_2534:4	chos kyi skur brjod dang /_/dpe med bde ba'i cha yis mdzes pa longs spyod	4	chos kyi skur rjod dang med bde ba cha yis mdzes ba longs spyod 
BO_T17_MW1PD95844_2534:5	rdzogs pa'i sku/_/srid na phan pa mdzad phyir sprul pa yi ni sku gang yin/_/	5	rdzogs ba na phan ba mdzad phyir sprul ba yi ni sku gang 
BO_T17_MW1PD95844_2534:6	bcom ldan rdo rje sems dpa' de ni khyed la bde legs gyur/_/de la dang por	6	joms ldan rdo rje sems dpa de ni khyed la bde legs la dang por 
BO_T17_MW1PD95844_2534:7	re shig dpal sdom pa'i rnal 'byor dang ldan pa'i sngags pa dben par bde bar	7	re shig dpal sdom ba rnal byor dang ldan ba sngags ba dben ba bde ba 
BO_T17_MW1PD95844_2534:8	'dug cing /_dam tshhig bsten pa byas nas rang gi snying khar nyi ma'i gzugs la	8	dug cing tshhig sten ba byed nas rang gi snying khar nyi ma gzugs la 
BO_T17_MW1PD95844_2534:9	gnas pa'i hum yig nag po mngon par bltas te bla ma'i man ngag gis sngags	9	gnas ba hum yig nag po mngon ba lta te bla ma man ngag gis sngags 
BO_T17_MW1PD95844_2534:10	bkod pa'i lag pa g.yon pas/_rnam par sbyangs pa'i dam tshhig gi rdzas blangs la	10	bkod ba lag ba g.yon ba sbyong ba dam tshhig gi rdzas blangs la 
BO_T17_MW1PD95844_2534:11	zhal bzhi pa'i sngags kyis/_bcu bzhi'i bdag nyid can la dbang bskur ba dang	11	zhal bzhi ba sngags bzhi bdag nyid can la dbang skur ba dang 
BO_T17_MW1PD95844_2534:12	yan lag bkod la mchod de/_gnas dang bdag dang rnal 'byor bsrung ba bya'o//	12	yan lag bkod la mchod dang bdag dang rnal byor bsrung ba 
BO_T17_MW1PD95844_2534:13	de nas mdun du dri bzang po'i chu nye bar byugs pa'i man+dal byas nas de'i	13	de nas mdun du dri bzang po chu nye ba byug ba man+dal byed nas de 
BO_T17_MW1PD95844_2534:14	dbus su g.yon pa'i srin lag gis nye bar bkod pa'i pu dza zhes bya ba la sogs	14	dbus su g.yon ba srin lag gis nye ba bkod ba pu dza zhes byed ba la sogs 
BO_T17_MW1PD95844_2534:15	pa'i yi ge nyi shu rtsha bzhi po rnams gnas nyi shu rtsha bzhi por rnam par sbyangs la/	15	ba yi ge nyi shu rtsha bzhi po rnams gnas nyi shu rtsha bzhi por rnam ba sbyong 
BO_T17_MW1PD95844_2534:16	gnas la sogs pa'i ming can bcu bzhi po rnams sa bcu bzhir rnam par bltas	16	gnas la sogs ba ming can chu bzhi po rnams sa chu bzhir rnam ba lta 
BO_T17_MW1PD95844_2534:17	la brjod par bya'o/_/de nas man+dal der 'byung ba chen po bzhi yang dag par	17	la rjod ba nas man+dal der byung ba chen po bzhi yang dag ba 
BO_T17_MW1PD95844_2534:18	gnas pa'i ri rab kyi steng khang pa brtshegs pa'i nang du sna tshhogs pad+ma'i ze'u 'bru	18	gnas ba ri rab kyi steng khang ba brtshegs ba nang du sna tshhogs pad+ma zeu bru 
BO_T17_MW1PD95844_2534:19	la/_rang gi snying kha'i sa bon las spros pa'i sa bon bsams la/_de yongs	19	gi snying kha sa bon las spros ba sa bon bsams yongs 
BO_T17_MW1PD95844_2534:20	su gyur pa las bcu gsum gyi bdag nyid can gyi 'khor dang bcas pa'i bcom	20	su gyur ba las chu gsum gyi bdag nyid can gyi khor dang cha ba joms 
BO_T17_MW1PD95844_2534:21	ldan 'das ma dang snyoms par zhugs pa blta bar bya'o/_/de nas snying kha'i sa	21	ldan da ma dang snyom ba jug ba lta ba nas snying kha sa 
BO_T17_MW1PD95844_2534:22	bon gyi 'od zer gyi phreng ba rnams kyis bkug pa'i ye shes kyi 'khor lo nam	22	bon gyi d zer gyi phreng ba rnams kyis gugs ba ye shes kyi khor lo nam 
BO_T17_MW1PD95844_2534:23	mkha'i phyogs su mngon sum du gyur pa la mngon par mchod de/_thams cad	23	mkha phyogs su mngon sum du gyur ba la mngon ba mchod cad 
BO_T17_MW1PD95844_2534:24	dam tshhig gi dkyil 'khor la bcug nas re mnyam du byas la/_mchod pa rnams	24	dam tshhig gi dkyil khor la jug nas re mnyam du byed ba rnams 
