segmentnr	original	folio	stemmed
BO_T17_MW1PD95844_2753:0	@ga_@#/_/nag po chen po'i bstod pa/sna	0	po chen po bstod 
BO_T17_MW1PD95844_2753:1	/ @##/_/hum lho phyogs rnam dag tshan dan shing gi gseb/_/ma mo mkha'	1	lho phyogs rnam dag tshan dan shing gi mo mkha 
BO_T17_MW1PD95844_2753:2	'gro'i dkyil 'khor chen po las/_/thugs kyis sprul pa ma ha ka la ni/_/sku	2	gro dkyil khor chen po kyis sprul ba ma ha ka la 
BO_T17_MW1PD95844_2753:3	mdog mthing nag zhal gcig phyag drug pa/_/stobs chen rab 'bar 'gyings	3	mdog mthing nag zhal gcig phyag drug chen rab bar gying 
BO_T17_MW1PD95844_2753:4	pa'i cha byad can/_/khro gnyer rab 'jigs mthing nag brjid pa'i sku/_/	4	ba cha byad gnyer rab jigs mthing nag brjid ba 
BO_T17_MW1PD95844_2753:5	dmar la zlum pa'i spyan gsum me 'od 'phro/_/shangs nas rlung 'byung 'jig	5	dmar la zlum ba spyan gsum me d nas rlung byung jig 
BO_T17_MW1PD95844_2753:6	rten g.yo bar byed/_/rab tu 'jigs pa'i ljags la hum sgra sgrogs/_/rdo rje	6	rten g.yo ba tu jigs ba ljags la hum sgra rje 
BO_T17_MW1PD95844_2753:7	'bar ba'i tshhems bsgrad mche ba rtshigs/_/bar nas rdo rje'i khrag gis gser	7	bar ba tshhems bsgrad mche ba nas rdo rje khrag gis gser 
BO_T17_MW1PD95844_2753:8	chen 'bebs/_/rmin ma'i a tshhom bskal pa'i me ltar 'bar/_/thod pa lngas	8	chen ma a tshhom bskal ba me ltar ba lngas 
BO_T17_MW1PD95844_2753:9	brgyan mi skyod dbu brgyan can/_/drag po dbu skra kham ser gyen du 'bar/_/	9	rgyan mi skyod dbu rgyan po dbu skra kham ser gyen du 
BO_T17_MW1PD95844_2753:10	sgegs pa'i nyams ldan dar gyi cod pan mdzes/_/'gur gyi bum par gsang	10	sgegs ba nyams ldan dar gyi cod pan gyi bum ba gsang 
BO_T17_MW1PD95844_2753:11	ba'i gshugs glu len/_/hum dang phat kyi glu sgra di ri ri/_/sku stod glang chen ko	11	ba gshugs glu dang phat kyi glu sgra di ri stod glang chen ko 
BO_T17_MW1PD95844_2753:12	bas brgyan pa yang /_/dpal thul chen po'i gyad las khyad par 'phags/_/sku	12	ba rgyan ba yang thul chen po gyad las khyad ba 
BO_T17_MW1PD95844_2753:13	smad stag gi lpags pas dkris pa ni/_/khams gsum g.yul rgyal srid gsum	13	smad stag gi lpags ba dkri ba gsum g.yul rgyal srid gsum 
BO_T17_MW1PD95844_2753:14	zil gyis gnon/_/bdud bzhi sreg mdzad me dpung klong na 'gying /_/rnam	14	zil gyis bzhi sreg mdzad me dpung klong na gying 
BO_T17_MW1PD95844_2753:15	rtog spang phyir mi ro'i gdan la bzhugs/_/pha rol phyin drug rdzogs phyir phyag	15	rtogs spong phyir mi ro gdan la rol phyin drug rdzogs phyir phyag 
BO_T17_MW1PD95844_2753:16	drug pa/_/sa bcu'i dbang phyug mgon po spyan ras gzigs/_/'khor ba'i rnam	16	drug chu dbang phyug mgon po spyan ras ba rnam 
BO_T17_MW1PD95844_2753:17	rtog spang phyir mgo 'phreng can/_/ma ha ka la khrag mthung rgyal po khyod/_/gri gug	17	rtogs spong phyir mgo phreng ha ka la khrag mthung rgyal po gug 
BO_T17_MW1PD95844_2753:18	rab tu 'bar bas dgra srog gcod/_/thod skam phreng bas dgra bgegs rtshis la	18	rab tu bar ba dgra srog skam phreng ba dgra bgegs rtshis la 
BO_T17_MW1PD95844_2753:19	'debs/_/da ma ru sa mkha' 'gro ma tshhogs bsdud/_/thod rlon rab tu 'bar	19	ma ru sa mkha gro ma tshhogs rlon rab tu bar 
BO_T17_MW1PD95844_2753:20	bas dgra khrag gsol/_/mdung rtshe gsum pos srid gsum dbang du bsdud/_/	20	ba dgra khrag rtshe gsum pos srid gsum dbang du 
BO_T17_MW1PD95844_2753:21	bdud zhags nag pos skye nas 'dzin par byed/_/tshan dan be con klad pa'i rgya	21	bdud zhags nag pos skye nas dzin ba dan be con klad ba rgya 
BO_T17_MW1PD95844_2753:22	srubs 'gas/_/khyod kyi sprul pa nam mkha'i mtha' dang mnyam/_/gdug pa'i	22	srubs kyi sprul ba nam mkha mtha dang ba 
BO_T17_MW1PD95844_2753:23	gnod sbyin 'bum gyi 'khor gyis bskor/_/k+she ta pa la sogs las la 'gyed/_/ma	23	gnod sbyin bum gyi khor gyis ta ba la sogs las la 
BO_T17_MW1PD95844_2753:24	mo mkha' 'gro'i tshhogs rnams bran du 'khol/_/dkar po'i chos skyong nag po'i	24	mo mkha gro tshhogs rnams bran du po chos skyong nag po 
BO_T17_MW1PD95844_2753:25	dpung 'joms pa'i/_/ma ha ka la lha mchog chen po la/_/bdag cag bstod dang gtor ma drag tu 'bul/_/rtshe bas dgongs la bu bzhin skyab du gsol/_/bcol	25	dpung joms ha ka la lha mchog chen po cag bstod dang thor ma drag tu ba dgongs la bu bzhin skyob du 
BO_T17_MW1PD95844_2753:26	ba'i phrin las lhun gyis grub par mdzod/_/dpal sha ba ri pas mgon po'i zhal	26	ba phrin las lhun gyis grub ba sha ba ri ba mgon po zhal 
BO_T17_MW1PD95844_2753:27	gzigs pa'i dus su don gyi sgo nas bstod pa'o//_//	27	gzigs ba dus su don gyi sgo nas bstod 
BO_T17_MW1PD95844_2753:28	po chen po'i bstod pa/	28	po chen po bstod 
