segmentnr	original	folio	stemmed
BO_TZ10_THA-031:0	sman mchod ni /	0	sman mchod ni 
BO_TZ10_THA-031:1	'od mtshhan stong 'bar 'chi med chos kyi sku	0	d mtshhan stong bar chi med chos kyi sku 
BO_TZ10_THA-031:2	/nges pa lnga ldan rnam snang longs spyod rdzogs //	0	ba lnga ldan rnam snang longs spyod rdzogs 
BO_TZ10_THA-031:3	o rgyan bla ma bde chen sprul pa'i skur //	0	o rgyan bla ma bde chen sprul ba skur 
BO_TZ10_THA-031:4	sman mchod 'bul lo dbang dang dngos grub stshol //	0	sman mchod bul lo dbang dang dngos grub stshol 
BO_TZ10_THA-031:5	bod 'bangs skyong ba'i ma gcig mtshho rgyal zhabs //	0	bod bang skyong ba ma gcig mtshho rgyal zhabs 
BO_TZ10_THA-031:6	bka' drin mnyam med 'jam mgon khri srong rje //	0	bka drin mnyam med jam mgon khri srong rje 
BO_TZ10_THA-031:7	gu ru'i thugs sras ye shes rol pa rtshal //	0	gu ru thugs sras ye shes rol ba rtshal 
BO_TZ10_THA-031:8	sman mchod 'bul lo dbang dang dngos grub stshol //	0	sman mchod bul lo dbang dang dngos grub stshol 
BO_TZ10_THA-031:9	rigs kun khyab bdag rdo rje gzi brjid rtshal //	0	rigs kun khyab bdag rdo rje gzi brjid rtshal 
BO_TZ10_THA-031:10	gter chen bla ma mchog gyur bde chen gling //	1	gter chen bla ma mchog gyur bde chen gling 
BO_TZ10_THA-031:11	'khor lo'i mgon po pad+ma gar dbang la //	1	khor lo mgon po pad+ma gar dbang la 
BO_TZ10_THA-031:12	sman mchod 'bul lo dbang dang dngos grub stshol //	1	sman mchod bul lo dbang dang dngos grub stshol 
BO_TZ10_THA-031:13	smon lam las sad smin grol bdud rtshi'i mdzod //	1	smon lam las sad smin grol bdud rtshi mdzod 
BO_TZ10_THA-031:14	bka' bab lung zin bstan pa'i sgron me mchog	1	bka bab lung zin ston ba sgron me mchog 
BO_TZ10_THA-031:15	/chos bdag brgyud 'dzin rim par byon rnams la //	1	bdag brgyud dzin rim ba byon rnams la 
BO_TZ10_THA-031:16	sman mchod 'bul lo dbang dang dngos grub stshol //	1	sman mchod bul lo dbang dang dngos grub stshol 
BO_TZ10_THA-031:17	snyigs dus skyabs gcig mtshho skyes rdo rje 'chang //	1	snyigs dus skyob gcig mtshho skye rdo rje chang 
BO_TZ10_THA-031:18	yid bzhin nor bu bla ma'i dkyil 'khor pa //	1	yid bzhin nor bu bla ma dkyil khor ba 
BO_TZ10_THA-031:19	rab 'byams rtsha gsum srung mar bcas rnams la //	1	rab byam rtsha gsum srung mar cha rnams la 
BO_TZ10_THA-031:20	sman mchod 'bul lo dbang dang dngos grub stshol //	2	sman mchod bul lo dbang dang dngos grub stshol 
BO_TZ10_THA-031:21	ces bla ma'i thugs sgrub yid bzhin nor bu'i sman mchod mtshhan don sbyar ba 'di'ang sman sgrub skabs nyer mkho'i ched dpal karma pas bris //	2	ces bla ma thugs sgrub yid bzhin nor bu sman mchod mtshhan don sbyor ba di sman sgrub skabs nyer mkho ched dpal karma ba bri 
