segmentnr	original	folio	stemmed
BO_TZ10_THA-038:0	@#// bla ma'i thugs sgrub yid bzhin nor bu las /	0	bla ma thugs sgrub yid bzhin nor bu las 
BO_TZ10_THA-038:1	'chi med tshhe'i dbang skur ba'i lag len yid bzhin dpal 'dzin zhes bya ba bzhugs so //	0	chi med tshhe dbang skur ba lag len yid bzhin dpal dzin zhes byed ba bzhugs so 
BO_TZ10_THA-038:2	rdo rje'i sku brnyes bde ba che //	0	rdo rje sku brnyes bde ba che 
BO_TZ10_THA-038:3	'chi med dngos grub sbyin mdzad der //	0	chi med dngos grub sbyin mdzad der 
BO_TZ10_THA-038:4	btud nas las kyi kha tshhar ni //	0	dud nas las kyi kha tshhar ni 
BO_TZ10_THA-038:5	kun la nyer mkho'i 'jug bder spel //	0	kun la nyer mkho jug bder spel 
BO_TZ10_THA-038:6	dus ma yin par 'chi ba'i 'jigs pa sel zhing ring 'tshho'i zil dngar ci 'dod du 'jo ba ni bla ma'i byin rlabs kho na stobs che zhing /	0	dus ma yin ba chi ba jigs ba sel zhing ring tshho zil dngar ci dod du jo ba ni bla ma byin rlabs kho na stobs che zhing 
BO_TZ10_THA-038:7	bla ma rgyal ba sras bcas kyi khyab bdag 'chi med gu ru pad+ma sam b+ha ba'i sgo nas tshhe'i dbang bskur don zab la khyer bde ba 'di 'chad pa la gsum /	0	bla ma rgyal ba sras cha kyi khyab bdag chi med gu ru pad+ma sam b+ha ba sgo nas tshhe dbang skur don zab la khyer bde ba di chad ba la gsum 
BO_TZ10_THA-038:8	sgrub pa'i rdzas 'du bya ba /	0	sgrub ba rdzas du byed ba 
BO_TZ10_THA-038:9	de nyid nus ldan du sgrub pa /	0	de nyid nus ldan du sgrub ba 
BO_TZ10_THA-038:10	de'i 'bras bu phrin las kyi rim pa brtsham pa'o //	1	de bras bu phrin las kyi rim ba brtsham ba 
BO_TZ10_THA-038:11	dang po ni /	1	dang po ni 
BO_TZ10_THA-038:12	dkar phyogs kyi dus tshhes dge bar bkra shis yid 'ong gi gnas su stegs gtshang mar man+dal la 'bru dkar gyi tshhom bu lha grangs bkod pa'i khar /	1	dkar phyogs kyi dus tshhes dge ba bkra shis yid ng gi gnas su stegs gtshang mar man+dal la bru dkar gyi tshhom bu lha grangs bkod ba khar 
BO_TZ10_THA-038:13	many+dzi la tshhe'i 'brang rgyas bum gzugs ma rgyan ldan bzhag pa'i g.yas g.yon du tshhe bcud bdud rtshi'i phur ma bsres pa'i tshhe ril dang tshhe chang /	1	many+dzi la tshhe brang rgya bum gzugs ma rgyan ldan jog ba g.yas g.yon du tshhe bcud bdud rtshi phur ma bsres ba tshhe ril dang tshhe chang 
BO_TZ10_THA-038:14	rgyab tu tshhe mda'/	1	rgyab tu tshhe 
