segmentnr	original	folio	stemmed
BO_TZ13_PA-065:0	rtsha gsum tshhe'i zab pa las /	0	rtsha gsum tshhe zab ba las 
BO_TZ13_PA-065:1	bla ma bka' brgyad kyi brgyud pa'i gsol 'debs rdo rje'i rgyud mang bzhugs so //	0	bla ma bka brgyad kyi brgyud ba gsol debs rdo rje brgyud mang bzhugs so 
BO_TZ13_PA-065:2	gdod ma'i mgon po kun bzang 'od mi 'gyur //	0	gdod ma mgon po kun bzang d mi gyur 
BO_TZ13_PA-065:3	pad+ma'i snang ba rab rgyas kun tu 'chang //	0	pad+ma snang ba rab rgya kun tu chang 
BO_TZ13_PA-065:4	ye shes gcig sbyor rdo rje sems dpa' la //	0	ye shes gcig sbyor rdo rje sems dpa la 
BO_TZ13_PA-065:5	gsol ba 'debs so dbang bzhi'i byin rlabs stshol //	0	gsol ba debs so dbang bzhi byin rlabs stshol 
BO_TZ13_PA-065:6	sku gsum dbyings khyab mtshho skyes he ru ka	0	sku gsum dbyings khyab mtshho skye he ru ka 
BO_TZ13_PA-065:7	/'khor lo kun gyi 'dren pa bde chen rgyal //	0	lo kun gyi bgrang ba bde chen rgyal 
BO_TZ13_PA-065:8	mnga' bdag tshhangs pa lha yi me tog la //	0	mnga bdag tshhangs ba lha yi me tog la 
BO_TZ13_PA-065:9	gsol ba 'debs so sgrib bzhi'i 'ching ba sol //	0	gsol ba debs so sgrib bzhi ching ba sol 
BO_TZ13_PA-065:10	bka' babs las can 'khor 'dus snying gi bu //	1	bka bab las can khor du snying gi bu 
BO_TZ13_PA-065:11	bka' gsang gnyer thob lha sras rol pa rtshal //	1	bka gsang gnyer thob lha sras rol ba rtshal 
BO_TZ13_PA-065:12	bka' gzhung snang byed mchog gyur gling pa la //	1	bka gzhung snang byed mchog gyur gling ba la 
BO_TZ13_PA-065:13	gsol ba 'debs so rgyud bzhi smin par mdzod //	1	gsol ba debs so brgyud bzhi smin ba mdzod 
BO_TZ13_PA-065:14	las 'phros gtad rgya'i dbang thob bstan pa skyong //	1	las phro gtod rgya dbang thob ston ba skyong 
BO_TZ13_PA-065:15	rigs chos brgyud pa'i gser phreng 'dzin rnams dang // mchog dngos sbyin mdzad rtsha ba'i bla ma la //	1	rigs chos brgyud ba gser phreng dzin rnams dang mchog dngos sbyin mdzad rtsha ba bla ma la 
BO_TZ13_PA-065:16	gsol ba 'debs so lam bzhi myur 'byongs gsol //	1	gsol ba debs so lam bzhi myur byong gsol 
BO_TZ13_PA-065:17	ye shes klong dgu phyag rgyar 'bar ba'i gar //	1	ye shes klong dgu phyag rgyar bar ba gar 
BO_TZ13_PA-065:18	dbang chen che mchog rdo rje drag po rtshal //	1	dbang chen che mchog rdo rje drag po rtshal 
BO_TZ13_PA-065:19	sgrub pa sde brgyad bka' sdod sgo skyong la //	1	sgrub ba sde brgyad bka sdod sgo skyong la 
BO_TZ13_PA-065:20	gsol ba 'debs so sku bzhi mngon gyur mdzod //	2	gsol ba debs so sku bzhi mngon gyur mdzod 
BO_TZ13_PA-065:21	mos pas bskul ba'i dpal chen thugs rje'i sprin //	2	mos ba skul ba dpal chen thugs rje sprin 
BO_TZ13_PA-065:22	gzhi dbyings mu mtha' med par khyab pa las //	2	gzhi dbyings mu mtha med ba khyab ba las 
BO_TZ13_PA-065:23	byin rlabs char gyis 'gro rgyud rig 'dzin bzhi'i //	2	byin rlabs char gyis gro brgyud rig dzin bzhi 
BO_TZ13_PA-065:24	byang chub snye ma g.yur du za bar shog	2	byang chub snye ma g.yur du za ba shog 
BO_TZ13_PA-065:25	/dbang bzhis rgyud smin snang grags lha dang sngags //	2	bzhis brgyud smin snang grags lha dang sngags 
BO_TZ13_PA-065:26	dran rig bde chen ye shes lhun 'byams ngang //	2	dran rig bde chen ye shes lhun byam ngang 
BO_TZ13_PA-065:27	dgongs spyod ting 'dzin rgya mtshho'i rtshal rdzogs nas //	2	dgongs spyod ting dzin rgya mtshho rtshal rdzogs nas 
BO_TZ13_PA-065:28	rdo rje rtshe mo'i sa la dbang sgyur shog	2	rdo rje rtshe mo sa la dbang sgyur shog 
BO_TZ13_PA-065:29	/gzhi grol 'od gsal rdo rje dbyings kyi sbubs //	2	grol d gsal rdo rje dbyings kyi sbub 
BO_TZ13_PA-065:30	mi bzad rang shar khrag 'thung rol pa'i dal //	3	mi bzad rang char khrag thung rol ba dal 
BO_TZ13_PA-065:31	'bras bu'i rgyal po ma btshal lhun rdzogs ngang //	3	bras bu rgyal po ma btshal lhun rdzogs ngang 
BO_TZ13_PA-065:32	'khor 'das phyam brdal srid pa'i rgyu ldog shog	3	khor da phyam rdal srid ba rgyu ldog shog 
BO_TZ13_PA-065:33	/ces pa'ang gsang ba 'di nyid kyi bdag po'i go 'phang la 'khod pa dbon sprul rin po che'i bka' ltar pad+ma gar dbang yon tan rgya mtshho'i ming can gyis /	3	ba gsang ba di nyid kyi bdag po go phen la khod ba dbon sprul rin po che bka ltar pad+ma gar dbang yon tan rgya mtshho ming can gyis 
BO_TZ13_PA-065:34	dpal spungs snying po yid dga' chos 'dzin du bris pa dge legs 'phel //	3	dpal spung snying po yid dga chos dzin du bri ba dge legs phel 
