segmentnr	original	folio	stemmed
BO_TZ15_BA-028:0	@#// dpal bka' 'dus kyi bsnyen sgrub bya tshhul mdor bsdus snying po rin chen do shal zhes bya ba bzhugs so //	0	dpal bka du kyi snyen sgrub byed tshhul mdor sdud snying po rin chen do shal zhes byed ba bzhugs so 
BO_TZ15_BA-028:1	na mo gu ru d+he ba d+ha ki ni yai /	0	na mo gu ru d+he ba d+ha ki ni yai 
BO_TZ15_BA-028:2	dpal bka' 'dus kyi bsnyen sgrub bya tshhul la gnyis /	0	dpal bka du kyi snyen sgrub byed tshhul la gnyis 
BO_TZ15_BA-028:3	rtsha ba'i lha phyag rgya gcig pa la brten nas bsnyen pa rkyang pa bya ba'i tshhul dang / dkyil 'khor yongs rdzogs la brten nas bsnyen sgrub las gsum sbrel mar bya ba'i tshhul lo //	0	rtsha ba lha phyag rgya gcig ba la rten nas snyen ba rkyang ba byed ba tshhul dang dkyil khor yongs rdzogs la rten nas snyen sgrub las gsum sbrel mar byed ba tshhul lo 
BO_TZ15_BA-028:4	dang po ni /	0	dang po ni 
BO_TZ15_BA-028:5	gnas dben par stegs bu'i dbus su ro ras la hu~m mthing nag khru gang pa bris pa dang / phyag rgya gcig pa'i thod sku	0	gnas dben ba stegs bu dbus su ro ras la hu~m mthing nag khru gang ba bri ba dang phyag rgya gcig ba thod sku 
BO_TZ15_BA-028:6	/de'i mdun du sman rag gtor ma gsum dang nyer spyod /	0	mdun du sman rag thor ma gsum dang nyer spyod 
BO_TZ15_BA-028:7	g.yas g.yon du chos skyong gi gtor 'bul dang skyems phud tsham bsham /	0	g.yas g.yon du chos skyong gi thor bul dang skyem bud tsham bsham 
BO_TZ15_BA-028:8	rang nyid he ru kar gsal bas gzhi bgegs kyi gtor ma btang /	0	rang nyid he ru kar gsal ba gzhi bgegs kyi thor ma gtong 
BO_TZ15_BA-028:9	rgyal chen tho 'dzugs tsham dang / srung 'khor nan tan du bsgom /	0	rgyal chen tho dzugs tsham dang srung khor nan tan du bsgom 
BO_TZ15_BA-028:10	de nas thugs khrid ltar sngon 'gro bla ma'i rnal 'byor yan rgyas bsdus gang rigs grub rjes /	1	de nas thugs khrid ltar sngon gro bla ma rnal byor yan rgya sdud gang rigs grub rjes 
BO_TZ15_BA-028:11	bla ma rang la bstims mthar thugs yid bsres te de bzhin nyid kyi ting nge 'dzin la mnyam par 'jog pa nyams ma skyes kyi bar ram /	1	bla ma rang la stim mthar thugs yid bsres te de bzhin nyid kyi ting nge dzin la mnyam ba jog ba nyams ma skye kyi ba ram 
BO_TZ15_BA-028:12	zhag gsum sogs bya /	1	zhag gsum sogs byed 
BO_TZ15_BA-028:13	de nas kun snang gi ting nge 'dzin snying rje sgyu ma lta bu'i rtshal sbyang ba la zhag gsum sogs ci rigs /	1	de nas kun snang gi ting nge dzin snying rje sgyu ma lta bu rtshal sbyong ba la zhag gsum sogs ci rigs 
BO_TZ15_BA-028:14	de nas rgyu'i ting nge 'dzin mdun du hu~m yig gsal gdab /	1	de nas rgyu ting nge dzin mdun du hu~m yig gsal gdab 
BO_TZ15_BA-028:15	bris pa'i hu~m la yid mig rlung gsum gtad /	1	bri ba hu~m la yid mig rlung gsum gtod 
BO_TZ15_BA-028:16	gsal snang skyes pa na hu~m dang dbyer med du sems bsres te mnyam par bzhag pa zhag gsum sogs ci rigs /	1	gsal snang skye ba na hu~m dang dbyer med du sems bsres te mnyam ba jog ba zhag gsum sogs ci rigs 
BO_TZ15_BA-028:17	de nas phyag rgya gcig pa'i bsnyen pa dngos la /	1	de nas phyag rgya gcig ba snyen ba dngos la 
BO_TZ15_BA-028:18	phrin las rin chen snying po ltar mtshhams gcod nas byin 'beb bar /	1	phrin las rin chen snying po ltar mtshhams gcod nas byin beb ba 
BO_TZ15_BA-028:19	de nas thugs khrid ltar bdag dang dam tshhig gi bris sku dbyer med pa'i tshhul gyis rten dang brten par bcas pa'i phyag rgya gcig pa'i dkyil 'khor gsal btab nas mdun gyi bris sku la yid mig rlung gsum gtad /	1	de nas thugs khrid ltar bdag dang dam tshhig gi bri sku dbyer med ba tshhul gyis rten dang rten ba cha ba phyag rgya gcig ba dkyil khor gsal debs nas mdun gyi bri sku la yid mig rlung gsum gtod 
BO_TZ15_BA-028:20	gsal snang skyes pa na de la sems 'dzin pa dang / nga rgyal brtan /	2	gsal snang skye ba na de la sems dzin ba dang nga rgyal brtan 
BO_TZ15_BA-028:21	dag pa dran /	2	dag ba dran 
BO_TZ15_BA-028:22	de lta bu'i tshhul gyis gsal brtan gyi nyams skye ba'am /	2	de lta bu tshhul gyis gsal brtan gyi nyams skye ba 
BO_TZ15_BA-028:23	zhag lnga bdun sogs ci rigs par nyams su blang /	2	zhag lnga bdun sogs ci rigs ba nyams su blang 
BO_TZ15_BA-028:24	thun mthar bzlas pa cung zad kyang bya /	2	thun mthar bzlas ba cung zad kyang byed 
BO_TZ15_BA-028:25	lha dang rang sems dbyer med kyi ngang du rnal dbab /	2	lha dang rang sems dbyer med kyi ngang du rnal bebs 
BO_TZ15_BA-028:26	rang sems lha skur shar ba'i gsal snang la sems gtad cing rlung bum can bzung /	2	rang sems lha skur char ba gsal snang la sems gtod cing rlung bum can bzung 
BO_TZ15_BA-028:27	thun bsdu ba na mchod bstod mdor bsdus /	2	thun sdud ba na mchod bstod mdor sdud 
BO_TZ15_BA-028:28	hu~m/ bla med mchog gi sogs sngags bcas /	2	bla med mchog gi sogs sngags cha 
BO_TZ15_BA-028:29	hu~m: zhi khro'i sku sogs nas /	2	hu~m: zhi khro sku sogs nas 
BO_TZ15_BA-028:30	dpal chen he ru ka la phyag 'tshhal bstod :	3	dpal chen he ru ka la phyag tshhal bstod 
BO_TZ15_BA-028:31	he ru ka'i yig brgya lan gsum /	3	he ru ka yig brgya lan gsum 
BO_TZ15_BA-028:32	bka' srung mchod pa /	3	bka srung mchod ba 
BO_TZ15_BA-028:33	spro na tshhogs mchod lhag ma'i bar dang / srung ma'i gtor 'bul bya /	3	spro na tshhogs mchod lhag ma ba dang srung ma thor bul byed 
BO_TZ15_BA-028:34	gang ltar yang bsdu ldang bsngo shis mthar dbyung /	3	gang ltar yang sdud ldang sngo shis mthar byin 
BO_TZ15_BA-028:35	de'ang bsdu ba'i tshhig	3	de sdud ba tshhig 
BO_TZ15_BA-028:36	/hu~m sarba man+dal hu~m:	3	sarba man+dal hu~m: 
BO_TZ15_BA-028:37	snod bcud gzhal yas khang dang lha la thim :	3	snod bcud jal yas khang dang lha la thim 
BO_TZ15_BA-028:38	khrag 'thung yab yum mkha' la sprin dengs ltar /	3	khrag thung yab yum mkha la sprin dengs ltar 
