segmentnr	original	folio	stemmed
BO_TZ17_TSA-026:0	@#// 'jam dpal gshin rje gshed dregs pa 'joms byed kyi las byang bdud las rnam par rgyal ba'i dga' ston bzhugs so //	0	jam dpal gshin rje gshed dregs ba joms byed kyi las byang bdud las rnam ba rgyal ba dga ston bzhugs so 
BO_TZ17_TSA-026:1	'jam dpal gshin rje'i gshed dregs pa 'joms byed kyi las byang bdud las rnam par rgyal ba'i dga' ston zhes bya ba /	0	jam dpal gshin rje gshed dregs ba joms byed kyi las byang bdud las rnam ba rgyal ba dga ston zhes byed ba 
BO_TZ17_TSA-026:2	bla ma dang 'jam pa'i rdo rje gnyis su med pa la phyag 'tshhal lo //	0	bla ma dang jam ba rdo rje gnyis su med ba la phyag tshhal lo 
BO_TZ17_TSA-026:3	rgyal ba kun gyi mkhyen brtshe'i rang gzugs 'jam pa'i rdo rje gar dgu'i ros //	0	rgyal ba kun gyi mkhyen brtshe rang gzugs jam ba rdo rje gar dgu ros 
BO_TZ17_TSA-026:4	rnam rol khyab bdag he ru ka dpal bdud dpung mthar mdzad gshin rje'i gshed /	0	rnam rol khyab bdag he ru ka dpal bdud dpung mthar mdzad gshin rje gshed 
BO_TZ17_TSA-026:5	'bar ba'i khro gtum drag po 'khrug pa'i sgyu 'phrul gar gyis 'gro 'di ko	0	bar ba khro thum drag po khrug ba sgyu phrul gar gyis gro di ko 
BO_TZ17_TSA-026:6	/rdul bral mchog gi bde bas brlan mdzad dus dgra'i dbang pos bdag skyongs shig	0	bral mchog gi bde ba brlan mdzad dus dgra dbang pos bdag skyongs shig 
BO_TZ17_TSA-026:7	/e ma zla gsang rgyud sde'i mkhar //	0	ma zla gsang brgyud sde mkhar 
BO_TZ17_TSA-026:8	man ngag sprin sngon rol pa las //	0	man ngag sprin sngon rol ba las 
BO_TZ17_TSA-026:9	phrin las rdo rje'i me char gyis //	0	phrin las rdo rje me char gyis 
BO_TZ17_TSA-026:10	bdud las rnam par rgyal 'di 'o //	1	bdud las rnam ba rgyal di mang 
BO_TZ17_TSA-026:11	gang zhig de don rtogs dka' zhing //	1	gang jig de don rtogs dka zhing 
BO_TZ17_TSA-026:12	bdag blo dman zhing mthu phra bas //	1	bdag blo dman zhing mthu phra ba 
BO_TZ17_TSA-026:13	ji bzhin brjod par nus min kyang //	1	ji bzhin rjod ba nus min kyang 
BO_TZ17_TSA-026:14	phyogs tsham rtogs gyur brjod par 'dod //	1	phyogs tsham rtogs gyur rjod ba dod 
BO_TZ17_TSA-026:15	de yang dbang thob cing dam tshhig la gnas pa'i sngags pa dpal he ru ka'i sku gsung thugs rdo rje snying po ye shes kyi dngos grub sgrub cing bdud kyi g.yul las rnam par rgyal ba'i phrin las la rang dbang du bya bar 'dod pas dur khrod la	1	de yang dbang thob cing dam tshhig la gnas ba sngags ba dpal he ru ka sku gsung thugs rdo rje snying po ye shes kyi dngos grub sgrub cing bdud kyi g.yul las rnam ba rgyal ba phrin las la rang dbang du byed ba dod ba dur khrod la 
BO_TZ17_TSA-026:16	sogs pa bsam gtan dang rjes su mthun pa'i gnas su /	1	sogs ba bsam gtan dang rjes su mthun ba gnas su 
BO_TZ17_TSA-026:17	lcags sam mchog gi khog par 'bru nag gi gtor ma gru gsum lcags mkhar can 'khor gyi bshos phran bcu gcig gis bskor ba sha rus don snying sogs bza' bca' sna tshhogs kyis brgyan pa dar nag gi 'phur lding g.yo ba dang / g.yas su bdud rtshi ril bus sbags pa'i dza gad /	1	lcags sam mchog gi khog ba bru nag gi thor ma gru gsum lcags mkhar can khor gyi bshos phran chu gcig gis skor ba sha rus don snying sogs bza chos sna tshhogs kyis rgyan ba dar nag gi phur lding g.yo ba dang g.yas su bdud rtshi ril bud sbag ba dza gad 
BO_TZ17_TSA-026:18	g.yon du bsgral ba'i rak+ta /	1	g.yon du bsgral ba rak+ta 
BO_TZ17_TSA-026:19	de dag gi mdun du phyi nang gsang ba'i mchod pa'i rdzas thams cad tshhar du dngar ba dang / rol mo'i khyad par sogs rnal 'byor gyi yo byad rnams ma tshhang ba med par 'du bya'o //	1	de dag gi mdun du phyi nang gsang ba mchod ba rdzas thams cad tshhar du dngar ba dang rol mo khyad ba sogs rnal byor gyi yo byad rnams ma tshhang ba med ba du byed 
BO_TZ17_TSA-026:20	sbyor ba dngos gzhi mjug gsum las //	2	sbyor ba dngos gzhi mjug gsum las 
BO_TZ17_TSA-026:21	sngon 'gro skyabs sems yan lag bdun //	2	sngon gro skyob sems yan lag bdun 
BO_TZ17_TSA-026:22	nga rgyal sngon gtor bka' bsgo zhing //	2	nga rgyal sngon thor bka sgo zhing 
BO_TZ17_TSA-026:23	srung 'khor byin dbab mchod byin brlab //	2	srung khor byin bebs mchod byin brlab 
BO_TZ17_TSA-026:24	skyabs su 'gro ba ni /	2	skyob su gro ba ni 
BO_TZ17_TSA-026:25	bdag nyid skad cig gis 'jam dpal gshin rje'i gshed du gsal ba'i thugs ka'i hu~m yig las byung ba'i 'od zer gyis /	2	bdag nyid skad cig gis jam dpal gshin rje gshed du gsal ba thugs ka hu~m yig las byung ba d zer gyis 
BO_TZ17_TSA-026:26	bla ma dang 'jam pa'i rdo rje'i dkyil 'khor gyi 'khor lo ma lus shing lus pa med pa thams cad mdun gyi nam mkhar badzra sa ma dzahsa spyan drang /	2	bla ma dang jam ba rdo rje dkyil khor gyi khor lo ma lus shing lus ba med ba thams cad mdun gyi nam mkhar badzra sa ma dzahsa spyan dren 
BO_TZ17_TSA-026:27	om badzra ar+g+ham sogs kyis mchod /	2	om badzra ar+g+ham sogs kyis mchod 
BO_TZ17_TSA-026:28	na mo : bdag dang mtha' yas sems can rnams :	2	na mo bdag dang mtha yas sems can rnams 
BO_TZ17_TSA-026:29	deng nas byang chub snying po'i bar :	2	deng nas byang chub snying po ba 
BO_TZ17_TSA-026:30	bslu med skyabs gnas thams cad la :	3	bslu med skyob gnas thams cad la 
BO_TZ17_TSA-026:31	sgo gsum dang bas skyabs su mchi :	3	sgo gsum dang ba skyob su mchi 
BO_TZ17_TSA-026:32	sems bskyed pa ni /	3	sems skyed ba ni 
BO_TZ17_TSA-026:33	rang rig rang ngo ma shes pa'i :	3	rang rig rang ngo ma shes ba 
BO_TZ17_TSA-026:34	ma rig 'khrul pa'i sems can rnams :	3	ma rig khrul ba sems can rnams 
BO_TZ17_TSA-026:35	bde chen sa la 'god bya'i phyir :	3	bde chen sa la god byed phyir 
BO_TZ17_TSA-026:36	byang chub mchog tu sems bskyed do :	3	byang chub mchog tu sems skyed do 
BO_TZ17_TSA-026:37	yan lag bdun pa ni /	3	yan lag bdun ba ni 
BO_TZ17_TSA-026:38	spros pa kun zhi chos dbyings kyi :	3	spros ba kun zhi chos dbyings kyi 
BO_TZ17_TSA-026:39	rang mdangs zung 'jug bde ba'i sku :	3	rang mdangs zung jug bde ba sku 
BO_TZ17_TSA-026:40	'phags mchog 'jam dpal dbyangs nyid la :	4	phag mchog jam dpal dbyangs nyid la 
BO_TZ17_TSA-026:41	bdag gis dad pas phyag 'tshhal zhing :	4	bdag gis dad ba phyag tshhal zhing 
BO_TZ17_TSA-026:42	dpag yas mchod pa rgya mtshhos mchod :	4	dpog yas mchod ba rgya mtshhos mchod 
