segmentnr	original	folio	stemmed
BO_TZ17_TSA-028:0	gshin rje dregs pa 'joms byed kyi las bum sgrub thabs bzhugs so //	0	gshin rje dregs ba joms byed kyi las bum sgrub thabs bzhugs so 
BO_TZ17_TSA-028:1	ya ma ra dzas bsang /	0	ya ma ra dzas bsang 
BO_TZ17_TSA-028:2	swa b+ha was sbyang /	0	swa b+ha was sbyong 
BO_TZ17_TSA-028:3	las bum dbus su ma he'i steng //	0	las bum dbus su ma he steng 
BO_TZ17_TSA-028:4	'chi bdag nag po gshin rje'i gshed //	0	chi bdag nag po gshin rje gshed 
BO_TZ17_TSA-028:5	thod dbyug b+hany+dza khrag bkang 'dzin //	0	thod dbyug b+hany+dza khrag geng dzin 
BO_TZ17_TSA-028:6	gtum drag srin po khros bzhin gyur //	0	thum drag srin po khro bzhin gyur 
BO_TZ17_TSA-028:7	gnas gsum 'bru gsum gnas pa las //	0	gnas gsum bru gsum gnas ba las 
BO_TZ17_TSA-028:8	'od 'phros ye shes sems dpa'i tshhogs //	0	d phro ye shes sems dpa tshhogs 
BO_TZ17_TSA-028:9	rang bzhin gnas nas spyan drangs gyur //	0	rang bzhin gnas nas spyan drangs gyur 
BO_TZ17_TSA-028:10	om badzra sa ma dzah	1	om badzra sa ma dzah 
BO_TZ17_TSA-028:11	dzahhu~m bam hoh om ya ma ra dza sa pa ri wa ra ar+g+ham nas /	1	dzahhu~m bam hoh om ya ma ra dza sa ba ri wa ra ar+g+ham nas 
BO_TZ17_TSA-028:12	shab+da'i bar gyis mchod /	1	shab+da ba gyis mchod 
BO_TZ17_TSA-028:13	bstod par 'os pa thams cad la //	1	bstod ba s ba thams cad la 
BO_TZ17_TSA-028:14	zhing rdul kun gyi sogs kyis bstod /	1	zhing rdul kun gyi sogs kyis bstod 
BO_TZ17_TSA-028:15	bzlas pa'i tshhe /	1	bzlas ba tshhe 
BO_TZ17_TSA-028:16	bdag gi thugs ka nas sngags kyi phreng ba thon /	1	bdag gi thugs ka nas sngags kyi phreng ba thon 
BO_TZ17_TSA-028:17	gzungs thag la 'khril te bum nang gi lha tshhogs rnams kyi thugs ka nas zhugs par gyur /	1	gzungs thag la khril te bum nang gi lha tshhogs rnams kyi thugs ka nas jug ba gyur 
BO_TZ17_TSA-028:18	om ya ma ra dza sa ma ya hu~m phat/	1	om ya ma ra dza sa ma ya hu~m 
BO_TZ17_TSA-028:19	mthar / om ahhu~m gis mchod yon phul bas /	1	mthar om ahhu~m gis mchod yon bul ba 
BO_TZ17_TSA-028:20	lha thams cad chags pa chen pos 'od du zhu nas byang chub kyi sems su ro gcig tu gyur par blta'o //	2	lha thams cad chags ba chen pos d du ju nas byang chub kyi sems su ro gcig tu gyur ba lta 
BO_TZ17_TSA-028:21	ces pa'ang 'gyur med rdo rjes so //	2	ces ba gyur med rdo rjes so 
