segmentnr	original	folio	stemmed
BO_TZ18_TSHA-005:0	sman mchod mtshhan don ni /	0	sman mchod mtshhan don ni 
BO_TZ18_TSHA-005:1	khyab bdag kun bzang drug pa rdo rje 'chang //	0	khyab bdag kun bzang drug ba rdo rje chang 
BO_TZ18_TSHA-005:2	rdo rje chos dang 'jam dpal bshes gnyen la //	0	rdo rje chos dang jam dpal bshes gnyen la 
BO_TZ18_TSHA-005:3	ye shes bdud rtshi sman gyi mchod pa 'bul //	0	ye shes bdud rtshi sman gyi mchod ba bul 
BO_TZ18_TSHA-005:4	tshhe dbang mthu yi dngos grub bstshal du gsol //	0	tshhe dbang mthu yi dngos grub bstshal du gsol 
BO_TZ18_TSHA-005:5	ma ha pany+tsha a mr-ita om ahhu~m/	0	ma ha pany+tsha a mr-ita om 
BO_TZ18_TSHA-005:6	gtshug lag dpal dge khrag 'thung nag po dang // shan+tim gar+b+ha ba su d+ha ra la //	0	gtshug lag dpal dge khrag thung nag po dang shan+tim gar+b+ha ba su d+ha ra la 
BO_TZ18_TSHA-005:7	ye shes bdud rtshi sman gyi mchod pa 'bul //	0	ye shes bdud rtshi sman gyi mchod ba bul 
BO_TZ18_TSHA-005:8	tshhe dbang mthu yi dngos grub bstshal du gsol //	0	tshhe dbang mthu yi dngos grub bstshal du gsol 
BO_TZ18_TSHA-005:9	ma ha pany+tsha a mr-ita om ahhu~m/	0	ma ha pany+tsha a mr-ita om 
BO_TZ18_TSHA-005:10	rgyal ba kun dngos pad 'byung yab yum dang // sangs rgyas ye shes lo chen bai ro la //	1	rgyal ba kun dngos pad byung yab yum dang sangs rgya ye shes lo chen bai ro la 
BO_TZ18_TSHA-005:11	ye shes bdud rtshi sman gyi mchod pa 'bul //	1	ye shes bdud rtshi sman gyi mchod ba bul 
BO_TZ18_TSHA-005:12	tshhe dbang mthu yi dngos grub bstshal du gsol //	1	tshhe dbang mthu yi dngos grub bstshal du gsol 
BO_TZ18_TSHA-005:13	ma ha pany+tsha a mr-ita om ahhu~m/	1	ma ha pany+tsha a mr-ita om 
BO_TZ18_TSHA-005:14	chos rgyal yab sras mchog gyur bde chen gling //	1	chos rgyal yab sras mchog gyur bde chen gling 
BO_TZ18_TSHA-005:15	chos bdag skyes mchog brgyud par bcas rnams la //	1	chos bdag skye mchog brgyud ba cha rnams la 
BO_TZ18_TSHA-005:16	ye shes bdud rtshi sman gyi mchod pa 'bul //	1	ye shes bdud rtshi sman gyi mchod ba bul 
BO_TZ18_TSHA-005:17	tshhe dbang mthu yi dngos grub bstshal du gsol //	1	tshhe dbang mthu yi dngos grub bstshal du gsol 
BO_TZ18_TSHA-005:18	ma ha pany+tsha a mr-ita om ahhu~m/	1	ma ha pany+tsha a mr-ita om 
BO_TZ18_TSHA-005:19	phyag rgya zil gnon gyad gnon lha brgyad sogs //	1	phyag rgya zil gnon gyad gnon lha brgyad sogs 
BO_TZ18_TSHA-005:20	'jam dpal zhi khro'i dkyil 'khor lha tshhogs la //	2	jam dpal zhi khro dkyil khor lha tshhogs la 
BO_TZ18_TSHA-005:21	ye shes bdud rtshi sman gyi mchod pa 'bul //	2	ye shes bdud rtshi sman gyi mchod ba bul 
BO_TZ18_TSHA-005:22	tshhe dbang mthu yi dngos grub bstshal du gsol //	2	tshhe dbang mthu yi dngos grub bstshal du gsol 
BO_TZ18_TSHA-005:23	ma ha pany+tsha a mr-ita om ahhu~m/	2	ma ha pany+tsha a mr-ita om 
BO_TZ18_TSHA-005:24	las gshin gza' bdud dregs pa sde lnga sogs //	2	las gshin gza bdud dregs ba sde lnga sogs 
BO_TZ18_TSHA-005:25	chos gter skyong ba'i dam can rgya mtshho la //	2	chos gter skyong ba dam can rgya mtshho la 
BO_TZ18_TSHA-005:26	ye shes bdud rtshi sman gyi mchod pa 'bul //	2	ye shes bdud rtshi sman gyi mchod ba bul 
BO_TZ18_TSHA-005:27	tshhe dbang mthu yi dngos grub bstshal du gsol //	2	tshhe dbang mthu yi dngos grub bstshal du gsol 
BO_TZ18_TSHA-005:28	ma ha pany+tsha a mr-ita om ahhu~m/	2	ma ha pany+tsha a mr-ita om 
BO_TZ18_TSHA-005:29	bdud rtshi'i lhag mas gnas gsum thig le bya zhing lcer myang la /	2	bdud rtshi lhag mas gnas gsum thig le byed zhing lcer myang la 
BO_TZ18_TSHA-005:30	om ahhu~m ka ya wa ka tshit+ta badzra a mr-ita sarba sid+d+hi pha la hoh	3	om ahhu~m ka ya wa ka tshit+ta badzra a mr-ita sarba sid+d+hi pha la hoh 
BO_TZ18_TSHA-005:31	zhes brjod / gu nas zhabs tog tu spel ba dge //	3	zhes rjod gu nas zhabs tog tu spel ba dge 
