segmentnr	original	folio	stemmed
BO_TZ20_WA-053:0	na mo gu ru a yur+dz+nya na pa ri mi ta yai /	0	na mo gu ru a yur+dz+nya na ba ri mi ta yai 
BO_TZ20_WA-053:1	gter gsar tshhe dkar las byang gi skyabs 'gro'i gong du /	0	gter gsar tshhe dkar las byang gi skyob gro gong du 
BO_TZ20_WA-053:2	rang gi snying ga'i hrihlas 'od zer 'phros pas bla ma rig 'dzin pad+ma tshhe dpag med rtsha gsum sgyu 'phrul drwa ba chen po'i lha tshhogs mkha' khyab tu sad par gyur /	0	rang gi snying ga hrihlas d zer phro ba bla ma rig dzin pad+ma tshhe dpog med rtsha gsum sgyu phrul drwa ba chen po lha tshhogs mkha khyab tu sad ba gyur 
BO_TZ20_WA-053:3	na mo : bla ma rig 'dzin sogs /	0	na mo bla ma rig dzin sogs 
BO_TZ20_WA-053:4	! sngon gtor gyi gong du /	0	sngon thor gyi gong du 
BO_TZ20_WA-053:5	rang nyid skad cig gis dbang chen rta mchog he ru ka gzi byin dus mtha'i me ltar 'bar ba'i skur gyur /	0	rang nyid skad cig gis dbang chen rta mchog he ru ka gzi byin dus mtha me ltar bar ba skur gyur 
BO_TZ20_WA-053:6	om ha ya gri wa hu~m phat/	0	om ha ya gri wa hu~m 
BO_TZ20_WA-053:7	kyis bsang / swa b+ha was sbyang /	0	kyis bsang swa b+ha was sbyong 
BO_TZ20_WA-053:8	stong pa'i ngang las so so'i yid dang mthun pa'i snod yangs shing rgya che ba rnams kyi nang du /	0	stong ba ngang las so so yid dang mthun ba snod yangs shing rgya che ba rnams kyi nang du 
BO_TZ20_WA-053:9	bcud 'dod yon gyi dngos po dbang po lnga'i yul du zag med kyi bde bas tshhim par byed nus pa'i rang bzhin du gyur /	0	bcud dod yon gyi dngos po dbang po lnga yul du zag med kyi bde ba tshhim ba byed nus ba rang bzhin du gyur 
BO_TZ20_WA-053:10	rgya bcas / om ahhu~m/	1	rgya cha om 
BO_TZ20_WA-053:11	gsum / ha hohhrih	1	gsum ha hohhrih 
BO_TZ20_WA-053:12	gcig /sarba b+hu ta a kar+sha ya dzah	1	gcig b+hu ta a kar+sha ya dzah 
BO_TZ20_WA-053:13	sarba big+h+nan na mahsogs nas /	1	sarba big+h+nan na mahsogs nas 
BO_TZ20_WA-053:14	kham gr-ih+ne dam ba l+ya di swa ha/	1	kham gr-ih+ne dam ba l+ya di swa 
BO_TZ20_WA-053:15	gsum gyis bsngos la /	1	gsum gyis sngo la 
BO_TZ20_WA-053:16	hu~m hu~m hu~m: dus gsum sangs rgyas sogs kyis bka' bsgo /	1	hu~m hu~m hu~m: dus gsum sangs rgya sogs kyis bka sgo 
BO_TZ20_WA-053:17	! mchod pa byin rlabs skabs su /	1	mchod ba byin rlabs skabs su 
BO_TZ20_WA-053:18	ram yam kham gis bsang /	1	ram yam kham gis bsang 
BO_TZ20_WA-053:19	swa b+ha was sbyang /	1	swa b+ha was sbyong 
BO_TZ20_WA-053:20	stong pa'i ngang las gnas khang pad+mo bde ba can gyi zhing khams rgya tshhad bkod pa ngo mtshhar bsam gyis mi khyab pa'i phyogs kun tu /	2	stong ba ngang las gnas khang pad+mo bde ba can gyi zhing khams rgya tshhad bkod ba ngo mtshhar bsam gyis mi khyab ba phyogs kun tu 
BO_TZ20_WA-053:21	mchog gi rin po che'i snod yangs shing rgya che ba rnams kyi nang du /	2	mchog gi rin po che snod yangs shing rgya che ba rnams kyi nang du 
BO_TZ20_WA-053:22	mchod yon / zhabs bsil /	2	mchod yon zhabs bsil 
BO_TZ20_WA-053:23	me tog /bdug spos /	2	me tog spros 
BO_TZ20_WA-053:24	snang gsal / dri chab /	2	snang gsal dri chab 
BO_TZ20_WA-053:25	zhal zas / rol mo ste mngon par 'phags pa'i lha rdzas las grub pa'i nye bar spyod pa rnams dang / gzugs sgra dri ro reg bya ste 'dod pa'i yon tan lnga /	2	zhal zas rol mo ste mngon ba phag ba lha rdzas las grub ba nye ba spyod ba rnams dang gzugs sgra dri ro reg byed ste dod ba yon tan lnga 
BO_TZ20_WA-053:26	rgyal srid rin po che rnam pa bdun /	2	rgyal srid rin po che rnam ba bdun 
BO_TZ20_WA-053:27	bkra shis pa'i rtags brgyad /	2	bkra shis ba rtags brgyad 
BO_TZ20_WA-053:28	rdo rje'i lha mo bcu drug	2	rdo rje lha mo chu drug 
BO_TZ20_WA-053:29	/dug lnga rnam par dag pa'i ye shes kyi bdud rtshi /	2	lnga rnam ba dag ba ye shes kyi bdud rtshi 
