segmentnr	original	folio	stemmed
BO_TZ20_WA-057:0	@#// zab bdun rtsha gsum gdams skor las /	0	zab bdun rtsha gsum doms skor las 
BO_TZ20_WA-057:1	'chi med tshhe'i phrin las rgyun khyer pad+ma'i snying po zhes bya ba bzhugs so //	0	chi med tshhe phrin las rgyun khyer pad+ma snying po zhes byed ba bzhugs so 
BO_TZ20_WA-057:2	bla ma rnam snang tshhe dpag med /	0	bla ma rnam snang tshhe dpog med 
BO_TZ20_WA-057:3	rig rtshal sprul 'khor bcas la 'dud //	0	rig rtshal sprul khor cha la dud 
BO_TZ20_WA-057:4	sngon med zab gsang ngo mtshhar yang //	0	sngon med zab gsang ngo mtshhar yang 
BO_TZ20_WA-057:5	spros phyir rgyun du khyer bder bkod //	0	spros phyir rgyun du khyer bder bkod 
BO_TZ20_WA-057:6	'chi med tshhe dpag med rigs lnga spyi sgrub kyi las byang chen mor sngon 'gro dngos gzhi rjes gsum /	0	chi med tshhe dpog med rigs lnga spyi sgrub kyi las byang chen mor sngon gro dngos gzhi rjes gsum 
BO_TZ20_WA-057:7	de re re la sa bcad bcu res bstan pa las /	0	de re re la sa gcod chu res ston ba las 
BO_TZ20_WA-057:8	thog mar sngon 'gro'i sa khong rgyud sbyang ba ni /	0	thogs mar sngon gro sa khong brgyud sbyong ba ni 
BO_TZ20_WA-057:9	na mo / bla ma tshhe dpag med pa 'khor dang bcas //	0	na mo bla ma tshhe dpog med ba khor dang cha 
BO_TZ20_WA-057:10	chos kyi dbyings nas 'dir gshegs gdan la bzhugs //	1	chos kyi dbyings nas dir gshegs gdan la bzhugs 
BO_TZ20_WA-057:11	phyag 'tshhal skyabs mchi mchod 'bul nyes ltung bshags //	1	phyag tshhal skyob mchi mchod bul nyes ltung chags 
BO_TZ20_WA-057:12	yi rang chos 'khor bskul cing rtag bzhugs gsol //	1	yi rang chos khor skul cing rtag bzhugs gsol 
BO_TZ20_WA-057:13	dge ba 'gror bsngo bdag gis 'chi med mchog	1	dge ba gror sngo bdag gis chi med mchog 
BO_TZ20_WA-057:14	/bsgrubs nas gzhan don byed par sems bskyed do //	1	nas gzhan don byed ba sems skyed do 
BO_TZ20_WA-057:15	bgegs gtor gtang na /	1	bgegs thor gtong na 
BO_TZ20_WA-057:16	byin brlab sngags bsngos spyi 'gre byas la /	1	byin brlab sngags sngo spyi gre byed la 
BO_TZ20_WA-057:17	hu~m hu~m hu~m: dus gsum sangs rgyas dpal chen khro bo'i bka':	1	hu~m hu~m hu~m: dus gsum sangs rgya dpal chen khro bo bka: 
BO_TZ20_WA-057:18	nyon cig tshhe la bar gcod 'chi bdag bdud :	1	nyon cig tshhe la ba gcod chi bdag bdud 
