segmentnr	original	folio	stemmed
BO_TZ22_ZA-011:0	yang gter thugs rje chen po pad+ma rgyal po'i brgyud pa'i gsol 'debs bzhugs so //	0	yang gter thugs rje chen po pad+ma rgyal po brgyud ba gsol debs bzhugs so 
BO_TZ22_ZA-011:1	gdod ma'i mgon po kun bzang 'od dpag med //	0	gdod ma mgon po kun bzang d dpog med 
BO_TZ22_ZA-011:2	nges pa lnga ldan gar dbang spyan ras gzigs //	0	nges ba lnga ldan gar dbang spyan ras gzigs 
BO_TZ22_ZA-011:3	thugs rje'i sgyu 'phrul pad+ma ka ra la //	0	thugs rje sgyu phrul pad+ma ka ra la 
BO_TZ22_ZA-011:4	gsol ba 'debs so smin grol dngos grub stshol //	0	gsol ba debs so smin grol dngos grub stshol 
BO_TZ22_ZA-011:5	dbyings phyug mkha' 'gro'i gtsho mo mtshho rgyal yum //	0	dbyings phyug mkha gro gtsho mo mtshho rgyal yum 
BO_TZ22_ZA-011:6	rgyal sras lha rje ye shes mchog grub rgyal //	0	rgyal sras lha rje ye shes mchog grub rgyal 
BO_TZ22_ZA-011:7	mtshhan ldan lha yi sras mo legs bzher mar /	0	mtshhan ldan lha yi sras mo legs bzher mar 
BO_TZ22_ZA-011:8	gsol ba 'debs so smin grol dngos grub stshol //	0	gsol ba debs so smin grol dngos grub stshol 
BO_TZ22_ZA-011:9	zab gter mnga' bdag nyi ma seng ge rtshal //	0	zab gter mnga bdag nyi ma seng ge rtshal 
BO_TZ22_ZA-011:10	bka' bab bdun ldan pad+ma mdo sngags gling //	1	bka bab bdun ldan pad+ma mdo sngags gling 
BO_TZ22_ZA-011:11	chos bdag rig 'dzin rtsha brgyud bla ma la //	1	chos bdag rig dzin rtsha brgyud bla ma la 
BO_TZ22_ZA-011:12	gsol ba 'debs so smin grol dngos grub stshol //	1	gsol ba debs so smin grol dngos grub stshol 
BO_TZ22_ZA-011:13	'gro 'dul pad+ma rgyal po'i dkyil 'khor lha //	1	gro dul pad+ma rgyal po dkyil khor lha 
BO_TZ22_ZA-011:14	rgyal ba sras bcas dpa' bo rnal 'byor ma //	1	rgyal ba sras cha dpa bo rnal byor ma 
BO_TZ22_ZA-011:15	chos gter srung ma dam can rgya mtshho la //	1	chos gter srung ma dam can rgya mtshho la 
BO_TZ22_ZA-011:16	gsol ba 'debs so smin grol dngos grub stshol //	1	gsol ba debs so smin grol dngos grub stshol 
BO_TZ22_ZA-011:17	smin byed gsos thebs sgom pa'i mthun rkyen 'byor //	1	smin byed gsos thebs sgom ba mthun rkyen byor 
BO_TZ22_ZA-011:18	bskyed rim brtan thob bsnyen sgrub mtha' ru phyin //	1	skyed rim brtan thob snyen sgrub mtha ru phyin 
BO_TZ22_ZA-011:19	thun mong khyad par las kyi sbyor ba yis //	1	thun mong khyad ba las kyi sbyor ba yis 
BO_TZ22_ZA-011:20	mkha' khyab 'gro kun dbyings su sgrol bar shog	2	mkha khyab gro kun dbyings su sgrol ba shog 
BO_TZ22_ZA-011:21	/sems byung rnyog ma zhi nas chos nyid mthong //	2	byung rnyog ma zhi nas chos nyid mthong 
BO_TZ22_ZA-011:22	zung 'jug nyams 'phel snang rig tshhad la phebs //	2	zung jug nyams phel snang rig tshhad la phebs 
BO_TZ22_ZA-011:23	chos can 'khrul pa chos nyid dbyings su zad //	2	chos can khrul ba chos nyid dbyings su zad 
BO_TZ22_ZA-011:24	ye shes rtshal kha phyogs med rgyas par shog	2	ye shes rtshal kha phyogs med rgya ba shog 
BO_TZ22_ZA-011:25	/byang chub sems mchog skyes brtan gong du 'phel //	2	chub sems mchog skye brtan gong du phel 
BO_TZ22_ZA-011:26	lam lnga sa bcu skad cig nyid la bgrod //	2	lam lnga sa chu skad cig nyid la bgrod 
BO_TZ22_ZA-011:27	'gro 'dul pad+ma rgyal dang dbyer med par //	2	gro dul pad+ma rgyal dang dbyer med ba 
BO_TZ22_ZA-011:28	nam mkha' ji srid gzhan don lhun grub shog	2	nam mkha ji srid gzhan don lhun grub shog 
BO_TZ22_ZA-011:29	/ces pa'ang pad+ma gar dbang blo gros mtha' yas kyis bgyis pa dge legs 'phel ///	2	ba pad+ma gar dbang blo gros mtha yas kyis bgyid ba dge legs phel 
