segmentnr	original	folio	stemmed
BO_TZ32_KHI-053:0	zab bdun mngon rdzogs rgyal po'i mdos kyi 'gres bya ni /gnas 'dir spyan 'dren gshegs su gsol :	0	zab bdun mngon rdzogs rgyal po mdos kyi gre byed ni dir spyan bgrang gshegs su gsol 
BO_TZ32_KHI-053:1	brjid cing mdzes pa'i khri la bzhugs :	0	brjid cing mdzes ba khri la bzhugs 
BO_TZ32_KHI-053:2	zhal zas gtor ma'i mchod pa 'bul :	0	zhal zas thor ma mchod ba bul 
BO_TZ32_KHI-053:3	bdud rtshi sman gyi mchod pa 'bul :	0	bdud rtshi sman gyi mchod ba bul 
BO_TZ32_KHI-053:4	rak+ta dmar gyi mchod pa 'bul :	0	rak+ta dmar gyi mchod ba bul 
BO_TZ32_KHI-053:5	phyag mtshhan lnga ni 'od du 'bar :	0	phyag mtshhan lnga ni d du bar 
BO_TZ32_KHI-053:6	rgyal srid sna bdun bkra shis rdzas :	0	rgyal srid sna bdun bkra shis rdzas 
BO_TZ32_KHI-053:7	bkra shis rtags brgyad 'dod yon lnga :	0	bkra shis rtags brgyad dod yon lnga 
BO_TZ32_KHI-053:8	mchod yon zhabs bsil me tog spos :	0	mchod yon zhabs bsil me tog spros 
BO_TZ32_KHI-053:9	mar me dri chab zhal zas dang : sil snyan dril bu ting ting shag :	0	mar me dri chab zhal zas dang sil snyan dril bu ting ting shag 
BO_TZ32_KHI-053:10	rkang gling thod rnga dung gi sgra :	1	rkang gling thod rnga dung gi sgra 
BO_TZ32_KHI-053:11	mchod pa 'bul lo bzhes su gsol :	1	mchod ba bul lo bzhes su gsol 
BO_TZ32_KHI-053:12	sra ba'i go dang rno ba'i mtshhon :	1	sra ba go dang rno ba mtshhon 
BO_TZ32_KHI-053:13	sna tshhogs dar gyi cod pan can :	1	sna tshhogs dar gyi cod pan can 
BO_TZ32_KHI-053:14	rta nag g.yag nag dar gyis brgyan :	1	rta nag g.yag nag dar gyis rgyan 
BO_TZ32_KHI-053:15	lug nag spyi dkar lcags rwa can :	1	lug nag spyi dkar lcags rwa can 
BO_TZ32_KHI-053:16	ra nag mchong gi rwa co can :	1	ra nag mchong gi rwa co can 
BO_TZ32_KHI-053:17	khyi nag dung gi mche ba can :	1	khyi nag dung gi mche ba can 
BO_TZ32_KHI-053:18	lcags kyi bya nag la sogs pa :	1	lcags kyi byed nag la sogs ba 
BO_TZ32_KHI-053:19	srid pa'i gzugs 'gros sna tshhogs pa :	1	srid ba gzugs gros sna tshhogs ba 
BO_TZ32_KHI-053:20	snang srid mdos su byin brlabs pa'i :	2	snang srid mdos su byin brlabs ba 
BO_TZ32_KHI-053:21	mchod pa 'bul lo bzhes su gsol :	2	mchod ba bul lo bzhes su gsol 
BO_TZ32_KHI-053:22	chos dbyings sprin chen gdugs su phub :	2	chos dbyings sprin chen gdugs su bubs 
BO_TZ32_KHI-053:23	thabs shes rgyal mtshhan 'phan dar phyar :	2	thabs shes rgyal mtshhan phan dar phyar 
BO_TZ32_KHI-053:24	srid pa'i 'byor tshhogs ma lus pa :	2	srid ba byor tshhogs ma lus ba 
BO_TZ32_KHI-053:25	khams gsum mdos su byin brlabs te :	2	khams gsum mdos su byin brlabs te 
BO_TZ32_KHI-053:26	mchod par 'bul lo bzhes su gsol :	2	mchod ba bul lo bzhes su gsol 
BO_TZ32_KHI-053:27	dngos su 'byor dang yid kyis sprul :snang srid mchod pa'i bye brag rnams :	2	dngos su byor dang yid kyis sprul :snang srid mchod ba bye brag rnams 
BO_TZ32_KHI-053:28	bdag gi lus dang longs spyod bcas :	2	bdag gi lus dang longs spyod cha 
BO_TZ32_KHI-053:29	mchod rdzas mdos su byin brlabs te :	2	mchod rdzas mdos su byin brlabs te 
BO_TZ32_KHI-053:30	mchod par 'bul lo bzhes su gsol :	3	mchod ba bul lo bzhes su gsol 
BO_TZ32_KHI-053:31	slob dpon thugs dkrugs dam 'gal bshags :	3	slob dpon thugs dkrug dam gal chags 
BO_TZ32_KHI-053:32	byin gyis brlab par mdzad du gsol :	3	byin gyis brlab ba mdzad du gsol 
BO_TZ32_KHI-053:33	dbang bzhis rgyud smin grol ba dang : 'gro drug thugs rjes 'dzin pa dang : rdo rje theg pa'i bstan pa mchog :	3	dbang bzhis brgyud smin grol ba dang gro drug thugs rjes dzin ba dang rdo rje theg ba ston ba mchog 
BO_TZ32_KHI-053:34	yun du gnas par mdzad du gsol :	3	yun du gnas ba mdzad du gsol 
BO_TZ32_KHI-053:35	! gzhal yas rim pa bzhi pa kai seng man la 'gres byang rtags mtshhams man 'di ltara'agres sgyur /snang srid mchod pa'i bye brag rnams :	3	jal yas rim ba bzhi ba kai seng man la gre byang rtags mtshhams man di ltaraagres sgyur srid mchod ba bye brag rnams 
BO_TZ32_KHI-053:36	mchod rdzas mdos su byin brlabs te :	3	mchod rdzas mdos su byin brlabs te 
BO_TZ32_KHI-053:37	mchod par 'bul lo bzhes su gsol :	3	mchod ba bul lo bzhes su gsol 
BO_TZ32_KHI-053:38	gsang sngags dam las 'gal ba bshags :	3	gsang sngags dam las gal ba chags 
BO_TZ32_KHI-053:39	'jig rten g.yo 'khrugs zlog tu gsol :	3	jig rten g.yo khrugs zlog tu gsol 
