segmentnr	original	folio	stemmed
BO_TZ33_GI-009:0	@#// bla ma mkha' 'gro bdud 'dul ma'i dkyil 'khor lha tshhogs la gtor ma 'bul ba'i las rim grub gnyis rol mtshho zhes bya ba bzhugs so //	0	bla ma mkha gro bdud dul ma dkyil khor lha tshhogs la thor ma bul ba las rim grub gnyis rol mtshho zhes byed ba bzhugs so 
BO_TZ33_GI-009:1	bla ma mkha' 'gro bcom ldan 'das ma rdo rje phag gdong gsang ye bdud 'dul ma la phyag 'tshhal lo //	0	bla ma mkha gro joms ldan da ma rdo rje phag gdong gsang ye bdud dul ma la phyag tshhal lo 
BO_TZ33_GI-009:2	bla ma mkha' 'gro'i tshhogs la thun par gtor ma 'bul ba ni /	0	bla ma mkha gro tshhogs la thun ba thor ma bul ba ni 
BO_TZ33_GI-009:3	sgrub mchod kyi gtor ma rnams la gtor gsos dang sman raka bran /	0	sgrub mchod kyi thor ma rnams la thor gsos dang sman raka bran 
BO_TZ33_GI-009:4	rang nyid mkha' 'gro'i nga rgyal gsal bas dmigs pa'i 'phro 'du dang bcas pas 'di bzhin brjod /	0	rang nyid mkha gro nga rgyal gsal ba dmigs ba phro du dang cha ba di bzhin rjod 
BO_TZ33_GI-009:5	bdag nyid bla ma mkha' 'gro'i thugs ka nas //	0	bdag nyid bla ma mkha gro thugs ka nas 
BO_TZ33_GI-009:6	'od zer a yig gsum dang om chad pas //	0	d zer a yig gsum dang om chad ba 
BO_TZ33_GI-009:7	'og gzhi yam las rlung ljang rgya gram steng //	0	g gzhi yam las rlung ljang rgya grams steng 
BO_TZ33_GI-009:8	ram dmar me 'bar dbus su a gsum las //	0	ram dmar me bar dbus su a gsum las 
BO_TZ33_GI-009:9	mi mgo'i sgyed pu ri rab tsham gyi steng //	0	mi mgo sgyed pu ri rab tsham gyi steng 
BO_TZ33_GI-009:10	om las gtor snod thod zhal stong gsum mnyam //	1	om las thor snod thod zhal stong gsum mnyam 
BO_TZ33_GI-009:11	ah'phros thod nang gtor rdzas ngo bo ni //	1	ahphros thod nang thor rdzas ngo bo ni 
BO_TZ33_GI-009:12	go ku da ha na las sha lnga dang // bi ra shu ma mu las bdud rtshi lnga //	1	go ku da ha na las sha lnga dang bi ra shu ma mu las bdud rtshi lnga 
BO_TZ33_GI-009:13	zla ba'i kha chod steng du hu~m 'phros pas //	1	zla ba kha chod steng du hu~m phro ba 
BO_TZ33_GI-009:14	kha t+wam mgo bo thur bstan rtshe mo gsum //	1	kha t+wam mgo bo thur ston rtshe mo gsum 
BO_TZ33_GI-009:15	om ahhu~m gis mtshhan pa'i yu ba la //	1	om ahhu~m gis mtshhan ba yu ba la 
BO_TZ33_GI-009:16	om mum phyogs bzhir hu~m tram hriha dang // mam pam tam lam rnams kyis mtshhan par gyur //	1	om mum phyogs bzhir hu~m tram hriha dang mam pam tam lam rnams kyis mtshhan ba gyur 
BO_TZ33_GI-009:17	gtsho mo'i thugs las 'od 'phros da ki lngas //	1	gtsho mo thugs las d phro da ki lngas 
BO_TZ33_GI-009:18	rlung g.yab rab g.yos me 'bar nus pa yis //	1	rlung g.yab rab g.yos me bar nus ba yis 
BO_TZ33_GI-009:19	thod pa dros nas nang gi rdzas rnams khol //	1	thod ba dro nas nang gi rdzas rnams khol 
BO_TZ33_GI-009:20	rab 'phyur ma dag dri rnyogs phyi rol lud //	2	rab phyur ma dag dri rnyogs phyi rol lud 
BO_TZ33_GI-009:21	mkha' 'gro lnga yis nam mkhar bltas pa yis //	2	mkha gro lnga yis nam mkhar lta ba yis 
BO_TZ33_GI-009:22	a ral+li dang phem phem hrim hrim dzah	2	a ral+li dang phem phem hrim hrim dzah 
BO_TZ33_GI-009:23	dzahhu~m bam hohzhes pa'i sngags kyi sgras //	2	dzahhu~m bam hohzhes ba sngags kyi sgras 
BO_TZ33_GI-009:24	phyogs bcu'i sangs rgyas byang sems ma lus pa //	2	phyogs chu sangs rgya byang sems ma lus ba 
BO_TZ33_GI-009:25	rigs lnga'i rnam par spyan drangs rang rang gi	2	rigs lnga rnam ba spyan drangs rang rang gi 
BO_TZ33_GI-009:26	/sa bon la thim rdo rje kha t+wam ga	2	bon la thim rdo rje kha t+wam ga 
BO_TZ33_GI-009:27	/g.yas su 'khor bas nang gi rdzas rnams dkrugs //	2	su khor ba nang gi rdzas rnams dkrug 
BO_TZ33_GI-009:28	sa bon rnams las bdud rtshi'i rgyun babs pas //	2	sa bon rnams las bdud rtshi rgyun bab ba 
BO_TZ33_GI-009:29	zla ba la thim zla ba'i bdud rtshi ni //	2	zla ba la thim zla ba bdud rtshi ni 
BO_TZ33_GI-009:30	bsil zer ldan pa nang bcud tshha ngar ldan //	3	bsil zer ldan ba nang bcud tshha ngar ldan 
BO_TZ33_GI-009:31	gnyis med sa bon zla ba 'od du zhu //	3	gnyis med sa bon zla ba d du ju 
BO_TZ33_GI-009:32	bcud rdzas la thim tshha grang bsnyams gyur pa'i //	3	bcud rdzas la thim tshha grang snyom gyur ba 
BO_TZ33_GI-009:33	rlangs pa phyur phyur 'dod yon sprin du 'khrigs //	3	rlangs ba phyur phyur dod yon sprin du khrig 
BO_TZ33_GI-009:34	mkha' 'gro sde lngas 'bru gsum sngags brjod pas //	3	mkha gro sde lngas bru gsum sngags rjod ba 
