segmentnr	original	folio	stemmed
BO_TZ34_NGI-007:0	lok+t+ri'i brgyud 'debs ni /	0	lok+t+ri brgyud debs ni 
BO_TZ34_NGI-007:1	drang srong dri med d+harma a shwa ka	0	dren srong dri med d+harma a shwa ka 
BO_TZ34_NGI-007:2	/bram ze legs grub pra b+ha hasti dang // shan+tim gar+b+ha pad+ma 'byung gnas la //	0	ze legs grub pra b+ha hasti dang shan+tim gar+b+ha pad+ma byung gnas la 
BO_TZ34_NGI-007:3	gsol ba 'debs so sde brgyad zil non shog	0	gsol ba debs so sde brgyad zil non shog 
BO_TZ34_NGI-007:4	/khri srong yab sras nyang ral 'gro ba'i mgon //	0	srong yab sras nyang ral gro ba mgon 
BO_TZ34_NGI-007:5	chos kyi dbang phyug pad+ma dbang chen dang // mar ston sangs rgyas gnyan ston bkras seng la //	0	chos kyi dbang phyug pad+ma dbang chen dang mar ston sangs rgya gnyan ston bkras seng la 
BO_TZ34_NGI-007:6	gsol ba 'debs so sde brgyad zil non shog	0	gsol ba debs so sde brgyad zil non shog 
BO_TZ34_NGI-007:7	/chos nyid rang grol sangs rgyas lhun dbang dang // kun dga' bkra shis rgyal sras chos kyi rje //	0	nyid rang grol sangs rgya lhun dbang dang kun dga bkra shis rgyal sras chos kyi rje 
BO_TZ34_NGI-007:8	chos 'phags bzang po shakya dpal bzang la //	0	chos phag bzang po shakya dpal bzang la 
BO_TZ34_NGI-007:9	gsol ba 'debs so sde brgyad zil non shog	0	gsol ba debs so sde brgyad zil non shog 
BO_TZ34_NGI-007:10	/'jam dbyangs rgyal mtshhan mkha' dbyings rdo rje dang // rin chen phun tshhogs mnga' ris legs ldan zhabs //	1	dbyangs rgyal mtshhan mkha dbyings rdo rje dang rin chen phun tshhogs mnga ris legs ldan zhabs 
BO_TZ34_NGI-007:11	chos rgyal phun tshhogs dbur smyon chos grags la //	1	chos rgyal phun tshhogs dbur smyon chos grags la 
BO_TZ34_NGI-007:12	gsol ba 'debs so sde brgyad zil non shog	1	gsol ba debs so sde brgyad zil non shog 
BO_TZ34_NGI-007:13	/dkon mchog lhun grub chos rgyal gter bdag gling //	1	mchog lhun grub chos rgyal gter bdag gling 
BO_TZ34_NGI-007:14	rin chen rnam rgyal o rgyan bstan rdor dpal //	1	rin chen rnam rgyal o rgyan ston rdar dpal 
BO_TZ34_NGI-007:15	phrin las rnam rgyal rtsha brgyud bla ma la //	1	phrin las rnam rgyal rtsha brgyud bla ma la 
BO_TZ34_NGI-007:16	gsol ba 'debs so sde brgyad zil non shog	1	gsol ba debs so sde brgyad zil non shog 
BO_TZ34_NGI-007:17	/rig gtad lung dang man ngag dmar khrid la //	1	gtod lung dang man ngag dmar khrid la 
BO_TZ34_NGI-007:18	brten nas bskyed rim bsnyen srung zlog gsad kyi //	1	rten nas skyed rim snyen srung zlog gsad kyi 
BO_TZ34_NGI-007:19	phrin las kun 'grub ka dag mkha' dbyings su //	1	phrin las kun grub ka dag mkha dbyings su 
BO_TZ34_NGI-007:20	lhun grub 'od lnga'i ye shes rdzogs par shog	2	lhun grub d lnga ye shes rdzogs ba shog 
BO_TZ34_NGI-007:21	/ces pa'ang 'gyur med rdo rjes so //	2	ba gyur med rdo rjes so 
