segmentnr	original	folio	stemmed
BO_TZ35_CI-014:2000	sbas rgya : zab rgya :	200	sbed rgya zab rgya 
BO_TZ35_CI-014:2001	gnyan rgya : gtad rgya :	200	gnyan rgya gtod rgya 
BO_TZ35_CI-014:2002	gsang rgya : gu h+ya sa ma ya rgya rgya rgya :	200	gsang rgya gu h+ya sa ma ya rgya rgya rgya 
BO_TZ35_CI-014:2003	rmad du byung ba'i gsang ba rdo rje phag mo'i sgrub thabs ye shes 'khor lo 'di /	200	rmad du byung ba gsang ba rdo rje phag mo sgrub thabs ye shes khor lo di 
BO_TZ35_CI-014:2004	lo chung dkon mchog 'od kyi skye mtha' e spel lcog las 'phro gling pas /	200	lo chung dkon(d) mchog d kyi skye mtha e spel lcogs las phro gling ba 
BO_TZ35_CI-014:2005	rab byung dgu pa'i mthar yang klung shel brag pad+ma brtshegs pa nas ma 'gags rdzu 'phrul gyi rol pas spyan drangs /	200	rab byung dgu ba mthar yang klung shel brag pad+ma brtshegs ba nas ma gag rdzu phrul gyi rol ba spyan drangs 
BO_TZ35_CI-014:2006	gsang ba'i thugs dam du mdzad /	200	gsang ba thugs dam du mdzad 
BO_TZ35_CI-014:2007	slar shog ser lung byang ltar ldab gter du bzhugs pa chos bdag mkha' 'gro'i 'du bas /	200	slar shog ser lung byang ltar ldab gter du bzhugs ba chos bdag mkha gro du ba 
BO_TZ35_CI-014:2008	gter ston gyi ming ma btags kyang /	200	gter ston gyi ming ma dogs kyang 
BO_TZ35_CI-014:2009	rang byung chen po pad+ma yab yum gyi byin rlabs las shog ser bsgyur ba la spobs pa mi zhum pa kho bo pad+ma 'od gsal mdo sngags gling pa la mdongs gsol du sprad pa las /	200	rang byung chen po pad+ma yab yum gyi byin rlabs las shog ser sgyur ba la spobs ba mi zhum ba kho bo pad+ma d gsal mdo sngags gling ba la mdongs gsol du sprod ba las 
BO_TZ35_CI-014:2010	rab tshhes lcags pho 'brug gi lo'i cho 'phrul zla bar gtan la phab nas re zhig gsang ba'i rgyas btab /	201	rab tshhes lcags pho brug gi lo cho phrul zla ba gtan la bebs nas re jig gsang ba rgya debs 
BO_TZ35_CI-014:2011	slar shing sprel rgyal zla bar lo chen bai ro dngos byon 7o rgyan 'chi med bstan gnyis gling pa sogs mchog gi 'dus pa rnams la rim par spel ba'i brgyud pa'i nges pa'ang gter gzhung rtsha ba'i dgongs pa ltar /	201	slar shing sprel rgyal zla ba lo chen bai ro dngos byon 7o rgyan chi med ston gnyis gling ba sogs mchog gi du ba rnams la rim ba spel ba brgyud ba nges ba gter gzhung rtsha ba dgongs ba ltar 
BO_TZ35_CI-014:2012	chos sku kun bzang rdo rje 'chang /	201	chos sku kun bzang rdo rje chang 
BO_TZ35_CI-014:2013	longs sku 'khor lo bde mchog	201	longs sku khor lo bde mchog 
BO_TZ35_CI-014:2014	/sprul sku rdo rje phag mo /	201	sku rdo rje phag mo 
BO_TZ35_CI-014:2015	ye shes kyi mkha' 'gro ma las kyi dbang mo /	201	ye shes kyi mkha gro ma las kyi dbang mo 
BO_TZ35_CI-014:2016	o rgyan pad+ma badzra /	201	o rgyan pad+ma badzra 
BO_TZ35_CI-014:2017	rgyal yum ye shes mtshho rgyal /	201	rgyal yum ye shes mtshho rgyal 
BO_TZ35_CI-014:2018	mnga' bdag rje 'bangs 'dus pa /	201	mnga bdag rje bang du ba 
BO_TZ35_CI-014:2019	sprul pa'i gter ston khyung po dpal dge /	201	sprul ba gter ston khyung po dpal dge 
BO_TZ35_CI-014:2020	sprul sku bde chen gling pa /	202	sprul sku bde chen gling ba 
BO_TZ35_CI-014:2021	mchog ldan mdo sngags gling pa /	202	mchog ldan mdo sngags gling ba 
BO_TZ35_CI-014:2022	gar dbang las 'phro gling pa /	202	gar dbang las phro gling ba 
BO_TZ35_CI-014:2023	des bdag la nyams dang rmi lam gyi tshhul du smin grol gyi gdams pas byin gyis brlabs shing chos sgo dbye bar rjes su gnang ba bstshal pa'o //	202	des bdag la nyams dang rmi lam gyi tshhul du smin grol gyi doms ba byin gyis brlabs shing chos sgo byed ba rjes su gnang ba bstshal ba 
BO_TZ35_CI-014:2024	sarba da mang+ga lam b+ha ba tu ///	202	sarba da mang+ga lam b+ha ba tu 
