segmentnr	original	folio	stemmed
BO_TZ36_CHI-036:0	@#// dam chos snying po skor lnga las /	0	dam chos snying po skor lnga las 
BO_TZ36_CHI-036:1	mkha' 'gro dgongs 'dus snying po'i dbang chog phrin las yang snying zhes bya ba bzhugs so //	0	mkha gro dgongs du snying po dbang chog phrin las yang snying zhes byed ba bzhugs so 
BO_TZ36_CHI-036:2	sangs rgyas dgyes pas rol pa'i mkha'//	0	sangs rgya dgyes ba rol ba 
BO_TZ36_CHI-036:3	e dbyings chos rnams 'byung ba'i gnas //	0	e dbyings chos rnams byung ba gnas 
BO_TZ36_CHI-036:4	dbyings phyug tshhom bu'i skur snang la //	0	dbyings phyug tshhom bu skur snang la 
BO_TZ36_CHI-036:5	gus pas 'dud do gnang ba stshol //	0	gus ba dud do gnang ba stshol 
BO_TZ36_CHI-036:6	'di'i dbang bskur bsgrub pa la slob ma thun mong ma yin pa gcig gam gsum las mi mang ba la dbang bzhi yongs rdzogs /	0	di dbang skur sgrub ba la slob ma thun mong ma yin ba gcig gam gsum las mi mang ba la dbang bzhi yongs rdzogs 
BO_TZ36_CHI-036:7	thun mong la gtor dbang tsham las bskur du mi rung bas bye brag phyed par byas te lag tu blang ba'i tshhul la gnyis /	0	thun mong la thor dbang tsham las skur du mi rung ba bye brag phyed ba byed te lag tu blang ba tshhul la gnyis 
BO_TZ36_CHI-036:8	thun min dbang bzhi /	0	thun min dbang bzhi 
BO_TZ36_CHI-036:9	thun mong gtor dbang ngo //	0	thun mong thor dbang ngo 
BO_TZ36_CHI-036:10	dang po ni /	1	dang po ni 
BO_TZ36_CHI-036:11	stegs bur ras bris kyi dkyil 'khor bkram pa'am /	1	stegs bur ras bri kyi dkyil khor grem ba 
BO_TZ36_CHI-036:12	med na man+dal me tog gi tshhom bu gtsho 'khor dgu bkod pa'i steng du many+dzi'i khar rnam bum bcud ldan mgul chings mthing nag kha rgyan gzungs rdor dang bcas pa bzhag	1	med na man+dal me tog gi tshhom bu gtsho khor dgu bkod ba steng du many+dzi khar rnam bum bcud ldan mgul ching mthing nag kha rgyan gzungs rdar dang cha ba jog 
BO_TZ36_CHI-036:13	/rgyab ngos su dpal gtor rgyan spros dar gdugs dang bcas pa /	1	ngos su dpal thor rgyan spros dar gdugs dang cha ba 
BO_TZ36_CHI-036:14	g.yas su b+han+d+ha mtshhan ldan chang dang mngar gsum a mr-ita sbyar bas bkang ba /	1	g.yas su b+han+d+ha mtshhan ldan chang dang mngar gsum a mr-ita sbyor ba geng ba 
BO_TZ36_CHI-036:15	g.yon du rig tshaka	1	g.yon du rig tshaka 
BO_TZ36_CHI-036:16	/mdun du shel rdo dang rma bya'i mdongs /	1	du shel rdo dang rma byed mdongs 
BO_TZ36_CHI-036:17	sman raka gtor gsum /	1	sman raka thor gsum 
BO_TZ36_CHI-036:18	phyi mchod bskor bsham /	1	phyi mchod skor bsham 
BO_TZ36_CHI-036:19	las bum tshhogs gtor sogs 'du bya'o //	1	las bum tshhogs thor sogs du byed 
