segmentnr	original	folio	stemmed
BO_TZ36_CHI-043:0	dgongs gter sgrol ma'i brgyud 'debs ut+pa la'i phreng ba bzhugs so //	0	dgongs gter sgrol ma brgyud debs ut+pa la phreng ba bzhugs so 
BO_TZ36_CHI-043:1	chos sku sher phyin bcom ldan kun bzang mo //	0	chos sku sher phyin joms ldan kun bzang mo 
BO_TZ36_CHI-043:2	longs spyod yongs rdzogs badzra b+ha ra hi //	0	longs spyod yongs rdzogs badzra b+ha ra hi 
BO_TZ36_CHI-043:3	sprul pa'i rnam rol rje btshun sgrol ma yum //	0	sprul ba rnam rol rje btshun sgrol ma yum 
BO_TZ36_CHI-043:4	gsol ba 'debs so mchog thun dngos grub stshol //	0	gsol ba debs so mchog thun dngos grub stshol 
BO_TZ36_CHI-043:5	sangs rgyas gnyis pa pad+maka ra dang // gsang sngags mdzod 'dzin da ki 'bum gyi rje //	0	sangs rgya gnyis ba pad+maka ra dang gsang sngags mdzod dzin da ki bum gyi rje 
BO_TZ36_CHI-043:6	byang chub sems dpa' lha sras rol pa rtshal //	0	byang chub sems dpa lha sras rol ba rtshal 
BO_TZ36_CHI-043:7	gsol ba 'debs so mchog thun dngos grub stshol //	0	gsol ba debs so mchog thun dngos grub stshol 
BO_TZ36_CHI-043:8	zab gter sgo 'byed mchog gyur bde chen gling //	0	zab gter sgo byed mchog gyur bde chen gling 
BO_TZ36_CHI-043:9	bka' bab bdun ldan rdo rje gzi brjid rtshal //	0	bka bab bdun ldan rdo rje gzi brjid rtshal 
BO_TZ36_CHI-043:10	rgyal bstan gsal mdzad pad+ma gar gyi dbang //	1	rgyal ston gsal mdzad pad+ma gar gyi dbang 
BO_TZ36_CHI-043:11	gsol ba 'debs so mchog thun dngos grub stshol //	1	gsol ba debs so mchog thun dngos grub stshol 
BO_TZ36_CHI-043:12	gzhan yang zab rgyas smin grol mdzod 'dzin pa'i //	1	gzhan yang zab rgya smin grol mdzod dzin ba 
BO_TZ36_CHI-043:13	rtsha brgyud bla ma 'phags ma myur mdzad lha //	1	rtsha brgyud bla ma phag ma myur mdzad lha 
BO_TZ36_CHI-043:14	rtsha gsum rdo rje chos srung rgya mtshho la //	1	rtsha gsum rdo rje chos srung rgya mtshho la 
BO_TZ36_CHI-043:15	gsol ba 'debs so mchog thun dngos grub stshol //	1	gsol ba debs so mchog thun dngos grub stshol 
BO_TZ36_CHI-043:16	nges par 'byung ba'i blo rgyud zhing sa brlan //	1	nges ba byung ba blo brgyud zhing sa brlan 
BO_TZ36_CHI-043:17	lhag bsam dag pa'i ljon 'khrungs tshhar du dngar //	1	lhag bsam dag ba ljon khrung tshhar du dngar 
BO_TZ36_CHI-043:18	ye shes chen po'i 'bras bu g.yur za bas //	1	ye shes chen po bras bu g.yur za ba 
BO_TZ36_CHI-043:19	don gnyis lhun gyis grub par mdzad du gsol //	1	don gnyis lhun gyis grub ba mdzad du gsol 
BO_TZ36_CHI-043:20	zhes pa 'di yang many+dzu g+ho shas bris pa dge legs 'phel ///	2	zhes ba di yang many+dzu g+ho shas bri ba dge legs phel 
