segmentnr	original	folio	stemmed
BO_TZ39_TI-026:0	@#// lha chen thang lha gnyan po sgrub cing mchod pa'i phrin las kyi cho ga tshhangs pa lha'i rnga chen zhes bya ba bzhugs so //	0	lha chen thang lha gnyan po sgrub cing mchod ba phrin las kyi cho ga tshhangs ba lha rnga chen zhes byed ba bzhugs so 
BO_TZ39_TI-026:1	bla ma rje btshun thod phreng rtshal la phyag 'tshhal lo //	0	bla ma rje btshun thod phreng rtshal la phyag tshhal lo 
BO_TZ39_TI-026:2	dbang chen pad+ma'i bstan skyong sa brgyad bdag	0	dbang chen pad+ma ston skyong sa brgyad bdag 
BO_TZ39_TI-026:3	/dri za'i rgyal po stong gsum dregs pa'i rje //	0	za rgyal po stong gsum dregs ba rje 
BO_TZ39_TI-026:4	rdo rje 'bar ba rtshal gyis dgyes dgongs la //	0	rdo rje bar ba rtshal gyis dgyes dgongs la 
BO_TZ39_TI-026:5	'dod dgu'i dngos grub char du bsnyil bar mdzod //	0	dod dgu dngos grub char du snyil ba mdzod 
BO_TZ39_TI-026:6	bod 'bangs pad+ma'i rjes 'jug rnams //	0	bod bang pad+ma rjes jug rnams 
BO_TZ39_TI-026:7	phyi mtha'i bar du mi g.yel bar //	0	phyi mtha ba du mi g.yel ba 
BO_TZ39_TI-026:8	skyong mdzad rdo rje'i yal gam can //	0	skyong mdzad rdo rje yal gam can 
BO_TZ39_TI-026:9	gang de mchod pa'i las rim bshad //	0	gang de mchod ba las rim chad 
BO_TZ39_TI-026:10	'dir slob dpon chen po'i gter srung /	1	dir slob dpon chen po gter srung 
BO_TZ39_TI-026:11	chos skyong rgyal po'i sku lha /	1	chos skyong rgyal po sku lha 
BO_TZ39_TI-026:12	sgrub brgyud bstan pa'i srung ma chen po thang lha rdo rje 'bar ba rtshal gyi phrin las zangs mdzod dmar po'i chos sde las 'byung ba nyid gtshor byas te nyams su blang ba la gsum /	1	sgrub brgyud ston ba srung ma chen po thang lha rdo rje bar ba rtshal gyi phrin las zangs mdzod dmar po chos sde las byung ba nyid gtshor byed te nyams su blang ba la gsum 
BO_TZ39_TI-026:13	yo byad nye bar bsdog pa /	1	yo byad nye ba sdog ba 
BO_TZ39_TI-026:14	bdag nyid nus ldan du byed pa /	1	bdag nyid nus ldan du byed ba 
BO_TZ39_TI-026:15	mchod pa'i las rim dngos so //	1	mchod ba las rim dngos so 
BO_TZ39_TI-026:16	dang po ni /	1	dang po ni 
BO_TZ39_TI-026:17	sgrub pa'i skabs phyi nang gsang ba'i rten dang 'brel ba sogs kyi bcas bsham gzhan las shes par bya dgos shing /	1	sgrub ba skabs phyi nang gsang ba rten dang brel ba sogs kyi cha bsham gzhan las shes ba byed dgos shing 
BO_TZ39_TI-026:18	'dir dus bzang gsol mchod tsham gyi skabs su 'dzom na 'di nyid kyi bris sku bkram pa'i mdun du /	1	dir dus bzang gsol mchod tsham gyi skabs su dzom na di nyid kyi bri sku grem ba mdun du 
BO_TZ39_TI-026:19	ras dkar dri ma med pa spos kyis bdug pa'i stegs la 'bru dkar sil mar bkram pa'i dbus /	1	ras dkar dri ma med ba spros kyis bdug ba stegs la bru dkar sil mar grem ba dbus 
BO_TZ39_TI-026:20	rin po che'i snod gtshang mar gro nas 'bras dkar gyi phye ma rin chen dang bsres pa las /	2	rin po che snod gtshang mar gro nas bras dkar gyi byed ma rin chen dang bsres ba las 
BO_TZ39_TI-026:21	pad+ma 'dab brgyad gyen langs gru bzhi'i khar bang rim gcig dang bcas pa'i gtor ma gru bzhi rtshe rgyal shel mkhar gyi dbyibs can nor bu sum tshhom gyis spras pa mtho gang las mi chung ba dar gdugs dkar pos brgyan pa bkod /	2	pad+ma dab brgyad gyen ldang gru bzhi khar bang rim gcig dang cha ba thor ma gru bzhi rtshe rgyal shel mkhar gyi dbyibs can nor bu sum tshhom gyis spras ba mtho gang las mi chung ba dar gdugs dkar pos rgyan ba bkod 
BO_TZ39_TI-026:22	de'i g.yas g.yon rgyab gsum du shel sogs rin po che'i snod du g.ya' chu gangs chu skyes chu gtshang mas bkang ba dang / mdun du mchod gtor dkar po gru gsum mtho gang ba mtheb kyu grangs mang dang lug mgos brgyan pa bsham /	2	de g.yas g.yon rgyab gsum du shel sogs rin po che snod du g.ya chu gangs chu skye chu gtshang mas geng ba dang mdun du mchod thor dkar po gru gsum mtho gang ba mtheb kyu grangs mang dang lug mgos rgyan ba bsham 
BO_TZ39_TI-026:23	de dag gi rgyab tu 'bru dkar gyis zlum por bskor ba'i nang phyogs mtshhams brgyad du tshhom bu mtho ba brgyad bkod /	2	de dag gi rgyab tu bru dkar gyis zlum por skor ba nang phyogs mtshhams brgyad du tshhom bu mtho ba brgyad bkod 
BO_TZ39_TI-026:24	mar gyi mdzo g.yag	2	mar gyi mdzo g.yag 
BO_TZ39_TI-026:25	/rta lug /dkar skyems /	2	lug skyem 
BO_TZ39_TI-026:26	mngar skyems / gser skyems /	2	mngar skyem gser skyem 
BO_TZ39_TI-026:27	phye mar rnams dang / chu gnyis nyer spyod phreng tshhar du bsham /	2	byed mar rnams dang chu gnyis nyer spyod phreng tshhar du bsham 
BO_TZ39_TI-026:28	mda' dar mdung dar go mtshhon sogs spyan gzigs gang 'dzom bstar zhing /	2	mda dar mdung dar go mtshhon sogs spyan gzigs gang dzom bstar zhing 
BO_TZ39_TI-026:29	bzang shing spos dkar gyi bsang dud kyang gtang ngo //	2	bzang shing spros dkar gyi bsang dud kyang gtong ngo 
BO_TZ39_TI-026:30	gnyis pa bdag bskyed ni /	3	gnyis ba bdag skyed ni 
BO_TZ39_TI-026:31	skyabs sems sngon du 'gro bas /	3	skyob sems sngon du gro ba 
BO_TZ39_TI-026:32	skad cig gis rang rig hrihyig dmar po yongs su gyur pa las /	3	skad cig gis rang rig hrihyig dmar po yongs su gyur ba las 
BO_TZ39_TI-026:33	dbang chen rta mchog sku mdog dmar nag dbu tshhangs pa'i 'jig rten du bslebs pa /	3	dbang chen rta mchog sku mdog dmar nag dbu tshhangs ba jig rten du bslebs ba 
BO_TZ39_TI-026:34	zhabs rgya mtshho'i steng du brkyangs pa /	3	zhabs rgya mtshho steng du rkyong ba 
BO_TZ39_TI-026:35	nyi zla gza' skar rked la 'khor ba /	3	nyi zla gza skar rked la khor ba 
BO_TZ39_TI-026:36	ri rab la stegs byas pa /	3	ri rab la stegs byed ba 
BO_TZ39_TI-026:37	phyag g.yas pas gzugs khams 'degs shing g.yon pas 'dod khams gnon pa /	3	phyag g.yas ba gzugs khams degs shing g.yon ba dod khams gnon ba 
BO_TZ39_TI-026:38	dur khrod kyi chas kyis kun nas brgyan pa /	3	dur khrod kyi cha kyis kun nas rgyan ba 
BO_TZ39_TI-026:39	rta skad g.yas g.yon steng 'og tu bsgrags pas pho rgyud mo rgyud gza' klu thams cad dbang du sdud pa /	3	rta skad g.yas g.yon steng g tu sgrog ba pho brgyud mo brgyud gza klu thams cad dbang du sdud ba 
BO_TZ39_TI-026:40	hrihhu~m phat gsum gyi sgra 'brug ltar ldir ba /	4	hrihhu~m phat gsum gyi sgra brug ltar ldir ba 
BO_TZ39_TI-026:41	khams gsum dbang du sdud cing srid gsum zil gyis gnon pa'i skur gyur /	4	khams gsum dbang du sdud cing srid gsum zil gyis gnon ba skur gyur 
BO_TZ39_TI-026:42	hrihma ha krota pad+man+ta kr-ita ha yam gri ba hu~m hu~m phat/	4	hrihma ha krota pad+man+ta kr-ita ha yam gri ba hu~m hu~m 
BO_TZ39_TI-026:43	ya ma ra tsha du tri phu tri hrihhu~m phat/	4	ya ma ra tsha du tri phu tri hrihhu~m 
BO_TZ39_TI-026:44	ces ci rigs bzlas la bstod pa ni 'jam rol dang bcas /	4	ces ci rigs bzlas la bstod ba ni jam rol dang cha 
BO_TZ39_TI-026:45	rta mgrin rgyal po dbang gi lha //	4	rta mgrin rgyal po dbang gi lha 
BO_TZ39_TI-026:46	dregs pa kun 'dul pad+ma 'byung //	4	dregs ba kun dul pad+ma byung 
BO_TZ39_TI-026:47	bla ma rig 'dzin sprul sku la //	4	bla ma rig dzin sprul sku la 
BO_TZ39_TI-026:48	sgo gsum gus pas phyag 'tshhal bstod //	4	sgo gsum gus ba phyag tshhal bstod 
BO_TZ39_TI-026:49	ces brjod / gsum pa las rim dngos la /	4	ces rjod gsum ba las rim dngos la 
BO_TZ39_TI-026:50	mchod brlab rten bskyed spyan 'dren bzhugs //	5	mchod brlab rten skyed spyan bgrang bzhugs 
BO_TZ39_TI-026:51	dam bsgrag mchod bstod dzapa? bzlas skong //	5	dam sgrog mchod bstod dzapa? bzlas skong 
BO_TZ39_TI-026:52	gser skyems bsang mchod las bcol bskul //	5	gser skyem bsang mchod las chol skul 
BO_TZ39_TI-026:53	rjes kyi bya ba bcu gsum mo //	5	rjes kyi byed ba chu gsum mo 
BO_TZ39_TI-026:54	zhes pa ltar las /	5	zhes ba ltar las 
BO_TZ39_TI-026:55	dang po mchod gtor byin gyis brlab pa ni /	5	dang po mchod thor byin gyis brlab ba ni 
BO_TZ39_TI-026:56	hrihma ha kro d+ha pad+man+ta kr-ita ha yam gri ba hu~m hu~m phat kyis bsang /	5	hrihma ha kro d+ha pad+man+ta kr-ita ha yam gri ba hu~m hu~m phat kyis bsang 
BO_TZ39_TI-026:57	swa b+ha bas sbyang /	5	swa b+ha ba sbyong 
BO_TZ39_TI-026:58	stong pa'i ngang las 'bru gsum 'od du zhu ba las byung ba'i phyi nang gsang ba'i mchod rdzas rnams bzang zhing gya nom pa /	5	stong ba ngang las bru gsum d du ju ba las byung ba phyi nang gsang ba mchod rdzas rnams bzang zhing gyas mnam ba 
BO_TZ39_TI-026:59	lha chen 'khor bcas mnyes par byed pa'i mchod sprin nam mkha' mdzod kyi rang bzhin dpag tu med cing bsam gyis mi khyab par gyur /	5	lha chen khor cha mnyes ba byed ba mchod sprin nam mkha mdzod kyi rang bzhin dpog tu med cing bsam gyis mi khyab ba gyur 
BO_TZ39_TI-026:60	om sarba bid pu ra pu ra /	6	om sarba bid pu ra pu ra 
BO_TZ39_TI-026:61	su ra su ra /	6	su ra su ra 
BO_TZ39_TI-026:62	a brta ya a brta ya hoh	6	a rtas ya a rtas ya hoh 
BO_TZ39_TI-026:63	badzra s+pha ra na kham/	6	badzra s+pha ra na 
BO_TZ39_TI-026:64	lan gsum brjod /	6	lan gsum rjod 
BO_TZ39_TI-026:65	gtor ma bsang sbyang /	6	thor ma bsang sbyong 
BO_TZ39_TI-026:66	stong pa'i ngang las b+h+ru~m las rin po che'i snod yangs shing rgya che ba'i nang du om 'od du zhu ba las byung ba'i /	6	stong ba ngang las b+h+ru~m las rin po che snod yangs shing rgya che ba nang du om d du ju ba las byung ba 
BO_TZ39_TI-026:67	gtor ma kha dog dri ro reg bya phun sum tshhogs pa'i steng du om ahhu~m gis mtshhan pa las 'od zer 'phros pas 'khor 'das kyi ro bcud thams cad bsdus te gtor ma la thim /	6	thor ma kha dog dri ro reg byed phun sum tshhogs ba steng du om ahhu~m gis mtshhan ba las d zer phro ba khor da kyi ro bcud thams cad sdud te thor ma la thim 
BO_TZ39_TI-026:68	yi ge gsum 'od du zhu nas dbyer med gcig tu 'dres pas ye shes kyi bdud rtshi'i rgya mtshho chen po zad mi shes pa'i rang bzhin du gyur /	6	yi ge gsum d du ju nas dbyer med gcig tu dre ba ye shes kyi bdud rtshi rgya mtshho chen po zad mi shes ba rang bzhin du gyur 
BO_TZ39_TI-026:69	om ahhu~m ma ha ba lim ta te dzo ba lim ta ba la ba te gu h+ya sa ma ye swa ha/	6	om ahhu~m ma ha ba lim ta te dzo ba lim ta ba la ba te gu h+ya sa ma ye swa 
BO_TZ39_TI-026:70	lan gsum brjod /	7	lan gsum rjod 
BO_TZ39_TI-026:71	gnyis pa mdun rten bskyed pa ni /	7	gnyis ba mdun rten skyed ba ni 
BO_TZ39_TI-026:72	om swa b+ha ba sogs kyis sbyang /	7	om swa b+ha ba sogs kyis sbyong 
BO_TZ39_TI-026:73	stong pa'i ngang las rang gi mdun du shel gyi khang bzang rin po che sna tshhogs kyi sgo lcog 'od 'bar ba rtsha bar bdud rtshi'i rgya mtshho 'phyur ba :	7	stong ba ngang las rang gi mdun du shel gyi khang bzang rin po che sna tshhogs kyi sgo lcogs d bar ba rtsha ba bdud rtshi rgya mtshho phyur ba 
BO_TZ39_TI-026:74	rked la 'ja' 'od na bun gyi gur phub pa :	7	rked la ja d na bun gyi gur bubs ba 
BO_TZ39_TI-026:75	rtshe mor sprin dkar rin po che'i zil char 'beb pa :	7	rtshe mor sprin dkar rin po che zil char beb ba 
BO_TZ39_TI-026:76	sa gzhi ljang sngon la me tog sna tshhogs rgyas pa :	7	sa gzhi ljang sngon la me tog sna tshhogs rgya ba 
BO_TZ39_TI-026:77	khor yug tu gnam lha brgyad kyi gangs ri shel gyi mchod rten lta bus bskor ba :	7	khor yug tu gnam lha brgyad kyi gangs ri shel gyi mchod rten lta bud skor ba 
BO_TZ39_TI-026:78	de'i dbus su nyi zla pad+ma'i gdan la stobs ldan rta mchog ngang dkar rin po che'i sga rgyan du mas mdzes pa'i steng na lha chen rdo rje 'bar ba rtshal sku mdog shel gyi ri bo ltar du brjid pa :	7	de dbus su nyi zla pad+ma gdan la stobs ldan rta mchog ngang dkar rin po che sga rgyan du mas mdzes ba steng na lha chen rdo rje bar ba rtshal sku mdog shel gyi ri bo ltar du brjid ba 
BO_TZ39_TI-026:79	zhal 'dzum zhing mche ba cung zad gtshigs pa :	7	zhal dzum zhing mche ba cung zad gtshigs ba 
BO_TZ39_TI-026:80	spyan gsum rab tu bkra ba :	8	spyan gsum rab tu bkra ba 
BO_TZ39_TI-026:81	dbu skra'i thor tshhugs dar dkar pos bcings pa :	8	dbu skra thor tshhugs dar dkar pos ching ba 
BO_TZ39_TI-026:82	phyag g.yas rdo rje rtshe lngas mtshhan pa'i sba lcag nam mkha' la 'phyar ba :	8	phyag g.yas rdo rje rtshe lngas mtshhan ba sbed lcag nam mkha la phyor ba 
BO_TZ39_TI-026:83	g.yon shel dkar gyi phreng ba 'dren pa :	8	g.yon shel dkar gyi phreng ba bgrang ba 
BO_TZ39_TI-026:84	zab chen dkar dmar mthing gsum gyi ber gsol ba :	8	zab chen dkar dmar mthing gsum gyi ber gsol ba 
BO_TZ39_TI-026:85	spyi bor nor bu 'bar ba'i tog dang rin po che'i rgyan sna tshhogs dang bcas pa :	8	spyi bor nor bu bar ba tog dang rin po che rgyan sna tshhogs dang cha ba 
BO_TZ39_TI-026:86	sku gzhon zhing mdzes pa :	8	sku gzhon zhing mdzes ba 
BO_TZ39_TI-026:87	rgyal po rol pa'i cha lugs su bzhugs pa :	8	rgyal po rol ba cha lugs su bzhugs ba 
BO_TZ39_TI-026:88	de'i g.yon du yum gnam mtshho'i rgyal mo rdo rje g.yu sgron ma sku mdog sngo sangs /	8	de g.yon du yum gnam mtshho rgyal mo rdo rje g.yu sgron ma sku mdog sngo sangs 
BO_TZ39_TI-026:89	zhal gcig phyag gnyis ma spyan gsum dang ldan pa /	8	zhal gcig phyag gnyis ma spyan gsum dang ldan ba 
BO_TZ39_TI-026:90	g.yas rgyal mtshhan dang g.yon me long 'dzin cing /	9	g.yas rgyal mtshhan dang g.yon me long dzin cing 
BO_TZ39_TI-026:91	dbu skra thor tshhugs lhag ma'i zar bu thur du 'phyang ba /	9	dbu skra thor tshhugs lhag ma zar bu thur du phyang ba 
BO_TZ39_TI-026:92	sman btshun mdzes ma yid du 'ong ba'i cha byad kyis gtsho bo la 'dud pa'i rnam pa can g.yu 'brug la 'chib pa /	9	sman btshun mdzes ma yid du ng ba cha byad kyis gtsho bo la dud ba rnam ba can g.yu brug la chib ba 
BO_TZ39_TI-026:93	steng gi nam mkhar khyung nag dbu dgu pa gnam lcags kyi mchu sder dang spu gri'i gshog pa can sbrul za ba /	9	steng gi nam mkhar khyung nag dbu dgu ba gnam lcags kyi mchu sder dang spu gri gshog ba can sbrul za ba 
BO_TZ39_TI-026:94	mtha' skor du mched 'khor sum brgya drug cu /	9	mtha skor du mched khor sum brgya drug cu 
BO_TZ39_TI-026:95	g.yas su skyes bu g.yu yi smin ma can /	9	g.yas su skye bu g.yu yi smin ma can 
BO_TZ39_TI-026:96	g.yon du khye'u chung g.yu'i zur phud can /	9	g.yon du khyeu chung g.yu zur bud can 
BO_TZ39_TI-026:97	mdun du mi dkar g.yu'i thor cog can /	9	mdun du mi dkar g.yu thor cog can 
BO_TZ39_TI-026:98	rgyab tu mi sngon gtum zhing 'jigs pa /	9	rgyab tu mi sngon thum zhing jigs ba 
BO_TZ39_TI-026:99	steng dang phyogs mtshhams kun nas ru 'dren sde bzhi so so brgya phrag dang bcas pas bskor ba /	9	steng dang phyogs mtshhams kun nas ru bgrang sde bzhi so so brgya phrag dang cha ba skor ba 
BO_TZ39_TI-026:100	de'i shar du zhi mdzad rdo rje 'bar ba rtshal dkar po g.yas sman gyi ljon shing dang g.yon bdud rtshi'i bum pa 'dzin pa /	10	de char du zhi mdzad rdo rje bar ba rtshal dkar po g.yas sman gyi ljon shing dang g.yon bdud rtshi bum ba dzin ba 
