segmentnr	original	folio	stemmed
BO_TZ40_THI-029:0	\u0f88\u0f88 gsang sngags spyi chings kyi gdams ngag zab mo them yig med pa'i skor las :	0	\u0f88\u0f88 gsang sngags spyi ching kyi doms ngag zab mo thems yig med ba skor las 
BO_TZ40_THI-029:1	rtsha gsum bla rdo srog tig yongs 'dus zhes bya ba bzhugs so :	0	rtsha gsum bla rdo srog tig yongs du zhes byed ba bzhugs so 
BO_TZ40_THI-029:2	\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88 rtsha ba gsum gyi lha la phyag 'tshhal lo :	0	\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88\u0f88 rtsha ba gsum gyi lha la phyag tshhal lo 
BO_TZ40_THI-029:3	gsang sngags spyi chings sgrub pa'i gdams ngag gnad :	0	gsang sngags spyi ching sgrub ba doms ngag gnad 
BO_TZ40_THI-029:4	rtsha gsum bla rdo srog thig yongs 'dus mchog :	0	rtsha gsum bla rdo srog thig yongs du mchog 
BO_TZ40_THI-029:5	bstan pas gang dang 'brel yang kha bsgyur gces :	0	ston ba gang dang brel yang kha sgyur gces 
BO_TZ40_THI-029:6	mang du mi spel snying gi phur du chongs :	0	mang du mi spel snying gi phur du chongs 
BO_TZ40_THI-029:7	sa ma ya :	0	sa ma ya 
BO_TZ40_THI-029:8	rgyahrgyahrgya : dang po bla ma'i srog 'khor bri ba ni :	0	rgyahrgyahrgya dang po bla ma srog khor bri ba ni 
BO_TZ40_THI-029:9	gza' tshhes bzang bar shog shog gtshang ma la :	0	gza tshhes bzang ba shog shog gtshang ma la 
BO_TZ40_THI-029:10	gser ram mtshhal sogs rin chen rigs sbyangs la :	1	gser ram mtshhal sogs rin chen rigs sbyong la 
BO_TZ40_THI-029:11	mu khyud gsum bskor lte bar om ahhu~m:	1	mu khyud gsum skor lte ba om ahhu~m: 
BO_TZ40_THI-029:12	rim bzhin dkar dmar mthing gsum ma nor brtshegs :	1	rim bzhin dkar dmar mthing gsum ma nor brtshegs 
BO_TZ40_THI-029:13	de yi rgyab tu 'di nyid bskor bar bya :	1	de yi rgyab tu di nyid skor ba byed 
BO_TZ40_THI-029:14	ho : rgyal ba dgongs brgyud bla ma :	1	ho rgyal ba dgongs brgyud bla ma 
BO_TZ40_THI-029:15	rig 'dzin brda' brgyud bla ma :	1	rig dzin brda brgyud bla ma 
BO_TZ40_THI-029:16	gang zag snyan brgyud bla ma :	1	gang zag snyan brgyud bla ma 
BO_TZ40_THI-029:17	drin chen rtsha brgyud bla ma :	1	drin chen rtsha brgyud bla ma 
BO_TZ40_THI-029:18	sku gsum bka' brgyud bla ma :	1	sku gsum bka brgyud bla ma 
BO_TZ40_THI-029:19	smon lam dbang brgyud bla ma :	1	smon lam dbang brgyud bla ma 
BO_TZ40_THI-029:20	mkha' 'gro gtad brgyud bla ma :	2	mkha gro gtod brgyud bla ma 
BO_TZ40_THI-029:21	mdor na bla na med pa'i bla ma rnams thugs dam ma g.yel bar :	2	mdor na bla na med ba bla ma rnams thugs dam ma g.yel ba 
BO_TZ40_THI-029:22	'dir gshegs shing bzhugs nas bdag che ge byin gyis brlab cing dngos grub rnam gnyis stshol ba dang : phrin las rnam bzhi 'grub par mdzad du gsol lo :	2	dir gshegs shing bzhugs nas bdag che ge byin gyis brlab cing dngos grub rnam gnyis stshol ba dang phrin las rnam bzhi grub ba mdzad du gsol lo 
BO_TZ40_THI-029:23	de rgyab dmigs bsal gang yin snying po rnams :	2	de rgyab dmigs bsal gang yin snying po rnams 
BO_TZ40_THI-029:24	bri zhing de rgyab 'khor rtshibs bcu drug bya :	2	bri zhing de rgyab khor rtshibs chu drug byed 
BO_TZ40_THI-029:25	dbus der 'bru gsum brtshegs mthar 'di re re bri :	2	dbus der bru gsum brtshegs mthar di re re bri 
BO_TZ40_THI-029:26	sangs rgyas kun 'dus sku gsum bka' brgyud bla mas dngos grub rnam gnyis stshol cig :	2	sangs rgya kun du sku gsum bka brgyud bla mas dngos grub rnam gnyis stshol cig 
BO_TZ40_THI-029:27	de rgyab mu khyud sngags 'di bri bar bya :	2	de rgyab mu khyud sngags di bri ba byed 
BO_TZ40_THI-029:28	om badzra bid+ya s+ya sid+d+hi ahhu~m dza :	2	om badzra bid+ya s+ya sid+d+hi ahhu~m dza 
BO_TZ40_THI-029:29	om rat+na bid+ya s+ya sid+d+hi ahhu~m dza :	2	om rat+na bid+ya s+ya sid+d+hi ahhu~m dza 
BO_TZ40_THI-029:30	om pad+ma bid+ya s+ya sid+d+hi ahhu~m dza :	3	om pad+ma bid+ya s+ya sid+d+hi ahhu~m dza 
BO_TZ40_THI-029:31	om karma bid+ya s+ya sid+d+hi ahhu~m dza :	3	om karma bid+ya s+ya sid+d+hi ahhu~m dza 
BO_TZ40_THI-029:32	om bud+d+ha bid+ya s+ya sid+d+hi ahhu~m dza :	3	om bud+d+ha bid+ya s+ya sid+d+hi ahhu~m dza 
BO_TZ40_THI-029:33	om ka ya badzra sid+d+hi ahhu~m:	3	om ka ya badzra sid+d+hi ahhu~m: 
BO_TZ40_THI-029:34	om wa ka badzra sid+d+hi ahhu~m:	3	om wa ka badzra sid+d+hi ahhu~m: 
BO_TZ40_THI-029:35	om tshit+ta badzra sid+d+hi ahhu~m:	3	om tshit+ta badzra sid+d+hi ahhu~m: 
BO_TZ40_THI-029:36	om dz+nya na badzra sid+d+hi ahhu~m:	3	om dz+nya na badzra sid+d+hi ahhu~m: 
BO_TZ40_THI-029:37	om a yu sid+d+hi ahhu~m hrihb+h+ru~m:	3	om a yu sid+d+hi ahhu~m hrihb+h+ru~m: 
BO_TZ40_THI-029:38	om pu n+ya sid+d+hi ahhu~m b+h+ru~m:	3	om pu n+ya sid+d+hi ahhu~m b+h+ru~m: 
BO_TZ40_THI-029:39	om ma ha mu dra sid+d+hi ahhu~m a:	3	om ma ha mu dra sid+d+hi ahhu~m a: 
BO_TZ40_THI-029:40	om karma tsha tur sid+d+hi ahhu~m swa ahha :	4	om karma tsha tur sid+d+hi ahhu~m swa ahha 
BO_TZ40_THI-029:41	de la gang shong bri ba gces pa yin :	4	de la gang shong bri ba gces ba yin 
BO_TZ40_THI-029:42	de rgyab mu khyud sngags 'di gang shong bri :	4	de rgyab mu khyud sngags di gang shong bri 
BO_TZ40_THI-029:43	om sarba bud+d+ha a we sha ya hrim dza :	4	om sarba bud+d+ha a we sha ya hrim dza 
BO_TZ40_THI-029:44	om gu ru d+harma ka ya sarba a we sha ya hrim dza :	4	om gu ru d+harma ka ya sarba a we sha ya hrim dza 
BO_TZ40_THI-029:45	om gu ru sam+b+ho ka ya sarba a we sha ya hrim dza :	4	om gu ru sam+b+ho ka ya sarba a we sha ya hrim dza 
BO_TZ40_THI-029:46	om gu ru nirma ka ya sarba a we sha ya hrim dza :	4	om gu ru nirma ka ya sarba a we sha ya hrim dza 
BO_TZ40_THI-029:47	om bo d+hi satwa sarba a we sha ya hrim dza :	4	om bo d+hi satwa sarba a we sha ya hrim dza 
BO_TZ40_THI-029:48	ka ya wa ka tshit+ta gu na karma hu~m hu~m dzahdzahphem phem hrim hrim a kar sha ya dza :	4	ka ya wa ka tshit+ta gu na karma hu~m hu~m dzahdzahphem phem hrim hrim a kar sha ya dza 
BO_TZ40_THI-029:49	a kar sha ya hrim:	4	a kar sha ya hrim: 
BO_TZ40_THI-029:50	sarba tish+tha lhan lhan ye swa ha:	5	sarba tish+tha lhan lhan ye swa ha: 
BO_TZ40_THI-029:51	de rgyab a li ka li gang shong dang : de rgyab rten 'brel snying po gang shong bri :	5	de rgyab a li ka li gang shong dang de rgyab rten brel snying po gang shong bri 
BO_TZ40_THI-029:52	dar 'bru rin chen sman dri lnga tshhan lnga :	5	dar bru rin chen sman dri lnga tshhan lnga 
BO_TZ40_THI-029:53	chos sman gang bzang lte bar bzhag par bya :	5	chos sman gang bzang lte ba jog ba byed 
BO_TZ40_THI-029:54	phyogs bcu dus gsum sangs rgyas thams cad kyi :	5	phyogs chu dus gsum sangs rgya thams cad kyi 
BO_TZ40_THI-029:55	sprul sku'i cha lugs mtshhan dpes rab mdzes bskyed :	5	sprul sku cha lugs mtshhan dpes rab mdzes skyed 
BO_TZ40_THI-029:56	thams cad thams cad rab byung sngags chas dang : grub thob cha lugs byang sems dge 'dun tshhogs :	5	thams cad thams cad rab byung sngags cha dang grub thob cha lugs byang sems dge dun tshhogs 
BO_TZ40_THI-029:57	longs sku rab byung kun kyang zhi tshhul bsgom :	5	longs sku rab byung kun kyang zhi tshhul bsgom 
BO_TZ40_THI-029:58	dmigs pas yang yang gsal gdab khyad par du :	5	dmigs ba yang yang gsal gdab khyad ba du 
BO_TZ40_THI-029:59	gang yin bla ma gtsho la 'khor rnams bskor :	5	gang yin bla ma gtsho la khor rnams skor 
BO_TZ40_THI-029:60	'ja' 'od thig le thig phran lhun sdug nang :	6	ja d thig le thig phran lhun sdug nang 
BO_TZ40_THI-029:61	byin rlabs 'thibs se dmigs la mos gus kyis :	6	byin rlabs thib se dmigs la mos gus kyis 
BO_TZ40_THI-029:62	gsol gdab spyan 'dren yang yang byas la bstim :	6	gsol gdab spyan bgrang yang yang byed la stim 
BO_TZ40_THI-029:63	rab gnas yang bskyar dar sna'i na bza' gsol :	6	rab gnas yang skyor dar sna na bza gsol 
BO_TZ40_THI-029:64	sa ma ya :	6	sa ma ya 
BO_TZ40_THI-029:65	rgya rgya rgya :	6	rgya rgya rgya 
