segmentnr	original	folio	stemmed
BO_TZ41_DI-004:0	@#// snga 'gyur rdo rje theg pa'i sgrub pa spyi la mkho ba'i man ngag gnad kyi sgrom bu bzhugs //	0	snga gyur rdo rje theg ba sgrub ba spyi la mkho ba man ngag gnad kyi sgrom bu bzhugs 
BO_TZ41_DI-004:1	na mahshri badzra he ru ka ya /	0	na mahshri badzra he ru ka ya 
BO_TZ41_DI-004:2	gzhi dbyings mi 'gyur kun bzang bde ba che //	0	gzhi dbyings mi gyur kun bzang bde ba che 
BO_TZ41_DI-004:3	gzhi snang ma 'gags dpal chen he ru ka	0	gzhi snang ma gag dpal chen he ru ka 
BO_TZ41_DI-004:4	/rdo rje 'dzin rgyal khyab bdag bcom ldan 'das //	0	rje dzin rgyal khyab bdag joms ldan da 
BO_TZ41_DI-004:5	rdo rje can zhabs pad+mor phyag bgyis nas //	0	rdo rje can zhabs pad+mor phyag bgyid nas 
BO_TZ41_DI-004:6	gsang ba'i dkyil 'khor sgrub pa la zhugs pa'i //	0	gsang ba dkyil khor sgrub ba la jug ba 
BO_TZ41_DI-004:7	bar chad sel dang dngos grub bskul ba yi //	0	ba chad sel dang dngos grub skul ba yi 
BO_TZ41_DI-004:8	man ngag med du mi rung gnad kyi sgrom //	0	man ngag med du mi rung gnad kyi sgrom 
BO_TZ41_DI-004:9	skal ldan skyes bu'i nyer spyad 'di na spel //	0	skal ldan skye bu nyer spyod di na spel 
BO_TZ41_DI-004:10	de yang snga 'gyur rdo rje theg pa bka' gter sgrub sde rgya mtshho'i sgo nas tshhogs kyi sgrub pa chen por 'jug pa na /	1	de yang snga gyur rdo rje theg ba bka gter sgrub sde rgya mtshho sgo nas tshhogs kyi sgrub ba chen por jug ba na 
BO_TZ41_DI-004:11	spyi dang bye brag so sor khog dbub pra khrid sogs zhib gsal du mchis mod kyang /	1	spyi dang bye brag so sor khog bubs pra khrid sogs zhib gsal du mchis mod kyang 
BO_TZ41_DI-004:12	phal cher la sgrub pa'i sngon 'gro nye bsnyen gyi yan lag gi skor las dam sri mnan pa'i ling byang 'bri ba dang / ling khrus 'gugs bstim rnams dang / ta ki 'gyed pa /	1	phal cher la sgrub ba sngon gro nye snyen gyi yan lag gi skor las dam sri gnon ba ling byang bri ba dang ling khru gugs stim rnams dang ta ki gyed ba 
BO_TZ41_DI-004:13	dngos gzhi sgrub pa chen por bar chad rtshom pa'i nyu le bskrad pa /	1	dngos gzhi sgrub ba chen por ba chad rtshom ba nyu le skrod ba 
BO_TZ41_DI-004:14	dngos grub sdud pa'i bskul bcas kyi yig cha rnams mdor bsdus pa'i tshhul du bkod pa'i dbang gis spyi khyab tsham las /	1	dngos grub sdud ba skul cha kyi yig cha rnams mdor sdud ba tshhul du bkod ba dbang gis spyi khyab tsham las 
BO_TZ41_DI-004:15	gsal kha'i lag len khyer bde zhig mi snang bas /	1	gsal kha lag len khyer bde jig mi snang ba 
BO_TZ41_DI-004:16	'di dag med du mi rung zhing mos slob 'dra 'bag gi skabs 'dir yang rgyus med bzhin /	1	di dag med du mi rung zhing mos slob dra bag gi skabs dir yang rgyus med bzhin 
BO_TZ41_DI-004:17	gang dran spros bcas kyis sa stong 'geng byed kho nas kyang don du mi 'gyur zhing /	1	gang dran spros cha kyis sa stong geng byed kho nas kyang don du mi gyur zhing 
BO_TZ41_DI-004:18	rang 'dra'i blo dman la la ni tshhul bzhin bsgrub par sems kyang mkhos chung rigs kyi lag len khrid dang dpe rgyun 'dzom dka' bar mthong nas /	1	rang dra blo dman la la ni tshhul bzhin sgrub ba sems kyang mkhos chung rigs kyi lag len khrid dang dpe rgyun dzom dka ba mthong nas 
BO_TZ41_DI-004:19	bla ma dgongs pa 'dus pa sogs sngon dang da ltar byon pa'i gter gyi gzhung chen tshhad thub mtha' dag gi dgongs bcud bsdus shing rig 'dzin brgyud pa'i phyag bzhes kyis zur brgyan te khyer bde 'dus gsal gyi zin thor spel ba la /	1	bla ma dgongs ba du ba sogs sngon dang da ltar byon ba gter gyi gzhung chen tshhad thub mtha dag gi dgongs bcud sdud shing rig dzin brgyud ba phyag bzhes kyis zur rgyan te khyer bde du gsal gyi zin thor spel ba la 
BO_TZ41_DI-004:20	! dang po dam sri mnan pa'i ling ga ni /	2	dang po dam sri gnon ba ling ga ni 
BO_TZ41_DI-004:21	dug shog la dug khrag gi snag tshha dang / skyer pa'i snyug gus dam sri'i gzugs rid cing nyam thag pa mi gdong bya rog gi mchu can skra 'bal ba /	2	dug shog la dug khrag gi snag tshha dang skyer ba snyug gus dam sri gzugs rid cing nyam thag ba mi gdong byed rog gi mchu can skra bal ba 
BO_TZ41_DI-004:22	yan lag bzhi lcags su bcug pa bris pa'i snying khar /de'i mthar mgrin pa nas brtsham yig mgo phyir bstan gyi /	2	yan lag bzhi lcags su jug ba bri ba snying khar mthar mgrin ba nas brtsham yig mgo phyir ston gyi 
