segmentnr	original	folio	stemmed
BO_TZ42_NI-011:0	gshin po 'drer 'ong ba mi 'ong ba'i shog dril bzhugs so //	0	gshin po drer ng ba mi ng ba shog dril bzhugs so 
BO_TZ42_NI-011:1	na mo gu ru /	0	na mo gu ru 
BO_TZ42_NI-011:2	gshin po 'dre ru yong ba mi 'ong ba'i thabs ni /	0	gshin po dre ru yong ba mi ng ba thabs ni 
BO_TZ42_NI-011:3	satsh+tshha dkar po gcig btab ste /	0	satsh+tshha dkar po gcig debs ste 
BO_TZ42_NI-011:4	skyabs 'gro sems bskyed byas la /	0	skyob gro sems skyed byed la 
BO_TZ42_NI-011:5	mdun du tram las rin po che'i mchod sdong gcig bsam /	0	mdun du tram las rin po che mchod sdong gcig bsam 
BO_TZ42_NI-011:6	de'i rtsher skad cig gis gu ru pad+ma chu dar sngon po dang sha yi yib zhu mnabs pa /	0	de rtsher skad cig gis gu ru pad+ma chu dar sngon po dang sha yi yib ju nab ba 
BO_TZ42_NI-011:7	phyag g.yas g.yon gnyis thod pa lcang lo gnyis kha sprad pa'i bar du sdig can 'thag par bsam /	0	phyag g.yas g.yon gnyis thod ba lcang lo gnyis kha sprod ba ba du sdig can thag ba bsam 
BO_TZ42_NI-011:8	de la mchod pa lnga dbul /	0	de la mchod ba lnga bul 
BO_TZ42_NI-011:9	gtor ma dmar po byin gyis brlabs te bsngos la /	0	thor ma dmar po byin gyis brlabs te sngo la 
BO_TZ42_NI-011:10	bstod pa bya /	1	bstod ba byed 
BO_TZ42_NI-011:11	de nas sngags bzla ba ni /	1	de nas sngags bzla ba ni 
BO_TZ42_NI-011:12	om gu ru pad+ma sid+d+hi hu~m zhes brgya rtsha bzla /	1	om gu ru pad+ma sid+d+hi hu~m zhes brgya rtsha bzla 
BO_TZ42_NI-011:13	de nas gshin po'i ling ga la ming rus bris la /	1	de nas gshin po ling ga la ming rus bri la 
BO_TZ42_NI-011:14	dgug gzhug byas la satsh+tshha'i nang du gzhug	1	gugs jug byed la satsh+tshha nang du jug 
BO_TZ42_NI-011:15	/de nas bdag byin rlabs la satsh+tshha gdab pa ni /	1	nas bdag byin rlabs la satsh+tshha gdab ba ni 
BO_TZ42_NI-011:16	sngags bzlas shing gu ru krong krong bsam /	1	sngags bzlas shing gu ru krong krong bsam 
BO_TZ42_NI-011:17	rab gnas bya /	1	rab gnas byed 
BO_TZ42_NI-011:18	sgrub pa bka' brgyad kyi srung ma la gtor ma dbul /	1	sgrub ba bka brgyad kyi srung ma la thor ma bul 
BO_TZ42_NI-011:19	bkra shis bya /	1	bkra shis byed 
BO_TZ42_NI-011:20	smon lam gdab /	2	smon lam gdab 
BO_TZ42_NI-011:21	bsod nams shin tu che'o //	2	bsod nams shin tu che 
BO_TZ42_NI-011:22	rta pod las so ///	2	rta pod las so 
